mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
CLE_lzd_vultures	CLE_lzd_vultures	war_beast	inf_melee	inf_mel	wh2_dlc09_tmb_carrion	monster_beasts	true	48	0	0	false		0	melee	small	jar_adj_com_unit_set_war_beasts
CLE_ogr_mutant_rat	wh2_dlc16_skv_mon_rat_ogre_mutant	monster	inf_melee	inf_mel	monster_generic	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
Chasslo_Knights_Iranna	Chasslo_Knights_Iranna	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	1.0000	small	jar_adj_com_unit_set_cavalry
Chasslo_Great_Oak_Mordheim	Chasslo_Great_Oak_Mordheim	monster	inf_melee	inf_mel	wh_dlc05_wef_treeman	monster_beasts	true	1	0	0	true		0	1.0000	very_large	jar_adj_com_unit_set_single_entities
Chasslo_Mutated_Trolls	Chasslo_Mutated_Trolls	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	1.0000	large	jar_adj_com_unit_set_monstrous_infantry
Chasslo_Ragnars_Wolves	Chasslo_Ragnars_Wolves	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	1.0000	medium	jar_adj_com_unit_set_cavalry
Chasslo_BlackWater_Squadron	Chasslo_BlackWater_Squadron	warmachine	inf_ranged	inf_mis	dwf_gyrocopter	flying_war_machine	true	12	0	0	false	wh_main_dwf_copter_steam_gun	35	1.0000	large	jar_adj_com_unit_set_chariots_war_machines
Chasslo_Grimnir_Sons	Chasslo_Grimnir_Sons	missile_infantry	inf_ranged	inf_mis	infantry_axe_throwing	missile_infantry	true	80	0	0	false	wh_dlc06_dwf_rangers_throwing_axe	15	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_IronBrotherhood	Chasslo_IronBrotherhood	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	100	0	0	false	wh_main_dwf_cinderblast_bomb	1	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_Karag_Ironsmiths	Chasslo_Karag_Ironsmiths	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	20	0	0	false		0	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_Black_Bolt_Throwers	Chasslo_Black_Bolt_Throwers	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	32	4	0	false		25	1.0000	small	jar_adj_com_unit_set_chariots_war_machines
Chasslo_Brood_Queen	Chasslo_Brood_Queen	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	1.0000	very_large	jar_adj_com_unit_set_single_entities
Chasslo_Iron_Guard	Chasslo_Iron_Guard	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false	Chasslo_Super_IronBlast	2	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_Berserker_Slayers	Chasslo_Berserker_Slayers	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	80	0	0	false		0	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_Stompin_Cobb	Chasslo_Stompin_Cobb	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	1.0000	very_large	jar_adj_com_unit_set_single_entities
Chasslo_Redmane_Forgehands	Chasslo_Redmane_Forgehands	melee_infantry	inf_melee	inf_mel	infantry_pickaxe	infantry	true	80	0	0	false		0	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_Azazel_Flagellants	Chasslo_Azazel_Flagellants	melee_infantry	inf_melee	inf_mel	wh_dlc04_emp_flagelllents	infantry	true	120	0	0	false		0	1.0000	small	jar_adj_com_unit_set_infantry
Chasslo_First_Trebuchet	Chasslo_First_Trebuchet	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	11	1	0	false		25	1.0000	small	jar_adj_com_unit_set_chariots_war_machines
Chasslo_Chamon_Destroyer	Chasslo_Chamon_Destroyer	monster	inf_melee	inf_mel	chd_kdaai_destroyer	monster_beasts	true	1	0	0	true		0	1.0000	very_large	jar_adj_com_unit_set_single_entities
