mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
chema_averland_greatswords	chema_averland_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_halberd	chema_averland_halberd	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_handgunners	chema_averland_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22		small	jar_adj_com_unit_set_infantry
chema_averland_state_troops_crossbowmen	chema_averland_state_troops_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22		small	jar_adj_com_unit_set_infantry
chema_averland_swordmen	chema_averland_swordmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_troops_spears	chema_averland_troops_spears	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_troops_spears_shield	chema_averland_troops_spears_shield	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_knights_reiksguard	chema_averland_knights_reiksguard	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
chema_averland_archer	chema_averland_archer	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_archers	20		small	jar_adj_com_unit_set_infantry
chema_averland_pistolier	chema_averland_pistolier	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh_main_emp_pistol	24		medium	jar_adj_com_unit_set_cavalry
chema_averland_mountguard	chema_averland_mountguard	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	wh_dlc04_emp_stirlands_pistol	20		small	jar_adj_com_unit_set_infantry
chema_averland_averheim_blackguard	chema_averland_averheim_blackguard	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_bergjaegers	chema_averland_bergjaegers	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh3_ksl_streltsi_rifle_bullet	18		small	jar_adj_com_unit_set_infantry
chema_averland_kragsburg	chema_averland_kragsburg	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_averland_sardello_crossbows	chema_averland_sardello_crossbows	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh2_dlc13_emp_crossbow_stir_river_patrol	25		small	jar_adj_com_unit_set_infantry
chema_averland_demilancers	chema_averland_demilancers	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
