mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
chema_hochland_greatswords	chema_hochland_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_hochland_halberd	chema_hochland_halberd	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_hochland_handgunners	chema_hochland_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	hoch_rifle	22		small	jar_adj_com_unit_set_infantry
chema_hochland_state_troops_crossbowmen	chema_hochland_state_troops_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22		small	jar_adj_com_unit_set_infantry
chema_hochland_swordmen	chema_hochland_swordmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_hochland_troops_spears	chema_hochland_troops_spears	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_hochland_troops_spears_shield	chema_hochland_troops_spears_shield	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_hochland_knights	chema_hochland_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
chema_hochland_longrifle	chema_hochland_longrifle	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	90	0	0	false	hoch_long_rifle	22		small	jar_adj_com_unit_set_infantry
chema_hochland_pistolers	chema_hochland_pistolers	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh_main_emp_pistol	22		medium	jar_adj_com_unit_set_cavalry
chema_hochland_bati	chema_hochland_bati	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	hoch_repeater	20		medium	jar_adj_com_unit_set_cavalry
chema_hochland_archer	chema_hochland_archer	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	100	0	0	false	hoch_bow	20		small	jar_adj_com_unit_set_infantry
