mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
chema_nordland_spearmen	chema_nordland_spearmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_nordland_swordmen	chema_nordland_swordmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_nordland_salz_guard	chema_nordland_salz_guard	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_nordland_sea_devils	chema_nordland_sea_devils	missile_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false	wh2_dlc11_cst_bombs	8		small	jar_adj_com_unit_set_infantry
chema_nordland_halberdiers	chema_nordland_halberdiers	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_nordland_archer	chema_nordland_archer	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_huntsmen	20	archer	small	jar_adj_com_unit_set_infantry
chema_nordland_greatswords	chema_nordland_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_nordland_state_troops_crossbowmen	chema_nordland_state_troops_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
chema_nordland_spear_and_shieldmen	chema_nordland_spear_and_shieldmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_nordland_sea_hawks_crossbow	chema_nordland_sea_hawks_crossbow	melee_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	100	0	0	false	wh2_dlc13_emp_crossbow_stir_river_patrol	25		small	jar_adj_com_unit_set_infantry
chema_nordland_sea_hawks_spear	chema_nordland_sea_hawks_spear	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_nordland_norse_mercenary	chema_nordland_norse_mercenary	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_nordland_marine_gunner	chema_nordland_marine_gunner	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	80	0	0	false	wh3_chd_blunderbuss_bullet	18		small	jar_adj_com_unit_set_infantry
chema_nordland_emp_state_troops_handgunners	chema_nordland_emp_state_troops_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22	archer	small	jar_adj_com_unit_set_infantry
chema_nordland_empire_knights	chema_nordland_empire_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
chema_nordland_manaan_knight_foo	chema_nordland_manaan_knight_foo	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_nordland_manaan_knights	chema_nordland_manaan_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
