mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
chema_ostland_spearmen	chema_ostland_spearmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_ostland_swordmen	chema_ostland_swordmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_ostland_halberdiers	chema_ostland_halberdiers	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_blackguard	chema_ostland_blackguard	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_state_troops_crossbowmen	chema_ostland_state_troops_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
chema_ostland_fireloques	chema_ostland_fireloques	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	80	0	0	false	wh2_dlc13_emp_rifle_surefires	25		small	jar_adj_com_unit_set_infantry
chema_ostland_emp_state_troops_handgunners	chema_ostland_emp_state_troops_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22	archer	small	jar_adj_com_unit_set_infantry
chema_ostland_empire_knights	chema_ostland_empire_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
chema_ostland_skalten_crossaxe	chema_ostland_skalten_crossaxe	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_ogr_maneater_pistol	chema_ostland_ogr_maneater_pistol	monstrous_infantry	inf_ranged	inf_mis	wh3_main_ogr_monstrous_pistol	missile_infantry	true	16	0	0	false	wh3_ogr_pistol_bullet	20	archer	large	jar_adj_com_unit_set_monstrous_infantry
chema_ostland_apocalipsis_flagellants	chema_ostland_apocalipsis_flagellants	melee_infantry	inf_melee	inf_mel	wh_dlc04_emp_flagelllents	infantry	true	1	0	0	false		0	melee	small	jar_adj_com_unit_set_single_entities
chema_ostland_altar_sigmar_cart	chema_ostland_altar_sigmar_cart	chariot	war_machine	chariot	magic_chariot	artillery_war_machines	true	1	1	4	true		0	melee	small	jar_adj_com_unit_set_chariots_war_machines
chema_ostland_scarlet_curs	chema_ostland_scarlet_curs	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_ostland_chain_infernal_flagellant	chema_ostland_chain_infernal_flagellant	melee_infantry	inf_melee	inf_mel	wh3_dlc26_kho_infantry_wrathmongers	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_wonfenburg_twice_bolds	chema_ostland_wonfenburg_twice_bolds	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_greatsword	chema_ostland_greatsword	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_fire_archer	chema_ostland_fire_archer	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_dlc07_brt_longbow_fire	20	archer	small	jar_adj_com_unit_set_infantry
chema_ostland_archer	chema_ostland_archer	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_huntsmen	20	archer	small	jar_adj_com_unit_set_infantry
chema_ostland_wolfenburg_skullbreaker	chema_ostland_wolfenburg_skullbreaker	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_ostland_spear_and_shieldmen	chema_ostland_spear_and_shieldmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
