mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
chema_talabecland_spearmen	chema_talabecland_spearmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talabecland_swordmen	chema_talabecland_swordmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_craterblades	chema_talab_craterblades	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	150	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_taal_chosen	chema_talab_taal_chosen	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	80	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_talabheim_curs	chema_talab_talabheim_curs	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_city_guard	chema_talab_city_guard	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_ taalbaston_spear	chema_talab_ taalbaston_spear	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	150	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_vengeful_blades	chema_talab_vengeful_blades	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
chema_talab_deer_knights	chema_talab_deer_knights	melee_cavalry	cavalry	cav_shk	cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
chema_talab_beast_hunters	chema_talab_beast_hunters	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh2_dlc13_emp_bow_archers	20		small	jar_adj_com_unit_set_infantry
chema_talabecland_halberdiers	chema_talabecland_halberdiers	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_talab_archer	chema_talab_archer	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_huntsmen	20	archer	small	jar_adj_com_unit_set_infantry
chema_talab_greatswords	chema_talab_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_talab_demigryph_knights_taal_fury	chema_talab_demigryph_knights_taal_fury	monstrous_cavalry	cavalry	cav_shk	monstrous_shock_cavalry	cavalry_chariots	true	32	0	32	false		0	melee	medium	jar_adj_com_unit_set_cavalry
chema_talab_empire_knights	chema_talab_empire_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
chema_talab_state_troops_crossbowmen	chema_talab_state_troops_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
chema_talab_spear_and_shieldmen	chema_talab_spear_and_shieldmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
chema_talab_emp_state_troops_handgunners	chema_talab_emp_state_troops_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22	archer	small	jar_adj_com_unit_set_infantry
chema_talab_emp_state_troops_handgunners_bronzeballs	chema_talab_emp_state_troops_handgunners_bronzeballs	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_rifle_surefires	25	archer	small	jar_adj_com_unit_set_infantry
chema_talab_vi_regiment	chema_talab_vi_regiment	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	150	0	0	false	wh2_dlc13_emp_rifle_surefires	30	archer	small	jar_adj_com_unit_set_infantry
