mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh3_main_grn_inf_orc_boyz_spear_shield	wh3_main_grn_inf_orc_boyz_spear_shield	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn	vcs_sharkmen_lowborn	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	40	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_dual	vcs_sharkmen_lowborn_dual	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	40	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_pike	vcs_sharkmen_lowborn_pike	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	40	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_shield	vcs_sharkmen_lowborn_shield	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	40	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_pike_shield	vcs_sharkmen_lowborn_pike_shield	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	40	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_archer	vcs_sharkmen_lowborn_archer	missile_infantry	inf_ranged	inf_mis	shark_ranged	missile_infantry	true	32	0	0	false	vcs_sharkmen_lowborn_archer	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_canoneer	vcs_sharkmen_lowborn_canoneer	missile_infantry	inf_ranged	inf_mis	shark_ranged	missile_infantry	true	32	0	0	false	vcs_sharkmen_lowborn_canoneer	1		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_crossbow	vcs_sharkmen_lowborn_crossbow	missile_infantry	inf_ranged	inf_mis	shark_ranged	missile_infantry	true	32	0	0	false	vcs_sharkmen_lowborn_crossbow	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_axerifle	vcs_sharkmen_lowborn_axerifle	missile_infantry	inf_ranged	inf_mis	shark_ranged	missile_infantry	true	32	0	0	false	vcs_sharkmen_lowborn_axerifle	22		small	jar_adj_com_unit_set_infantry
vcs_lowborn_big_canoneer_v2	vcs_lowborn_big_canoneer_v2	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	24	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_lowborn_big_canoneer	vcs_lowborn_big_canoneer	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	24	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_lowborn_big_harpooner	vcs_lowborn_big_harpooner	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	24	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_lowborn_big_mortar	vcs_lowborn_big_mortar	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	24	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_lowborn_big_catcher	vcs_lowborn_big_catcher	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	24	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_lowborn_big_gatling	vcs_lowborn_big_gatling	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	24	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_sharkmen_lowborn_grate_axe	vcs_sharkmen_lowborn_grate_axe	melee_infantry	inf_melee	inf_mel	shark_grate_axe	infantry	true	40	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_vomiter	vcs_vomiter	monster	inf_melee	inf_mel	monster_generic	monster_beasts	true	1	0	0	false	vcs_vomiter	10		very_large	jar_adj_com_unit_set_single_entities
vcs_screamer	vcs_screamer	monster	inf_melee	inf_mel	monster_generic	monster_beasts	true	1	0	0	false	vcs_screamer	40		very_large	jar_adj_com_unit_set_single_entities
vcs_lophius	vcs_lophius	melee_cavalry	inf_melee	inf_mel	monster_generic	monster_beasts	true	60	0	0	false		0		medium	jar_adj_com_unit_set_cavalry
vcs_lophius_explosion	vcs_lophius_explosion	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	1	0	0	false		0		medium	jar_adj_com_unit_set_single_entities
vcs_living_prometheans	vcs_living_prometheans	war_beast	inf_melee	spcl	monster_generic	monster_beasts	true	24	0	0	false		0		small	jar_adj_com_unit_set_war_beasts
vcs_living_prometheans_ror	vcs_living_prometheans_ror	war_beast	inf_melee	spcl	monster_generic	monster_beasts	true	24	0	0	false		0		small	jar_adj_com_unit_set_war_beasts
vcs_living_prometheans_poison	vcs_living_prometheans_poison	war_beast	inf_melee	spcl	monster_generic	monster_beasts	true	24	0	0	false		0		small	jar_adj_com_unit_set_war_beasts
vcs_sharkmen_juggernaut_dual	vcs_sharkmen_juggernaut_dual	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	24	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_juggernaut_shield	vcs_sharkmen_juggernaut_shield	melee_infantry	inf_melee	inf_mel	shark_infantry	infantry	true	24	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_juggernaut_axerifle	vcs_sharkmen_juggernaut_axerifle	missile_infantry	inf_ranged	inf_mis	shark_ranged	missile_infantry	true	24	0	0	false	vcs_sharkmen_juggernaut_axerifle	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_pistol_dual	vcs_sharkmen_lowborn_pistol_dual	missile_infantry	inf_ranged	inf_mel	shark_ranged	missile_infantry	true	32	0	0	false	vcs_sharkmen_lowborn_pistol_dual	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_lowborn_pistol_shield	vcs_sharkmen_lowborn_pistol_shield	missile_infantry	inf_ranged	inf_mel	shark_ranged	missile_infantry	true	32	0	0	false	vcs_sharkmen_lowborn_pistol_shield	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_juggernaut_pistol_dual	vcs_sharkmen_juggernaut_pistol_dual	missile_infantry	inf_ranged	inf_mel	shark_ranged	missile_infantry	true	24	0	0	false	vcs_sharkmen_juggernaut_pistol_dual	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_juggernaut_pistol_shield	vcs_sharkmen_juggernaut_pistol_shield	missile_infantry	inf_ranged	inf_mel	shark_ranged	missile_infantry	true	24	0	0	false	vcs_sharkmen_juggernaut_pistol_shield	22		small	jar_adj_com_unit_set_infantry
vcs_orca_hunter	vcs_orca_hunter	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	12	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca_fighter	vcs_orca_fighter	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	12	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca	vcs_orca	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca_berserker	vcs_orca_berserker	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	12	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca_ronin	vcs_orca_ronin	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	8	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca_spearmen	vcs_orca_spearmen	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca_ronin_spearmen	vcs_orca_ronin_spearmen	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	8	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_orca_stonebringer	vcs_orca_stonebringer	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	12	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
vcs_fishmen_archer	vcs_fishmen_archer	missile_infantry	inf_ranged	inf_mis	monster_generic	monster_beasts	true	120	0	0	false	vcs_fishmen_archer	24		small	jar_adj_com_unit_set_infantry
vcs_fishmen_spearmen	vcs_fishmen_spearmen	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_hammerhead	vcs_sharkmen_hammerhead	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_hammerhead_shield	vcs_sharkmen_hammerhead_shield	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_hammerhead_archer	vcs_sharkmen_hammerhead_archer	missile_infantry	inf_ranged	inf_mis	monster_generic	monster_beasts	true	80	0	0	false	vcs_hammerhead_ashigaru_bow	22		small	jar_adj_com_unit_set_infantry
vcs_sharkmen_hammerhead_axerifle	vcs_sharkmen_hammerhead_axerifle	missile_infantry	inf_ranged	inf_mis	monster_generic	monster_beasts	true	80	0	0	false	vcs_sharkmen_hammerhead_axerifle	22		small	jar_adj_com_unit_set_infantry
vcs_nippon_sea_drake	vcs_nippon_sea_drake	monster	inf_melee	inf_mel	monster_generic	monster_beasts	true	1	0	0	false		0		very_large	jar_adj_com_unit_set_single_entities
vcs_nippon_sea_drake_ror	vcs_nippon_sea_drake_ror	monster	inf_melee	inf_mel	monster_generic	monster_beasts	true	1	0	0	false		0		very_large	jar_adj_com_unit_set_single_entities
gmd_vpc_punished	gmd_vpc_punished	monster	inf_melee	inf_mel	monster_generic	monster_beasts	true	4	0	0	false		0		very_large	jar_adj_com_unit_set_war_beasts
gmd_vpc_punished_deckhands	gmd_vpc_punished_deckhands	monster	inf_ranged	inf_mel	monster_generic	monster_beasts	true	4	0	0	false	gmd_vpc_punished_deckhands	20		very_large	jar_adj_com_unit_set_war_beasts
gmd_vpc_punished_cannon	gmd_vpc_punished_cannon	monster	inf_ranged	inf_mel	monster_generic	monster_beasts	true	4	0	0	false	gmd_vpc_punished_cannon	20		very_large	jar_adj_com_unit_set_war_beasts
gmd_vpc_punished_cannon_ror	gmd_vpc_punished_cannon_ror	monster	inf_ranged	inf_mel	monster_generic	monster_beasts	true	4	0	0	false	gmd_vpc_punished_cannon_ror	20		very_large	jar_adj_com_unit_set_war_beasts
gmd_vpc_punished_vendicator	gmd_vpc_punished_vendicator	monster	inf_ranged	inf_mel	monster_generic	monster_beasts	true	4	0	0	false	gmd_vpc_punished_vendicator	4000		very_large	jar_adj_com_unit_set_war_beasts
gmd_vpc_punished_megalodon_vindicator	gmd_vpc_punished_megalodon_vindicator	monster	inf_ranged	inf_mel	monster_generic	monster_beasts	true	1	0	0	false	gmd_vpc_punished_megalodon_vindicator	4000		large	jar_adj_com_unit_set_single_entities
gmd_vpc_punished_megalodon_vindicator_ror	gmd_vpc_punished_megalodon_vindicator_ror	monster	inf_ranged	inf_mel	monster_generic	monster_beasts	true	1	0	0	false	gmd_vpc_punished_megalodon_vindicator_ror	4000		large	jar_adj_com_unit_set_single_entities
cst_gmd_leviathan	cst_gmd_leviathan	monster	inf_melee	inf_mel	cst_gmd_leviathan	monster_beasts	true	4	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cst_gmd_leviathan_crushers	cst_gmd_leviathan_crushers	monster	inf_melee	inf_mel	cst_gmd_leviathan_hammer	monster_beasts	true	4	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cst_gmd_leviathan_sprayer	cst_gmd_leviathan_sprayer	monster	inf_ranged	inf_mel	cst_gmd_leviathan_ranged	missile_monster_beasts	true	4	0	0	true	cst_gmd_leviathan_sprayer	40		very_large	jar_adj_com_unit_set_single_entities
cst_gmd_leviathan_seer	cst_gmd_leviathan_seer	monster	inf_melee	inf_mel	cst_gmd_leviathan	monster_beasts	true	4	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cst_gmd_leviathan_dual_wield	cst_gmd_leviathan_dual_wield	monster	inf_melee	inf_mel	cst_gmd_leviathan_ranged	missile_monster_beasts	true	4	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cst_gmd_drawned_miner_0	cst_gmd_drawned_miner_0	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
cst_gmd_drawned_miner_1	cst_gmd_drawned_miner_1	melee_infantry	inf_melee	inf_mel	monster_generic	monster_beasts	true	100	0	0	false	cst_gmd_drawned_waterball	1		small	jar_adj_com_unit_set_infantry
wh_main_grn_inf_savage_orcs	wh_main_grn_inf_savage_orcs	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh3_main_ogr_inf_ogres_0	wh3_main_ogr_inf_ogres_0	monstrous_infantry	inf_melee	inf_mel	wh3_main_ogr_monstrous	infantry	true	24	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
