mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
mf_srvbrgTH_brt_dishonored_knights	mf_srvbrgTH_brt_dishonored_knights	melee_infantry	inf_melee	inf_mel	mf_srvbrgTH_infantry_mace	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_brigand_crossbows_armored	mf_srvbrgTH_brt_brigand_crossbows_armored	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_brigand_blunderbuss_armored	mf_srvbrgTH_brt_brigand_blunderbuss_armored	missile_infantry	inf_ranged	inf_mis	missile_infantry_grudge_raker	missile_infantry	true	90	0	0	false	mf_srvbrgTH_brt_brigand_blunderbuss	22	archer	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_herrimault_rangers	mf_srvbrgTH_brt_herrimault_rangers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	mf_srvbrgTH_brt_longbow_herrimault_ranger	22	archer	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_brigand_rapscallions	mf_srvbrgTH_brt_brigand_rapscallions	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	mf_srvbrgTH_brt_brigand_rapscallions_pistol	18	archer	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_brigand_rapscallions_armored	mf_srvbrgTH_brt_brigand_rapscallions_armored	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	mf_srvbrgTH_brt_brigand_rapscallions_pistol	18	archer	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_brigand_knaves	mf_srvbrgTH_brt_brigand_knaves	missile_infantry	inf_ranged	inf_mel	missile_infantry_pistol	missile_infantry	true	100	0	0	false	mf_srvbrgTH_brt_knave_pistol	18	archer	small	jar_adj_com_unit_set_infantry
mf_srvbrgth_brt_inf_returned_men_at_arms_halberds	mf_srvbrgth_brt_inf_returned_men_at_arms_halberds	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_peasant_mob_free	wh_dlc07_brt_inf_peasant_mob_0	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
mf_srvbrgTH_brt_brigand_plunderer	mf_srvbrgTH_brt_brigand_plunderer	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
brt_bowmen_of_bergerac	brt_bowmen_of_bergerac	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	brt_longbow_herrimault	22		small	jar_adj_com_unit_set_infantry
brt_aspirant_hoods	brt_aspirant_hoods	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	16	0	0	false	brt_aspirant_hoods_arrow	35		small	jar_adj_com_unit_set_infantry
brt_brigand_waylayers	brt_brigand_waylayers	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
brt_brigand_cutthroats	brt_brigand_cutthroats	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
brt_herrimaults	brt_herrimaults	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	brt_longbow_herrimault	22	archer	small	jar_adj_com_unit_set_infantry
brt_brigands	brt_brigands	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
brt_brigands_axes	brt_brigands_axes	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
brt_brigand_raiders	brt_brigand_raiders	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
brt_chasseurs	brt_chasseurs	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	48	0	60	false	brt_longbow_herrimault	18		medium	jar_adj_com_unit_set_cavalry
brt_brigand_crossbows	brt_brigand_crossbows	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
