mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh2_dlc12_skv_inf_clanrats_ror_0	wh2_dlc12_skv_inf_clanrats_ror_0	melee_infantry	inf_melee	inf_mel	infantry_sword_grn	infantry	true	240	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc12_skv_inf_plague_monk_censer_bearer_ror_0	wh2_dlc12_skv_inf_plague_monk_censer_bearer_ror_0	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_censer	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc12_skv_inf_stormvermin_ror_0	wh2_dlc12_skv_inf_stormvermin_ror_0	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_halberd	infantry	true	200	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc14_skv_inf_death_runners_ror_0	wh2_dlc14_skv_inf_death_runners_ror_0	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_sword_death_runners	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc14_skv_inf_eshin_triads_0	wh2_dlc14_skv_inf_eshin_triads_0	melee_infantry	inf_melee	inf_mel	wh2_dlc14_skv_infantry_guandao	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc14_skv_inf_eshin_triads_ror_0	wh2_dlc14_skv_inf_eshin_triads_ror_0	melee_infantry	inf_melee	inf_mel	wh2_dlc14_skv_infantry_guandao	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc14_skv_inf_eshin_triads_ror_summoned_0	wh2_dlc14_skv_inf_eshin_triads_ror_summoned_0	melee_infantry	inf_melee	inf_mel	wh2_dlc14_skv_infantry_guandao	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc14_skv_inf_stormvermin_1_summoned	wh2_dlc14_skv_inf_stormvermin_1_summoned	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_sword_stormvermin	infantry	true	200	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc16_skv_inf_skavenslave_spearmen_0_flesh_lab	wh2_main_skv_inf_skavenslave_spearmen_0	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	300	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc16_skv_inf_skavenslaves_0_flesh_lab	wh2_main_skv_inf_skavenslaves_0	melee_infantry	inf_melee	inf_mel	infantry_sword_grn	infantry	true	300	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh2_dlc16_skv_mon_rat_ogres_flesh_lab	wh2_main_skv_mon_rat_ogres	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	20	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
wh2_dlc16_skv_mon_rat_ogres_ror_0	wh2_dlc16_skv_mon_rat_ogres_ror_0	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	20	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
wh2_dlc16_skv_mon_rat_ogres_summoned	wh2_dlc16_skv_mon_rat_ogres_summoned	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	20	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
wh2_dlc16_skv_mon_wolf_rats_0	wh2_dlc16_skv_mon_wolf_rats_0	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_war_beasts
