mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
gnob_inf_rustbuckets	gnob_inf_rustbuckets	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	100	0	0	false	gnob_rustbucket_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
gnob_inf_rustbuckets_greatweapons	gnob_inf_rustbuckets_greatweapons	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	100	0	0	false	gnob_rustbucket_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
gnob_cav_pigback_riders	gnob_cav_pigback_riders	melee_cavalry	war_beast	cav_mel	gnob_pigback_riders	cavalry_chariots	true	100	0	100	false		0	melee	small	jar_adj_com_unit_set_cavalry
gnob_cav_pigback_riders_javelin	gnob_cav_pigback_riders_javelin	missile_cavalry	war_beast	cav_mis	gnob_pigback_javalins	missile_infantry	true	100	0	100	false	gnob_pigback_riders_javelin	22	archer	small	jar_adj_com_unit_set_cavalry
gnob_inf_fighters	gnob_inf_fighters	melee_infantry	inf_melee	inf_mel	infantry_sword_dual	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
gnob_inf_flingers	gnob_inf_flingers	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_sling	missile_infantry	true	120	0	0	false	wh3_main_ogr_gnoblar_slings	22	archer	small	jar_adj_com_unit_set_infantry
gnob_inf_lucky_gits	gnob_inf_lucky_gits	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
gnob_inf_manbiters	gnob_inf_manbiters	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_censer	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
gnob_inf_ogrebiters	gnob_inf_ogrebiters	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
gnob_inf_powder_sniffers	gnob_inf_powder_sniffers	missile_infantry	inf_melee	inf_mel	wh2_dlc11_cst_explosives_infantry	missile_infantry	true	160	0	0	false	gnob_powder_sniffers_grenade	10	archer	small	jar_adj_com_unit_set_infantry
gnob_mon_rhinox_riders	gnob_mon_rhinox_riders	monster	war_beast	inf_mel	gnob_rhinox_riders	monster_beasts	true	4	0	1	true		200	melee	very_large	jar_adj_com_unit_set_single_entities
gnob_mon_yhetees	gnob_mon_yhetees	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
gnob_ror_boom_squad	gnob_ror_boom_squad	chariot	war_machine	chariot	catapult	artillery_war_machines	true	1	1	1	false	gnob_ror_boom_squad_scrap_launcher	18	artillery	small	jar_adj_com_unit_set_chariots_war_machines
gnob_ror_gnoblags_manbiters	gnob_ror_gnoblags_manbiters	melee_infantry	inf_melee	inf_mel	infantry_sword_dual	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
gnob_ror_gorespittles	gnob_ror_gorespittles	missile_infantry	inf_melee	inf_mel	wh3_main_ogr_throwing_dagger_infantry	missile_infantry	true	160	0	0	false	gnob_gorespittles_throwing_axe	10	archer	small	jar_adj_com_unit_set_infantry
gnob_ror_knights_of_pigbarter	gnob_ror_knights_of_pigbarter	melee_cavalry	war_beast	cav_mel	gnob_pigback_ror	cavalry_chariots	true	100	0	100	false		0	melee	small	jar_adj_com_unit_set_cavalry
gnob_ror_scalded_horde	gnob_ror_scalded_horde	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
gnob_ror_skullflingers	gnob_ror_skullflingers	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_sling	missile_infantry	true	160	0	0	false	gnob_skullflingers_sling	22	archer	small	jar_adj_com_unit_set_infantry
gnob_ror_mist_dragons	gnob_ror_mist_dragons	monstrous_infantry	war_beast	cav_mis	monstrous_infantry	monster_beasts	true	16	0	16	false		22	melee	small	jar_adj_com_unit_set_war_beasts
gnob_cav_sabretusk_riders	gnob_cav_sabretusk_riders	monstrous_cavalry	war_beast	cav_mel	war_beast	monster_beasts	true	48	0	48	false	gnob_sabretusk_riders_throwing_dagger	4	melee	small	jar_adj_com_unit_set_cavalry
gnob_ror_empire_gunners	gnob_ror_empire_gunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	100	0	0	false	gnob_ror_phut_gun_pistol	22	melee	small	jar_adj_com_unit_set_infantry
gnob_ror_kings_treasure_guards	gnob_ror_kings_treasure_guards	melee_infantry	inf_melee	spcl	infantry_sword	infantry	true	1	0	0	false		0	melee	large	jar_adj_com_unit_set_single_entities
gnob_mon_lava_spiders	gnob_mon_lava_spiders	monstrous_infantry	inf_melee	inf_mel	grn_spider_hatchling	monster_beasts	true	60	0	0	false		0	melee	medium	jar_adj_com_unit_set_monstrous_infantry
gnob_mon_great_scarlet_iiwi	gnob_mon_great_scarlet_iiwi	monster	inf_melee	inf_mel	wh2_main_hef_phoenix_fire	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
gnob_mon_arachnarok_spider	gnob_mon_arachnarok_spider	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	melee	very_large	jar_adj_com_unit_set_single_entities
