mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
amazon_huntress	amazon_huntress	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	amz_huntress_bow	24	skirmish	small	jar_adj_com_unit_set_infantry
amazon_templeguard	amazon_templeguard	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	90	0	0	false	amz_templeguard_bow	22	melee	small	jar_adj_com_unit_set_infantry
amazon_blessed_templeguard	amazon_blessed_templeguard	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	85	0	0	false	amz_templeguard_bow	28	melee	small	jar_adj_com_unit_set_infantry
amazon_blessed_huntress	amazon_blessed_huntress	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	amz_blessed_huntress_bow	34	skirmish	small	jar_adj_com_unit_set_infantry
amazon_calavera	amazon_calavera	melee_infantry	inf_melee	inf_mel	wh2_main_lzd_infantry_cudgel	infantry	true	125	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
amazon_blessed_calavera	amazon_blessed_calavera	melee_infantry	inf_melee	inf_mel	wh2_main_lzd_infantry_cudgel	infantry	true	125	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
amazon_jaguar_cavalry	amazon_jaguar_cavalry	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	amz_jaguar_cavalry_bow	22	archer	medium	jar_adj_com_unit_set_cavalry
amazon_blessed_jaguar_cavalry	amazon_blessed_jaguar_cavalry	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	amz_blessed_jaguar_cavalry_bow	22	archer	medium	jar_adj_com_unit_set_cavalry
amazon_templeguard_ror	amazon_templeguard_ror	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	amz_templeguard_bow	35	melee	small	jar_adj_com_unit_set_infantry
amazon_calavera_ror	amazon_calavera_ror	melee_infantry	inf_melee	inf_mel	wh2_main_lzd_infantry_cudgel	infantry	true	125	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
amazon_huntress_ror	amazon_huntress_ror	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	amz_blessed_huntress_bow	38	skirmish	small	jar_adj_com_unit_set_infantry
