mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
cf_menagerie_cold_ones	cf_menagerie_cold_ones	melee_cavalry	inf_melee	inf_mel	cf_menagerie_cold_ones	monster_beasts	true	32	0	0	false		0	melee	medium	jar_adj_com_unit_set_cavalry
cf_menagerie_dread_saurian	cf_menagerie_dread_saurian	monster	inf_melee	inf_mel	wh2_dlc17_lzd_dread_saurian	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_squig_explosive	cf_menagerie_squig_explosive	war_beast	inf_melee	inf_mel	wh2_dlc15_squig_explosive	monster_beasts	true	1	0	0	false		0	melee	medium	jar_adj_com_unit_set_single_entities
cf_menagerie_spider_hatchlings	cf_menagerie_spider_hatchlings	war_beast	inf_melee	inf_mel	grn_spider_hatchling	monster_beasts	true	60	0	0	false		0	melee	very_small	jar_adj_com_unit_set_war_beasts
cf_menagerie_giant_wolves	cf_menagerie_giant_wolves	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	48	0	0	false		0	melee	small	jar_adj_com_unit_set_war_beasts
cf_menagerie_sabretusk_pack	cf_menagerie_sabretusk_pack	war_beast	inf_melee	spcl	war_beast	monster_beasts	true	32	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
cf_menagerie_carnosaur	cf_menagerie_carnosaur	monster	inf_melee	inf_mel	wh2_dlc17_lzd_carnosaur	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_war_mammoth	cf_menagerie_war_mammoth	monster	inf_melee	inf_mel	nor_mammoth	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_wyvern	cf_menagerie_wyvern	monster	inf_melee	inf_mel	dragon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_giant_spiders	cf_menagerie_giant_spiders	monstrous_infantry	inf_melee	inf_mel	grn_spider_hatchling	monster_beasts	true	60	0	0	false		0	melee	medium	jar_adj_com_unit_set_monstrous_infantry
cf_menagerie_bastiladon	cf_menagerie_bastiladon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_bastiladon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_stegadon	cf_menagerie_stegadon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_stegadon_feral	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_brown_bears	cf_menagerie_brown_bears	war_beast	inf_melee	inf_mel	wh3_main_monster_feral_bear	monster_beasts	true	16	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
cf_menagerie_ice_bears	cf_menagerie_ice_bears	war_beast	inf_melee	inf_mel	wh3_main_monster_feral_bear	monster_beasts	true	12	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
cf_menagerie_merwyrm	cf_menagerie_merwyrm	monster	inf_melee	inf_mel	wh3_dlc27_hef_merwyrm	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_frost_wyrm	cf_menagerie_frost_wyrm	monster	inf_melee	inf_mel	wh3_dlc24_ksl_frost_wyrm	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_war_lions	cf_menagerie_war_lions	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	24	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
cf_menagerie_great_eagle	cf_menagerie_great_eagle	monster	inf_melee	inf_mel	wh_dlc05_wef_great_eagle	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
cf_menagerie_flamespyre_phoenix	cf_menagerie_flamespyre_phoenix	monster	inf_melee	inf_mel	wh2_main_hef_phoenix_fire	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
cf_menagerie_stonehorn	cf_menagerie_stonehorn	monster	war_beast	inf_mel	wh3_main_ogr_stonehorn	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_menagerie_great_moon_bird	cf_menagerie_great_moon_bird	monster	inf_melee	inf_mel	wh3_dlc24_mon_great_moon_bird	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
cf_menagerie_snow_leopard	cf_menagerie_snow_leopard	monster	inf_melee	inf_mel	wh3_main_ksl_snow_leopard	monster_beasts	true	1	0	0	true		0	melee	medium	jar_adj_com_unit_set_single_entities
cf_menagerie_arachnarok_spider	cf_menagerie_arachnarok_spider	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	1	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
