mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
azguz_bloodfist_dwarf_warriors	azguz_bloodfist_dwarf_warriors	melee_infantry	inf_melee	inf_mel	azguz_bloodfist_dwarf_warriors	dark_omen	false	150	0	0	false		0		small	jar_adj_com_unit_set_infantry
azguz_bloodfist_dwarf_warriors_upgrade	azguz_bloodfist_dwarf_warriors	melee_infantry	inf_melee	inf_mel	azguz_bloodfist_dwarf_warriors	dark_omen	false	190	0	0	false		0		small	jar_adj_com_unit_set_infantry
black_avangers	black_avangers	melee_infantry	inf_melee	inf_mel	black_avangers	dark_omen	false	280	0	0	false		0		small	jar_adj_com_unit_set_infantry
boris_von_raukov_4th_nuln_halberdiers	boris_von_raukov_4th_nuln_halberdiers	melee_infantry	inf_melee	inf_mel	boris_von_raukov_4th_nuln_halberdiers	dark_omen	false	168	0	0	false		0		small	jar_adj_com_unit_set_infantry
grudgebringer_cavalry	grudgebringer_cavalry	melee_cavalry	cavalry	cav_mel	grudgebringer_cavalry	dark_omen	false	60	0	80	false		0		medium	jar_adj_com_unit_set_cavalry
grudgebringer_cavalry_upgrade	grudgebringer_cavalry	melee_cavalry	cavalry	cav_mel	grudgebringer_cavalry	dark_omen	false	80	0	80	false		0		medium	jar_adj_com_unit_set_cavalry
carlsson_cavalry	carlsson_cavalry	melee_cavalry	war_beast	cav_shk	carlsson_cavalry	dark_omen	false	70	0	70	false		0		medium	jar_adj_com_unit_set_cavalry
vannheim_75th	vannheim_75th	melee_cavalry	cavalry	cav_shk	vannheim_75th	dark_omen	false	90	0	90	false		0		medium	jar_adj_com_unit_set_cavalry
grudgebringer_infantry	grudgebringer_infantry	melee_infantry	inf_melee	inf_mel	grudgebringer_infantry	dark_omen	false	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
grudgebringer_infantry_upgrade	grudgebringer_infantry	melee_infantry	inf_melee	inf_mel	grudgebringer_infantry	dark_omen	false	200	0	0	false		0		small	jar_adj_com_unit_set_infantry
dargrimm_firebeard_dwarf_warriors	dargrimm_firebeard_dwarf_warriors	melee_infantry	inf_melee	inf_mel	dargrimm_firebeard_dwarf_warriors	dark_omen	false	200	0	0	false		0		small	jar_adj_com_unit_set_infantry
elrod_wood_elf_glade_guards	elrod_wood_elf_glade_guards	melee_infantry	inf_melee	inf_mel	elrod_wood_elf_glade_guards	dark_omen	false	136	0	0	false		0		small	jar_adj_com_unit_set_infantry
galed_elf_archers	galed_elf_archers	missile_infantry	inf_ranged	inf_mis	galed_elf_archers	dark_omen	false	135	0	0	false	galed_elf_archers	22		small	jar_adj_com_unit_set_infantry
galed_elf_archers_upgrade	galed_elf_archers	missile_infantry	inf_ranged	inf_mis	galed_elf_archers	dark_omen	false	143	0	0	false	galed_elf_archers	22		small	jar_adj_com_unit_set_infantry
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry	inf_ranged	inf_mis	grudgebringer_crossbow	dark_omen	false	90	0	0	false	grudgebringer_crossbow	22		small	jar_adj_com_unit_set_infantry
grudgebringer_crossbow_upgrade	grudgebringer_crossbow	missile_infantry	inf_ranged	inf_mis	grudgebringer_crossbow	dark_omen	false	120	0	0	false	grudgebringer_crossbow	22		small	jar_adj_com_unit_set_infantry
helmgart_bowmen	helmgart_bowmen	missile_infantry	inf_ranged	inf_mis	helmgart_bowmen	dark_omen	false	150	0	0	false	helmgart_bowmen	22		small	jar_adj_com_unit_set_infantry
keelers_longbows	keelers_longbows	missile_infantry	inf_ranged	inf_mis	keelers_longbows	dark_omen	false	105	0	0	false	helmgart_bowmen	24		small	jar_adj_com_unit_set_infantry
carlsson_guard	carlsson_guard	melee_infantry	inf_melee	inf_mel	carlsson_guard	dark_omen	false	118	0	0	false		0		small	jar_adj_com_unit_set_infantry
carlsson_guard_upgrade	carlsson_guard	melee_infantry	inf_melee	inf_mel	carlsson_guard	dark_omen	false	218	0	0	false		0		small	jar_adj_com_unit_set_infantry
carlsson_guard_upgrade_upgrade	carlsson_guard	melee_infantry	inf_melee	inf_mel	carlsson_guard	dark_omen	false	318	0	0	false		0		small	jar_adj_com_unit_set_infantry
urblab_rotgut_mercenary_ogres	urblab_rotgut_mercenary_ogres	monstrous_infantry	inf_melee	inf_mel	urblab_rotgut_mercenary_ogres	dark_omen	false	20	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
grudgebringer_cannon	grudgebringer_cannon	warmachine	artillery	art_fld	grudgebringer_cannon	dark_omen	false	44	4	0	false		30		small	jar_adj_com_unit_set_chariots_war_machines
uter_blomkwist_imperial_mortar	uter_blomkwist_imperial_mortar	warmachine	artillery	art_fld	uter_blomkwist_imperial_mortar	dark_omen	false	44	4	0	false		22		small	jar_adj_com_unit_set_chariots_war_machines
