mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
chd_train_vengrin_ror	chd_train_vengrin_ror	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	19	1	1	true		1000		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_magmalobs	chd_train_magmalobs	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	15	1	1	true		50		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_hashuts_flame	chd_train_hashuts_flame	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	15	1	1	true		2000		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_large_rocket	chd_train_large_rocket	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	15	1	1	true		50		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_starquake	chd_train_starquake	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	15	1	1	true		50		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_laser	chd_train_laser	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	8	1	1	true		2000		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_units_warriors	chd_train_units_warriors	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	40	1	1	true		2000		small	jar_adj_com_unit_set_chariots_war_machines
chd_train_units_infernals	chd_train_units_infernals	warmachine	war_machine	chariot	chd_iron_daemon	artillery_war_machines	true	40	1	1	true		2000		small	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_w_multi_cannon_ror	chd_turtle_tank_w_multi_cannon_ror	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	12	1	1	true		350	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_w_cannon	chd_turtle_tank_w_cannon	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	12	1	1	true		20	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_w_turret	chd_turtle_tank_w_turret	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	5	1	1	true		200	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_carrier	chd_turtle_tank_carrier	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	3	1	1	true		200	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_shorter	chd_turtle_tank_shorter	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	5	1	1	true		200	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_grand_mortar_ror	chd_turtle_tank_grand_mortar_ror	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	1	1	1	true		1	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_grand_mortar_al	chd_turtle_tank_grand_mortar_al	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	1	1	1	true		60	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_turtle_tank_grand_mortar_ai	chd_turtle_tank_grand_mortar_ai	warmachine	war_machine	chariot	chd_dreadquake	artillery_war_machines	true	1	1	1	true		300	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
chd_golden_legion_laser_rifle_ror	chd_golden_legion_laser_rifle_ror	melee_infantry	inf_melee	inf_mel	missile_infantry_rifle	missile_infantry	true	60	0	0	false	chd_laser_rifle_bullet	30		small	jar_adj_com_unit_set_infantry
chd_golden_legion_laser_sniper_ror	chd_golden_legion_laser_sniper_ror	melee_infantry	inf_melee	inf_mel	missile_infantry_sniper	missile_infantry	true	24	0	0	false	chd_laser_sniper_bullet	12		small	jar_adj_com_unit_set_infantry
chd_gunners_shotgun	chd_gunners_shotgun	missile_infantry	inf_ranged	inf_mis	chd_blunderbuss_axe	missile_infantry	true	80	0	0	false	chd_shotgun_bullet	32		small	jar_adj_com_unit_set_infantry
chd_gunners_sawed_off	chd_gunners_sawed_off	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	80	0	0	false	chd_sawed_shotgun_bullet	15		small	jar_adj_com_unit_set_infantry
chd_infernal_gunners_repeaters	chd_infernal_gunners_repeaters	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	80	0	0	false	chd_repeaters_bullet	50		small	jar_adj_com_unit_set_infantry
chd_infernal_gunners_sniper	chd_infernal_gunners_sniper	missile_infantry	inf_ranged	inf_mis	missile_infantry_sniper	missile_infantry	true	24	0	0	false	chd_sniper_bullet	15		small	jar_adj_com_unit_set_infantry
chd_wt_magma_spewer	chd_wt_magma_spewer	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes	missile_infantry	true	28	0	0	false	chd_wt_magma_spewer_bullet	18		small	jar_adj_com_unit_set_infantry
chd_wt_ash_storm_maker	chd_wt_ash_storm_maker	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes_torpedo	missile_infantry	true	28	0	0	false	chd_wt_ash_storm_maker_bullet	18		small	jar_adj_com_unit_set_infantry
chd_prazaskal_hazkala_quadpistol	chd_prazaskal_hazkala_quadpistol	melee_infantry	inf_melee	inf_mel	missile_infantry_pistol	missile_infantry	true	80	0	0	false	chd_quadpistol_bullet	10		small	jar_adj_com_unit_set_infantry
chd_etal_hazkala_rifle	chd_etal_hazkala_rifle	melee_infantry	inf_melee	inf_mel	chd_fireglaive	missile_infantry	true	80	0	0	false	chd_huge_rifle_bullet	45		small	jar_adj_com_unit_set_infantry
chd_wt_flame_belcher	chd_wt_flame_belcher	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes	missile_infantry	true	28	0	0	false	chd_wt_flame_belcher_bullet	100		small	jar_adj_com_unit_set_infantry
chd_wt_obsidian_shards	chd_wt_obsidian_shards	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes_torpedo	missile_infantry	true	28	0	0	false	chd_wt_obsidian_shards_bullet	18		small	jar_adj_com_unit_set_infantry
