mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
derpy_gp_dwf_great_mortar	derpy_gp_dwf_great_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	60	1	0	false		8		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_dwf_mortar_malakai	derpy_gp_dwf_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	50	4	0	false		35		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_dwf_flame_mortar_malakai	derpy_gp_dwf_flame_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	50	3	0	false		35		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_dwf_stonebreaker_malakai	derpy_dwf_stonebreakers	warmachine	inf_ranged	inf_mis	artillery_cannon	artillery_war_machines	true	60	0	0	false	dwf_thunderbreaker_bullet	12		small	jar_adj_com_unit_set_chariots_war_machines
dwf_gp_quarrelstorm_01_malakai	dwf_gp_quarrelstorm_01	warmachine	artillery	art_fld	emp_rocket_battery	artillery_war_machines	true	50	4	0	false		40		small	jar_adj_com_unit_set_chariots_war_machines
dwf_gp_ironblasters_malakai	dwf_gp_ironblasters	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	50	4	0	false		120		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_8mm_turret	derpy_gp_8mm_turret	missile_infantry	war_machine	inf_mis	emp_steam_tank	artillery_war_machines	true	4	4	4	false	derpy_dwf_8mm_gp_deployed_turret	300		large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_20mm_turret	derpy_gp_20mm_turret	missile_infantry	war_machine	inf_mis	emp_steam_tank	artillery_war_machines	true	2	2	2	false	derpy_dwf_25mm_gp_deployed_turret	300		large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_triplecannon_turret	derpy_gp_triplecannon_turret	missile_infantry	war_machine	inf_mis	emp_steam_tank	artillery_war_machines	true	1	1	1	false	dwf_ironblasters_turret	60		large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_drakkfire_turret	derpy_gp_drakkfire_turret	missile_infantry	war_machine	inf_mis	emp_steam_tank	artillery_war_machines	true	1	1	1	false	derpy_dwf_drakkfire_laser_turret	300		large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_gatling_turret	derpy_gp_gatling_turret	missile_infantry	war_machine	inf_mis	emp_steam_tank	artillery_war_machines	true	1	1	1	false	dwf_gatling_bullet_turret	500		large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_rocket_turret	derpy_gp_rocket_turret	missile_infantry	war_machine	inf_mis	emp_steam_tank	artillery_war_machines	true	1	1	1	false	derpy_dwf_multi_rocket	25		large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_dwf_mortar	derpy_gp_dwf_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	50	4	0	false		35		small	jar_adj_com_unit_set_chariots_war_machines
dwf_gp_quarrelstorm_01	dwf_gp_quarrelstorm_01	warmachine	artillery	art_fld	emp_rocket_battery	artillery_war_machines	true	50	4	0	false		40		small	jar_adj_com_unit_set_chariots_war_machines
dwf_gp_ironblasters	dwf_gp_ironblasters	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	50	4	0	false		120		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_dwf_flame_mortar	derpy_gp_dwf_flame_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	50	3	0	false		35		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_dwf_mountainbreaker	derpy_gp_dwf_mountainbreaker	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	60	1	0	false		10		small	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_landship_3_ror	derpy_gp_landship_3_ror	warmachine	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	6	1	1	true		600	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_landship_1_malakai	derpy_gp_landship_1	warmachine	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	9	1	1	true		300	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_landship_1_beer_malakai	derpy_gp_landship_1_beer	warmachine	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	7	1	1	true		300	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_landship_2_malakai	derpy_gp_landship_2	warmachine	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	10	1	1	true		300	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_landship_3	derpy_gp_landship_3	warmachine	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	7	1	1	true		500	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
derpy_gp_landship_3_huge	derpy_gp_landship_3_huge	warmachine	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	4	1	1	true		25	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
