mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
ec_hef_unit_martialartisan_custom_griffon_0	ec_hef_unit_martialartisan_custom_griffon_0	monster	war_beast	inf_mel	ec_griffon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh2_main_hef_cav_dragon_princes	wh2_main_hef_cav_dragon_princes	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh2_dlc10_hef_cav_the_fireborn_ror_0	wh2_dlc10_hef_cav_the_fireborn_ror_0	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh2_main_hef_mon_great_eagle	wh2_main_hef_mon_great_eagle	monster	inf_melee	inf_mel	wh_dlc05_wef_great_eagle	monster_beasts	true	4	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
wh2_main_hef_cav_silver_helms_0	wh2_main_hef_cav_silver_helms_0	melee_cavalry	cavalry	cav_shk	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh2_main_hef_cav_silver_helms_1	wh2_main_hef_cav_silver_helms_1	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh2_main_hef_cav_ithilmar_chariot	wh2_main_hef_cav_ithilmar_chariot	chariot	war_machine	chariot	chariot	cavalry_chariots	true	8	4	2	false		0	melee	medium	jar_adj_com_unit_set_chariots_war_machines
wh2_main_hef_cav_tiranoc_chariot	wh2_main_hef_cav_tiranoc_chariot	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	12	4	2	false	wh2_main_hef_longbow_arrow_tiranoc_chariot	150	skirmish	medium	jar_adj_com_unit_set_chariots_war_machines
wh2_main_hef_inf_lothern_sea_guard_0	wh2_main_hef_inf_lothern_sea_guard_0	missile_infantry	inf_ranged	inf_mis	wh2_main_hef_missile_infantry_bow_spear	missile_infantry	true	90	0	0	false	wh2_main_hef_sea_guard_bow	22	archer	small	jar_adj_com_unit_set_infantry
wh2_main_hef_inf_lothern_sea_guard_1	wh2_main_hef_inf_lothern_sea_guard_1	missile_infantry	inf_ranged	inf_mis	wh2_main_hef_missile_infantry_bow_spear	missile_infantry	true	90	0	0	false	wh2_main_hef_sea_guard_bow	22	archer	small	jar_adj_com_unit_set_infantry
wh3_dlc27_hef_mon_merwyrm	wh3_dlc27_hef_mon_merwyrm	monster	inf_melee	inf_mel	wh3_dlc27_hef_merwyrm	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh3_dlc27_hef_mon_merwyrm_ror	wh3_dlc27_hef_mon_merwyrm_ror	monster	inf_melee	inf_mel	wh3_dlc27_hef_merwyrm	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh2_main_hef_mon_sun_dragon	wh2_main_hef_mon_sun_dragon	monster	inf_melee	inf_mel	dragon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
