mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
eternal_dynasties_lzd_spawn_of_the_sun_feral_bastiladon	eternal_dynasties_lzd_spawn_of_the_sun_feral_bastiladon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_bastiladon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
eternal_dynasties_lzd_spawn_of_the_sun_bastiladon_solar_engine	eternal_dynasties_lzd_spawn_of_the_sun_bastiladon_solar_engine	monster	war_beast	inf_mis	wh2_dlc17_lzd_bastiladon_engine	missile_monster_beasts	true	4	0	1	true	wh2_main_lzd_bastiladon_solar_engine	22	artillery	very_large	jar_adj_com_unit_set_single_entities
eternal_dynasties_lzd_spawn_of_the_sun_temple_guards	eternal_dynasties_lzd_spawn_of_the_sun_temple_guards	melee_infantry	inf_melee	inf_mel	wh2_main_lzd_infantry_halberd	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
eternal_dynasties_lzd_spawn_of_the_moon_skink_cohort_javelins	eternal_dynasties_lzd_spawn_of_the_moon_skink_cohort_javelins	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_javelin	missile_infantry	true	120	0	0	false	wh2_main_lzd_javelin	8	archer	small	jar_adj_com_unit_set_infantry
eternal_dynasties_lzd_spawn_of_the_moon_terradon_riders	eternal_dynasties_lzd_spawn_of_the_moon_terradon_riders	monster	cavalry	cav_mis	wh2_main_lzd_terradon	missile_monster_beasts	true	8	0	8	false	wh2_main_lzd_javelin_terradon	30	skirmish	small	jar_adj_com_unit_set_cavalry
eternal_dynasties_lzd_spawn_of_the_moon_terradon_riders_fireleech	eternal_dynasties_lzd_spawn_of_the_moon_terradon_riders_fireleech	monster	cavalry	cav_mis	wh2_main_lzd_terradon	missile_monster_beasts	true	8	0	8	false	wh2_main_lzd_fireleech_bola_terradon	26	skirmish	small	jar_adj_com_unit_set_cavalry
eternal_dynasties_lzd_spawn_of_the_turtle_feral_cold_ones	eternal_dynasties_lzd_spawn_of_the_turtle_feral_cold_ones	melee_cavalry	inf_melee	inf_mel	wh2_main_cold_one	cavalry_chariots	true	32	0	0	false		0	melee	medium	jar_adj_com_unit_set_cavalry
eternal_dynasties_lzd_spawn_of_the_turtle_feral_stegadon	eternal_dynasties_lzd_spawn_of_the_turtle_feral_stegadon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_stegadon_feral	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
eternal_dynasties_lzd_spawn_of_the_turtle_feral_carnosaur	eternal_dynasties_lzd_spawn_of_the_turtle_feral_carnosaur	monster	inf_melee	inf_mel	wh2_dlc17_lzd_carnosaur	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
eternal_dynasties_lzd_spawn_of_the_first_city_saurus_warriors	eternal_dynasties_lzd_spawn_of_the_first_city_saurus_warriors	melee_infantry	inf_melee	inf_mel	wh2_main_lzd_infantry_mace	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
eternal_dynasties_lzd_spawn_of_the_first_city_kroxigors	eternal_dynasties_lzd_spawn_of_the_first_city_kroxigors	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	12	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
eternal_dynasties_lzd_spawn_of_the_first_city_bastiladon_revification_crystal	eternal_dynasties_lzd_spawn_of_the_first_city_bastiladon_revification_crystal	monster	war_beast	inf_mel	wh2_dlc17_lzd_bastiladon_healing	monster_beasts	true	4	0	1	true		70	melee	very_large	jar_adj_com_unit_set_single_entities
eternal_dynasties_lzd_spawn_of_the_tower_cold_one_riders	eternal_dynasties_lzd_spawn_of_the_tower_cold_one_riders	melee_cavalry	cavalry	cav_mel	wh2_main_cold_one	cavalry_chariots	true	32	0	32	false		0	melee	medium	jar_adj_com_unit_set_cavalry
eternal_dynasties_lzd_spawn_of_the_tower_cold_one_spear_riders	eternal_dynasties_lzd_spawn_of_the_tower_cold_one_spear_riders	melee_cavalry	cavalry	cav_shk	wh2_main_cold_one_spear	cavalry_chariots	true	32	0	32	false		0	melee	medium	jar_adj_com_unit_set_cavalry
eternal_dynasties_lzd_spawn_of_the_tower_horned_ones	eternal_dynasties_lzd_spawn_of_the_tower_horned_ones	melee_cavalry	cavalry	cav_shk	wh2_dlc17_lzd_horned_ones	cavalry_chariots	true	32	0	32	false		0	melee	medium	jar_adj_com_unit_set_cavalry
eternal_dynasties_lzd_spawn_of_the_eternal_city_stegadon	eternal_dynasties_lzd_spawn_of_the_eternal_city_stegadon	monster	war_beast	inf_mis	wh2_dlc17_lzd_stegadon	missile_monster_beasts	true	5	0	1	true	wh2_main_lzd_mon_stegadon_crossbow	24	artillery	medium	jar_adj_com_unit_set_single_entities
eternal_dynasties_lzd_spawn_of_the_eternal_city_ancient_stegadon	eternal_dynasties_lzd_spawn_of_the_eternal_city_ancient_stegadon	monster	war_beast	inf_mel	wh2_dlc17_lzd_ancient_stegadon	missile_monster_beasts	true	5	0	1	true	wh2_main_lzd_mon_stegadon_blowpipe	80	artillery	medium	jar_adj_com_unit_set_single_entities
