mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
hng_scouts_ammo_upgrade_fire	hng_scouts_ammo_upgrade_fire	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	hng_scouts_ammo_upgrade_fire	24		small	jar_adj_com_unit_set_infantry
hng_heavy_archers_ammo_upgrade_magical	hng_heavy_archers_ammo_upgrade_magical	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	1	0	false	hng_heavy_archers_ammo_upgrade_magical	28		small	jar_adj_com_unit_set_single_entities
hng_heavy_archers_ammo_upgrade_heavy	hng_heavy_archers_ammo_upgrade_heavy	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	1	0	false	hng_heavy_archers_ammo_upgrade_heavy	28		small	jar_adj_com_unit_set_single_entities
hng_horsemasters_ammo_upgrade_heavy	hng_horsemasters_ammo_upgrade_heavy	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_heavy	28		small	jar_adj_com_unit_set_infantry
hng_horsemasters_ammo_upgrade_whistling	hng_horsemasters_ammo_upgrade_whistling	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_whistling	28		small	jar_adj_com_unit_set_infantry
hng_horsemasters_ammo_upgrade_fire	hng_horsemasters_ammo_upgrade_fire	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_fire	28		small	jar_adj_com_unit_set_infantry
hng_horsemasters_ammo_upgrade_all	hng_horsemasters_ammo_upgrade_all	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_all	28		small	jar_adj_com_unit_set_infantry
hng_khevtuul_ammo_upgrade_explosive	hng_khevtuul_ammo_upgrade_explosive	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_explosive	28		small	jar_adj_com_unit_set_infantry
hng_khevtuul_ammo_upgrade_heavy	hng_khevtuul_ammo_upgrade_heavy	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_heavy	28		small	jar_adj_com_unit_set_infantry
hng_khevtuul_ammo_upgrade_poison	hng_khevtuul_ammo_upgrade_poison	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_poison	28		small	jar_adj_com_unit_set_infantry
