mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh_ind_spear_0	wh_ind_spear_0	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_ind_inf_spearmen_1	wh_ind_inf_spearmen_1	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_ind_inf_swordsmen	wh_ind_inf_swordsmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_ind_inf_crossbowmen	wh_ind_inf_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	60	0	0	false	wh_ind_crossbow	12	archer	small	jar_adj_com_unit_set_infantry
wh_ind_inf_greatswords	wh_ind_inf_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_ind_inf_halberdiers	wh_ind_inf_halberdiers	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_ind_inf_handgunners	wh_ind_inf_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_ind_rifle	40	archer	small	jar_adj_com_unit_set_infantry
wh_ind_inf_archers	wh_ind_inf_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	wh_ind_bow_archers	15	archer	small	jar_adj_com_unit_set_infantry
wh_ind_inf_huntsmen	wh_ind_inf_huntsmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	40	0	0	false	wh_ind_bow_huntsmen	15	archer	small	jar_adj_com_unit_set_infantry
wh_ind_art_great_cannon	wh_ind_art_great_cannon	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		35	artillery	small	jar_adj_com_unit_set_chariots_war_machines
wh_ind_art_helblaster_volley_gun	wh_ind_art_helblaster_volley_gun	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	44	4	0	false		250	artillery	small	jar_adj_com_unit_set_chariots_war_machines
wh_ind_art_helstorm_rocket_battery	wh_ind_art_helstorm_rocket_battery	warmachine	artillery	art_fld	emp_rocket_battery	artillery_war_machines	true	44	4	0	false		70	artillery	small	jar_adj_com_unit_set_chariots_war_machines
wh_ind_art_mortar	wh_ind_art_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	44	4	0	false		40	artillery	small	jar_adj_com_unit_set_chariots_war_machines
