mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
nagash_ovn_dk_inf_skeleton_javelinmen_no_caps	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nagash_ovn_dk_inf_skeleton_hoplites	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nagash_ovn_dk_inf_skeleton_pikemen	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nagash_ovn_dk_inf_tomb_guardian	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nagash_ovn_dk_inf_tomb_guardian_peltasts	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nagash_ovn_dk_cav_royal_guard_lancers	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nagash_ovn_dk_mon_skeleton_elephant	nag_nagash_dummy_for_other_mods	melee_infantry	inf_melee	com	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
nag_syreen_kalledria_1	nag_syreen_kalledria_1	melee_infantry	inf_melee	inf_mel	wh2_dlc11_cst_syreens	infantry	true	60	0	0	false		0		small	jar_adj_com_unit_set_infantry
nag_syreen_kalledria_2	nag_syreen_kalledria_2	melee_infantry	inf_melee	inf_mel	wh2_dlc11_cst_syreens	infantry	true	60	0	0	false		0		small	jar_adj_com_unit_set_infantry
nag_syreen_kalledria_3	nag_syreen_kalledria_3	melee_infantry	inf_melee	inf_mel	wh2_dlc11_cst_syreens	infantry	true	60	0	0	false		0		small	jar_adj_com_unit_set_infantry
nag_syreen_kalledria_4	nag_syreen_kalledria_4	melee_infantry	inf_melee	inf_mel	wh2_dlc11_cst_syreens	infantry	true	60	0	0	false		0		small	jar_adj_com_unit_set_infantry
nag_vanilla_cst_inf_syreen	wh2_dlc11_cst_inf_syreens	melee_infantry	inf_melee	inf_mel	wh2_dlc11_cst_syreens	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_emp_art_helstorm_rocket_battery	wh_main_emp_art_helstorm_rocket_battery	warmachine	artillery	art_fld	emp_rocket_battery	artillery_war_machines	true	44	4	0	false		66	artillery	small	jar_adj_com_unit_set_chariots_war_machines
rhox_nagash_lahmia_emp_art_helblaster_volley_gun	wh_main_emp_art_helblaster_volley_gun	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	44	4	0	false		198	artillery	small	jar_adj_com_unit_set_chariots_war_machines
rhox_nagash_lahmia_brt_cav_questing_knights_0	wh_dlc07_brt_cav_questing_knights_0	melee_cavalry	cavalry	cav_shk	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
rhox_nagash_lahmia_brt_cav_knights_of_the_realm	wh_main_brt_cav_knights_of_the_realm	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
rhox_nagash_lahmia_cth_inf_dragon_guard_0	wh3_main_cth_inf_dragon_guard_0	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_cth_inf_dragon_guard_crossbowmen_0	wh3_main_cth_inf_dragon_guard_crossbowmen_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh3_main_cth_dragon_crossbow_bolt	44	archer	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_ksl_veh_heavy_war_sled_0	wh3_main_ksl_veh_heavy_war_sled_0	chariot	war_machine	chariot	wh3_main_ksl_sled_rifle	missile_cavalry_chariots	true	20	4	2	false	wh3_main_ksl_sled_rifle	120	skirmish	medium	jar_adj_com_unit_set_chariots_war_machines
rhox_nagash_lahmia_ksl_cav_war_bear_riders_1	wh3_main_ksl_cav_war_bear_riders_1	monstrous_cavalry	war_beast	cav_mel	wh3_bear_cavalry	cavalry_chariots	true	16	0	16	false		0	melee	medium	jar_adj_com_unit_set_cavalry
rhox_nagash_lahmia_nor_mon_war_mammoth_1	wh_dlc08_nor_mon_war_mammoth_1	monster	war_beast	inf_mel	nor_mammoth	monster_beasts	true	6	0	1	true		200	melee	medium	jar_adj_com_unit_set_single_entities
rhox_nagash_lahmia_nor_inf_marauder_berserkers_0	wh_dlc08_nor_inf_marauder_berserkers_0	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_hef_inf_swordmasters_of_hoeth_0	wh2_main_hef_inf_swordmasters_of_hoeth_0	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_hef_inf_white_lions_of_chrace_0	wh2_main_hef_inf_white_lions_of_chrace_0	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_def_inf_shades_2	wh2_main_def_inf_shades_2	missile_infantry	inf_ranged	inf_mis	wh2_main_def_missile_infantry_bow_shades_great_weapons	missile_infantry	true	80	0	0	false	wh2_main_def_repeater_crossbow_shades	18	archer	small	jar_adj_com_unit_set_infantry
rhox_nagash_lahmia_def_cav_cold_one_knights_1	wh2_main_def_cav_cold_one_knights_1	melee_cavalry	cavalry	cav_mel	wh2_main_cold_one	cavalry_chariots	true	48	0	48	false		0	melee	medium	jar_adj_com_unit_set_cavalry
rhox_nagash_lahmia_wef_inf_waywatchers_0	wh_dlc05_wef_inf_waywatchers_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	wh_dlc05_wef_waywatchers_bow	24	skirmish	small	jar_adj_com_unit_set_infantry
