mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
elo_fenbeast	elo_fenbeast	monstrous_infantry	inf_melee	inf_mel	ovn_fenbeasts	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
elo_albion_warriors	elo_albion_warriors	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
elo_albion_warriors_spears	elo_albion_warriors_spears	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
elo_albion_warriors_2h	elo_albion_warriors_2h	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
elo_youngbloods	elo_youngbloods	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_sling	missile_infantry	true	100	0	0	false	alb_sling	20	archer	small	jar_adj_com_unit_set_infantry
elo_woadraider	elo_woadraider	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
elo_bloodhounds	elo_bloodhounds	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	80	0	0	false		0	melee	small	jar_adj_com_unit_set_war_beasts
albion_giant	albion_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
ovn_alb_inf_stone_throw_giant	ovn_alb_inf_stone_throw_giant	missile_infantry	inf_ranged	spcl	wh_dlc03_bst_cygor	monster_beasts	true	1	0	0	true	giant_boulder	25	artillery	very_large	jar_adj_com_unit_set_single_entities
druid_neophytes	druid_neophytes	melee_infantry	inf_melee	inf_mel	ovn_druids	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
albion_stonethrower	albion_stonethrower	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
albion_huntresses	albion_huntresses	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	albion_hunting_bow	24	archer	small	jar_adj_com_unit_set_infantry
albion_riders	albion_riders	melee_cavalry	war_beast	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	small	jar_adj_com_unit_set_cavalry
albion_riders_javelins	albion_riders_javelins	missile_cavalry	war_beast	cav_mis	missile_cavalry_javelin	missile_cavalry_chariots	true	60	0	60	false	albion_riders_javelins	16	skirmish	small	jar_adj_com_unit_set_cavalry
albion_hearthguard	albion_hearthguard	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
albion_hearthguard_halberd	albion_hearthguard_halberd	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
albion_hearthguard_2h	albion_hearthguard_2h	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
albion_swordmaiden	albion_swordmaiden	melee_infantry	inf_melee	inf_mel	wh2_dlc14_skv_infantry_guandao	infantry	true	80	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
albion_chariot	albion_chariot	chariot	war_machine	chariot	chariot	cavalry_chariots	true	8	4	2	false		0	melee	medium	jar_adj_com_unit_set_chariots_war_machines
albion_centaurs	albion_centaurs	melee_cavalry	inf_melee	inf_mel	ovn_centaur_great_weapons	cavalry_chariots	true	60	0	0	false		0	melee	medium	jar_adj_com_unit_set_cavalry
albion_fenhulk	albion_fenhulk	monster	inf_melee	inf_mel	ovn_fenbeasts	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
albion_half_giants	albion_half_giants	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	12	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
alb_cav_noble	alb_cav_noble	melee_cavalry	war_beast	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	small	jar_adj_com_unit_set_cavalry
alb_cav_noble_spear	alb_cav_noble_spear	melee_cavalry	war_beast	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	small	jar_adj_com_unit_set_cavalry
alb_viridian_champ	alb_viridian_champ	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
albion_riders_spear	albion_riders_spear	melee_cavalry	war_beast	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	small	jar_adj_com_unit_set_cavalry
elo_albion_gryphon	elo_albion_gryphon	monster	inf_melee	inf_mel	wh_dlc05_wef_great_eagle	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
elo_summon_fenbeasts	elo_summon_fenbeasts	monstrous_infantry	inf_melee	inf_mel	ovn_fenbeasts	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
ovn_barrow_wight	ovn_barrow_wight	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
