mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
ovn_arb_mon_desert_spirit_wind	ovn_arb_mon_desert_spirit_wind	monster	inf_melee	inf_mel	ovn_arb_djinns	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
ovn_arb_mon_desert_spirit_ror_wind	ovn_arb_mon_desert_spirit_ror_wind	monster	inf_melee	inf_mel	ovn_arb_djinns	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
ovn_arb_inf_desert_mirage_0	ovn_arb_inf_desert_mirage_0	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
ovn_arb_art_grand_bombard	ovn_arb_art_grand_bombard	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	32	1	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
ovn_arb_art_grand_bombard_ror	ovn_arb_art_grand_bombard_ror	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	32	1	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
ovn_arb_art_naphtha_thrower	ovn_arb_art_naphtha_thrower	warmachine	artillery	art_fld	field_gun_flame	artillery_war_machines	true	44	4	0	false		75	artillery	small	jar_adj_com_unit_set_chariots_war_machines
ovn_arb_art_quadballista	ovn_arb_art_quadballista	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	44	4	0	false		48	artillery	small	jar_adj_com_unit_set_chariots_war_machines
ovn_arb_art_quadballista_ror	ovn_arb_art_quadballista_ror	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	44	4	0	false		48	artillery	small	jar_adj_com_unit_set_chariots_war_machines
ovn_arb_cav_arabyan_knights	ovn_arb_cav_arabyan_knights	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
ovn_arb_cav_arabyan_knights_ror	ovn_arb_cav_arabyan_knights_ror	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
ovn_arb_cav_archer_camels	ovn_arb_cav_archer_camels	missile_cavalry	cavalry	cav_mis	missile_camelry_bow	missile_cavalry_chariots	true	60	0	60	false	ovn_arb_camel_arrow	18	skirmish	medium	jar_adj_com_unit_set_cavalry
ovn_arb_cav_bedouin_scouts	ovn_arb_cav_bedouin_scouts	melee_cavalry	cavalry	cav_mis	missile_cavalry_javelin	missile_cavalry_chariots	true	60	0	60	false	ovn_arb_javelin	16	skirmish	medium	jar_adj_com_unit_set_cavalry
