mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
fim_mon_fenbeast	fim_mon_fenbeast	monstrous_infantry	inf_melee	inf_mel	ovn_fenbeasts	monster_beasts	true	16	0	0	false		0	melee	large	jar_ac_unit_set_monstrous_infantry
fim_inf_boglar	fim_inf_boglar	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	160	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_shearl	fim_inf_shearl	melee_infantry	inf_melee	inf_mel	wh2_main_lzd_infantry_mace	infantry	true	120	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_shearl_spearmen	fim_inf_shearl_spearmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_death_quest	fim_inf_death_quest	melee_infantry	inf_melee	inf_mel	wh_dlc04_emp_flagelllents	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_killing_eye_ror	fim_inf_killing_eye_ror	melee_infantry	inf_melee	inf_mel	wh_dlc04_emp_flagelllents	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_moor_hounds	fim_inf_moor_hounds	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	80	0	0	false		0	melee	small	jar_ac_unit_set_war_beasts
fim_inf_fimm_warriors	fim_inf_fimm_warriors	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_fimm_warriors_great_weapons	fim_inf_fimm_warriors_great_weapons	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_fimm_flaithmor	fim_inf_fimm_flaithmor	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_inf_fimm_warriors_axe_throwers_ror	fim_inf_fimm_warriors_axe_throwers_ror	missile_infantry	inf_ranged	inf_mis	infantry_axe_throwing	missile_infantry	true	100	0	0	false	fim_fimm_warriors_axe_throwers_ror	12	melee	small	jar_ac_unit_set_infantry
fim_mon_gharnus_daemon_ror	fim_mon_gharnus_daemon_ror	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_ac_unit_set_monstrous_infantry
fim_mon_fianna_fimm	fim_mon_fianna_fimm	monstrous_infantry	inf_melee	inf_mel	wh3_dlc26_monstrous_infantry_magical	monster_beasts	true	16	0	0	false		0	melee	large	jar_ac_unit_set_monstrous_infantry
fim_mon_fianna_fimm_great_weapons	fim_mon_fianna_fimm_great_weapons	monstrous_infantry	inf_melee	inf_mel	wh3_dlc26_monstrous_infantry_magical	monster_beasts	true	16	0	0	false		0	melee	large	jar_ac_unit_set_monstrous_infantry
fim_mon_fianna_fimm_shields	fim_mon_fianna_fimm_shields	monstrous_infantry	inf_melee	inf_mel	wh3_dlc26_monstrous_infantry_magical	monster_beasts	true	16	0	0	false		0	melee	large	jar_ac_unit_set_monstrous_infantry
fim_inf_shearl_javelineer	fim_inf_shearl_javelineer	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	90	0	0	false	ovn_fim_javelin	12	archer	small	jar_ac_unit_set_infantry
fim_mon_balefiend_apprentices	fim_mon_balefiend_apprentices	monstrous_infantry	inf_ranged	inf_mis	wh3_main_tze_flamer	missile_monster_beasts	true	16	0	0	false	ovn_fimir_gaze	14	archer	large	jar_ac_unit_set_monstrous_infantry
fim_cav_marsh_reavers	fim_cav_marsh_reavers	monstrous_cavalry	war_beast	cav_shk	ovn_fim_cavalry_bog_beast	cavalry_chariots	true	12	0	12	false		0	melee	large	jar_ac_unit_set_cavalry
fim_cav_marsh_hornets_ror	fim_cav_marsh_hornets_ror	monstrous_cavalry	war_beast	cav_mel	ovn_fim_cavalry_bog_beast	cavalry_chariots	true	12	0	12	false		0	melee	large	jar_ac_unit_set_cavalry
fim_cav_nuckelavee	fim_cav_nuckelavee	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_ac_unit_set_cavalry
fim_mon_daemonomaniac	fim_mon_daemonomaniac	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_ac_unit_set_single_entities
fim_inf_swamp_daemons	fim_inf_swamp_daemons	melee_infantry	inf_melee	inf_mel	chaos_forsaken	infantry	true	80	0	0	false		0	melee	small	jar_ac_unit_set_infantry
fim_veh_eye_oculus	fim_veh_eye_oculus	warmachine	war_machine	chariot	magic_chariot	artillery_war_machines	true	1	1	2	true	ovn_fim_balor_shrine_evil_eye	14	artillery	small	jar_ac_unit_set_chariots_war_machines
fim_inf_moor_hounds_ror	fim_inf_moor_hounds_ror	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	48	0	0	false		0	melee	medium	jar_ac_unit_set_war_beasts
fim_mon_daemonomaniac_ror	fim_mon_daemonomaniac_ror	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_ac_unit_set_single_entities
fim_inf_swamp_daemons_summon	fim_inf_swamp_daemons_summon	melee_infantry	inf_melee	inf_mel	chaos_forsaken	infantry	true	80	0	0	false		0	melee	small	jar_ac_unit_set_infantry
ovn_fim_mon_bog_octopus_0	ovn_fim_mon_bog_octopus_0	monster	inf_melee	inf_mel	ovn_bog_octopus	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_ac_unit_set_single_entities
ovn_fim_mon_bog_octopus_summon	ovn_fim_mon_bog_octopus_summon	monster	inf_melee	inf_mel	ovn_bog_octopus	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_ac_unit_set_single_entities
fim_mon_bog_beasts	fim_mon_bog_beasts	war_beast	war_beast	cav_shk	ovn_fim_cavalry_bog_beast	cavalry_chariots	true	12	0	0	false		0	melee	very_large	jar_ac_unit_set_war_beasts
fim_mon_bog_beasts_summon	fim_mon_bog_beasts_summon	war_beast	war_beast	cav_shk	ovn_fim_cavalry_bog_beast	cavalry_chariots	true	12	0	0	false		0	melee	very_large	jar_ac_unit_set_war_beasts
fim_mon_jabberslythe	wh2_dlc17_bst_mon_jabberslythe_0	monster	inf_melee	inf_mel	wh2_dlc17_bst_jabberslythe	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_ac_unit_set_single_entities
