mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
teb_pikemen	carlsson_guard	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee	small	jar_ac_unit_set_infantry
teb_conqui_adventurers	carlsson_guard	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
teb_pavisiers	carlsson_guard	missile_infantry	inf_melee	inf_mel	missile_infantry_bow	missile_infantry	true	90	0	0	false		0	melee	small	jar_ac_unit_set_infantry
teb_galloper	carlsson_guard	warmachine	inf_melee	inf_mel	artillery_field_gun	artillery_war_machines	true	16	0	0	false		0	melee	small	jar_ac_unit_set_chariots_war_machines
teb_encarmine	carlsson_guard	melee_cavalry	inf_melee	inf_mel	cavalry	cavalry_chariots	true	60	0	0	false		0	melee	small	jar_ac_unit_set_cavalry
hkrul_mar_riverwarden	carlsson_guard	melee_cavalry	inf_melee	inf_mel	cavalry	cavalry_chariots	true	60	0	0	false		0	melee	small	jar_ac_unit_set_cavalry
hkrul_mar_knights_griffon	carlsson_guard	melee_cavalry	inf_melee	inf_mel	cavalry	cavalry_chariots	true	60	0	0	false		0	melee	small	jar_ac_unit_set_cavalry
hkrul_mar_sons_of_manann	carlsson_guard	melee_cavalry	inf_melee	inf_mel	cavalry	cavalry_chariots	true	60	0	0	false		0	melee	small	jar_ac_unit_set_cavalry
snek_hkrul_mar_landship	carlsson_guard	melee_cavalry	inf_melee	inf_mel	cavalry	cavalry_chariots	true	60	0	0	false		0	melee	small	jar_ac_unit_set_cavalry
albion_hearthguard_grudgebringer	carlsson_guard	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee	small	jar_ac_unit_set_infantry
albion_chariot_grudgebringer	carlsson_guard	chariot	inf_melee	inf_mel	chariot	cavalry_chariots	true	8	0	0	false		0	melee	small	jar_ac_unit_set_chariots_war_machines
albion_giant_grudgebringer	carlsson_guard	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	small	jar_ac_unit_set_single_entities
albion_huntresses_grudgebringer	carlsson_guard	missile_infantry	inf_melee	inf_mel	missile_infantry_bow	missile_infantry	true	90	0	0	false		0	melee	small	jar_ac_unit_set_infantry
