mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
psgo_brinewight_dual	psgo_brinewight_dual	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
psgo_brinewight	psgo_brinewight	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
psgo_brinewight_polearm	psgo_brinewight_polearm	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
psgo_deepfang_horror	psgo_deepfang_horror	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	60	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
psgo_brinewight_marksmen	psgo_brinewight_marksmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_sniper	missile_infantry	true	24	0	0	false	psgo_brinewight_marksmen_rifle	30	artillery	small	jar_adj_com_unit_set_infantry
psgo_river_troll	psgo_river_troll	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	1	0	0	false		0	melee	large	jar_adj_com_unit_set_single_entities
psgo_drowned_leadbelcher	psgo_drowned_leadbelcher	monstrous_infantry	inf_ranged	inf_mis	wh3_main_ogr_monstrous_cannon	missile_infantry	true	16	0	0	false	wh3_main_ogr_leadbelcher_gun	20	archer	large	jar_adj_com_unit_set_monstrous_infantry
psgo_haunted_vessel	psgo_haunted_vessel	warmachine	war_beast	inf_mis	wh3_main_cth_balloon	flying_war_machine	true	5	0	1	true	wh2_cst_necrofex_colossus_cannon	140	artillery	large	jar_adj_com_unit_set_chariots_war_machines
psgo_brinewight_flamethrower	psgo_brinewight_flamethrower	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes	missile_infantry	true	24	0	0	false	wh_main_dwf_drakegun	30	archer	small	jar_adj_com_unit_set_infantry
psgo_abyssal_riders	psgo_abyssal_riders	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
