mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh2_dlc15_grn_mon_river_trolls_0_ete	wh2_dlc15_grn_mon_river_trolls_0_ete	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	4	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
wh2_dlc15_grn_mon_river_trolls_0_ete_throgg	wh2_dlc15_grn_mon_river_trolls_0_ete_throgg	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	4	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
wh2_twa03_grn_mon_wyvern_0_ete	wh2_dlc15_grn_mon_wyvern_waaagh_0_ete	monster	inf_melee	inf_mel	dragon	monster_beasts	true	4	0	0	false		0	melee	very_large	jar_adj_com_unit_set_war_beasts
wh2_twa03_grn_mon_wyvern_0_ror_ete	wh2_dlc15_grn_mon_wyvern_waaagh_0_ror_ete	monster	inf_melee	inf_mel	dragon	monster_beasts	true	4	0	0	false		0	melee	very_large	jar_adj_com_unit_set_war_beasts
wh3_dlc26_grn_mon_arachnarok_spider_flinger_ete	wh3_dlc26_grn_mon_arachnarok_spider_flinger_ete	monster	war_beast	inf_mel	wh3_dlc26_grn_mon_arachnarok_spider_flinger	monster_beasts	true	16	0	4	false	wh3_dlc26_arachnarok_flinger	12	melee	very_large	jar_adj_com_unit_set_war_beasts
wh_dlc06_grn_inf_nasty_skulkers_0_ete	wh_dlc06_grn_inf_nasty_skulkers_0_ete	melee_infantry	inf_melee	inf_mel	wh_dlc06_grn_nasty_skulker	infantry	true	4	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_dlc06_grn_inf_squig_herd_0_ete	wh_dlc06_grn_inf_squig_herd_0_ete	melee_infantry	inf_melee	inf_mel	wh_dlc06_grn_squig	monster_beasts	true	120	0	0	false		0	melee	medium	jar_adj_com_unit_set_monstrous_infantry
wh_main_grn_cav_orc_boar_boy_big_uns_ror_ete	wh_main_grn_cav_orc_boar_boy_big_uns_ror_ete	melee_cavalry	cavalry	cav_shk	shock_cavalry_boar	cavalry_chariots	true	4	0	4	false		0	melee	small	jar_adj_com_unit_set_cavalry
wh_main_grn_cav_orc_boar_boy_big_uns_ete	wh_main_grn_cav_orc_boar_boy_big_uns_ete	melee_cavalry	cavalry	cav_shk	wh3_dlc26_grn_cavalry_boar_spear	cavalry_chariots	true	4	0	4	false		0	melee	small	jar_adj_com_unit_set_cavalry
wh_main_grn_inf_goblin_spearmen_ete	wh_main_grn_inf_goblin_spearmen_ete	melee_infantry	inf_melee	com	wh_dlc06_grn_squig	monster_beasts	true	4	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_main_grn_inf_orc_big_uns_ror_ete	wh_main_grn_inf_orc_big_uns_ror_ete	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	4	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_main_grn_inf_orc_big_uns_ete	wh_main_grn_inf_orc_big_uns_ete	melee_infantry	inf_melee	inf_mel	infantry_axe_great_grn	infantry	true	4	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_main_grn_inf_orc_boyz_ete	wh_main_grn_inf_orc_boyz_ete	melee_infantry	inf_melee	inf_mel	infantry_sword_grn	infantry	true	4	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_main_grn_inf_savage_orc_big_uns_ete	wh_main_grn_inf_savage_orc_big_uns_ete	melee_infantry	inf_melee	inf_mel	wh3_dlc26_grn_infantry_club_dual	infantry	true	4	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_main_grn_mon_giant_ete	wh_main_grn_mon_giant_ete	monster	inf_melee	inf_mel	giant	monster_beasts	true	4	0	0	false		0	melee	very_large	jar_adj_com_unit_set_war_beasts
wh_main_grn_mon_trolls_ete	wh_main_grn_mon_trolls_ete	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	4	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
