mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
str_rotblood_marauders	str_rotblood_marauders	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
str_rotblood_bile_troll	str_rotblood_bile_troll	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
str_rotblood_bombers	str_rotblood_bombers	missile_infantry	inf_ranged	inf_mis	infantry_axe	infantry	true	120	0	0	false	20kr_rotblood_grenade	3		small	jar_adj_com_unit_set_infantry
str_rotblood_spearmen	str_rotblood_spearmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
str_rotblood_marauder_bombs	str_rotblood_marauder_bombs	melee_infantry	inf_melee	inf_mel	wh2_main_skv_missile_infantry_globe_death	missile_infantry	true	90	0	0	false	20kr_rotblood_poison_wind_grenade	5		small	jar_adj_com_unit_set_infantry
str_rotblood_horsemen	str_rotblood_horsemen	missile_cavalry	war_beast	cav_mis	missile_cavalry_javelin	missile_cavalry_chariots	true	60	0	60	false	20kr_rotblood_horsemen_grenade	10	skirmish	medium	jar_adj_com_unit_set_cavalry
20kr_rotblood_horsemen_shield	20kr_rotblood_horsemen_shield	melee_cavalry	war_beast	cav_mis	cavalry_axe	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
str_rotblood_engorged	str_rotblood_engorged	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
str_rotblood_vomitus	str_rotblood_vomitus	missile_infantry	inf_ranged	inf_mis	str_rotblood_vomitus	infantry	true	100	0	0	false	20kr_rotblood_vomitus	3		small	jar_adj_com_unit_set_infantry
str_rotblood_plaguespear	str_rotblood_plaguespear	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
str_rotblood_giant	str_rotblood_giant	monster	inf_melee	inf_mel	wh_dlc08_nor_giant	monster_beasts	true	1	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
str_rotblood_hound	str_rotblood_hound	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	80	0	0	false		0		small	jar_adj_com_unit_set_war_beasts
str_rotblood_chariot	str_rotblood_chariot	chariot	war_machine	chariot	chariot	cavalry_chariots	true	8	4	2	false	20kr_rotblood_chariot_grenade	12		small	jar_adj_com_unit_set_chariots_war_machines
str_rotblood_martyr	str_rotblood_martyr	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
str_rotblood_slaves	str_rotblood_slaves	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
str_rotblood_plaguejavelins	str_rotblood_plaguejavelins	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	90	0	0	false	str_rotblood_plaguejavelins	10		small	jar_adj_com_unit_set_infantry
str_rotblood_cart	str_rotblood_cart	chariot	war_machine	chariot	magic_chariot	artillery_war_machines	true	1	1	4	true		0		small	jar_adj_com_unit_set_chariots_war_machines
str_rotblood_fly	str_rotblood_fly	monster	inf_melee	inf_mel	wh3_main_nur_rot_flies	monster_beasts	true	1	0	0	true		0		large	jar_adj_com_unit_set_single_entities
str_rotblood_spawn	str_rotblood_spawn	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
