mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
hcm_ror_ironskins	hcm_ror_ironskins	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_sword_stormvermin	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
hcm_ror_fangsnapper	hcm_ror_fangsnapper	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
hcm_ror_blacktail	hcm_ror_blacktail	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
hcm_ror_mangefurs	hcm_ror_mangefurs	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
hcm_ror_vatbacks	hcm_ror_vatbacks	missile_infantry	inf_ranged	inf_mis	wh2_main_skv_missile_infantry_globe	missile_infantry	true	48	0	0	false	hcm_vatbacks_proj	18		small	jar_adj_com_unit_set_infantry
hcs_ror_lektrik_coven	hcs_ror_lektrik_coven	missile_infantry	inf_melee	com	dwf_irondrakes_torpedo	missile_infantry	true	16	0	0	false	hcs_ror_lektrik_proj	18		small	jar_adj_com_unit_set_infantry
hcs_ror_technox	hcs_ror_technox	missile_infantry	inf_melee	com	wh2_dlc14_skv_weapon_team_warpfire	missile_infantry	true	24	0	0	false	hcs_ror_technox_proj	80		small	jar_adj_com_unit_set_infantry
hcs_ror_doomwheel_brigade	hcs_ror_doomwheel_brigade	warmachine	war_machine	chariot	wh2_main_skv_doomwheel	artillery_war_machines	true	100	4	0	false		52		small	jar_adj_com_unit_set_chariots_war_machines
hcs_ror_blackarc	hcs_ror_blackarc	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	56	4	0	false		22		small	jar_adj_com_unit_set_chariots_war_machines
hcs_ror_warpfangs	hcs_ror_warpfangs	melee_infantry	inf_melee	inf_mel	wh2_dlc14_skv_weapon_team_warp_grinder	infantry	true	80	0	0	false		0		small	jar_adj_com_unit_set_infantry
kratch_ror_deathvermin	kratch_ror_deathvermin	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_halberd	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
slaves_slingers_shielded	slaves_slingers_shielded	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_sling	missile_infantry	true	140	0	0	false	wh2_main_skv_sling	22		small	jar_adj_com_unit_set_infantry
slaves_spears_shielded	slaves_spears_shielded	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	180	0	0	false		0		small	jar_adj_com_unit_set_infantry
slaves_shielded	slaves_shielded	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	180	0	0	false		0		small	jar_adj_com_unit_set_infantry
