mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
warp_bombard	warp_bombard	chariot	war_machine	chariot	monster_artillery	missile_monster_beasts	true	1	1	0	true	warp_bombard	12		large	jar_adj_com_unit_set_chariots_war_machines
warp_tank	warp_tank	chariot	war_machine	chariot	monster_artillery	missile_monster_beasts	true	1	1	0	true	warp_tank	32		large	jar_adj_com_unit_set_chariots_war_machines
warp_runners	warp_runners	missile_infantry	inf_ranged	inf_mis	wh2_main_skv_missile_infantry_throwing_star	missile_infantry	true	40	0	0	false	warp_runners	35		small	jar_adj_com_unit_set_infantry
skaven_cav	skaven_cav	melee_infantry	inf_melee	spcl	cavalry	cavalry_chariots	true	32	0	0	false		0		small	jar_adj_com_unit_set_infantry
warp_forged	warp_forged	melee_infantry	inf_melee	spcl	cavalry	cavalry_chariots	true	20	0	0	false		0		small	jar_adj_com_unit_set_infantry
poxigors	poxigors	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
krakback_kill_squad	krakback_kill_squad	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_sword_death_runners	infantry	true	13	0	0	false		0		small	jar_adj_com_unit_set_infantry
krakback_kill_squad_spears	krakback_kill_squad_spears	melee_infantry	inf_melee	inf_mel	wh2_dlc14_skv_infantry_guandao	infantry	true	13	0	0	false		0		small	jar_adj_com_unit_set_infantry
warp_zeppelin	warp_zeppelin	warmachine	war_beast	inf_mis	dwf_gyrocopter	flying_war_machine	true	1	0	0	true	warp_zeppelin	120		large	jar_adj_com_unit_set_chariots_war_machines
warp_bomber	warp_bomber	warmachine	inf_ranged	inf_mis	dwf_gyrocopter	flying_war_machine	true	1	0	0	true	warp_bomber	30		large	jar_adj_com_unit_set_chariots_war_machines
warp_gunship	warp_gunship	warmachine	inf_ranged	inf_mis	dwf_gyrocopter	flying_war_machine	true	2	1	0	true	warp_gunship	230		large	jar_adj_com_unit_set_chariots_war_machines
skaven_mech	skaven_mech	missile_infantry	inf_ranged	spcl	wh2_main_skv_doomwheel	artillery_war_machines	true	1	0	0	false	skaven_mech	48		very_large	jar_adj_com_unit_set_single_entities
skaven_mech_at	skaven_mech_at	missile_infantry	inf_ranged	spcl	wh2_main_skv_doomwheel	artillery_war_machines	true	1	0	0	false	skaven_mech_at	60		very_large	jar_adj_com_unit_set_single_entities
skaven_mech_gat	skaven_mech_gat	missile_infantry	inf_ranged	spcl	wh2_main_skv_doomwheel	artillery_war_machines	true	1	0	0	false	skaven_mech_gat	1326		very_large	jar_adj_com_unit_set_single_entities
