bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/jar_adjustable_missiles
enable	jar_adjustable_missiles__effect__acc__0__-100	jar_adjustable_missiles__unit_set_ability__acc__0__-100
enable	jar_adjustable_missiles__effect__acc__1__-100	jar_adjustable_missiles__unit_set_ability__acc__1__-100
enable	jar_adjustable_missiles__effect__acc__2__-100	jar_adjustable_missiles__unit_set_ability__acc__2__-100
enable	jar_adjustable_missiles__effect__acc__3__-100	jar_adjustable_missiles__unit_set_ability__acc__3__-100
enable	jar_adjustable_missiles__effect__acc__4__-100	jar_adjustable_missiles__unit_set_ability__acc__4__-100
enable	jar_adjustable_missiles__effect__acc__5__-100	jar_adjustable_missiles__unit_set_ability__acc__5__-100
enable	jar_adjustable_missiles__effect__acc__0__-99	jar_adjustable_missiles__unit_set_ability__acc__0__-99
enable	jar_adjustable_missiles__effect__acc__1__-99	jar_adjustable_missiles__unit_set_ability__acc__1__-99
enable	jar_adjustable_missiles__effect__acc__2__-99	jar_adjustable_missiles__unit_set_ability__acc__2__-99
enable	jar_adjustable_missiles__effect__acc__3__-99	jar_adjustable_missiles__unit_set_ability__acc__3__-99
enable	jar_adjustable_missiles__effect__acc__4__-99	jar_adjustable_missiles__unit_set_ability__acc__4__-99
enable	jar_adjustable_missiles__effect__acc__5__-99	jar_adjustable_missiles__unit_set_ability__acc__5__-99
enable	jar_adjustable_missiles__effect__acc__0__-98	jar_adjustable_missiles__unit_set_ability__acc__0__-98
enable	jar_adjustable_missiles__effect__acc__1__-98	jar_adjustable_missiles__unit_set_ability__acc__1__-98
enable	jar_adjustable_missiles__effect__acc__2__-98	jar_adjustable_missiles__unit_set_ability__acc__2__-98
enable	jar_adjustable_missiles__effect__acc__3__-98	jar_adjustable_missiles__unit_set_ability__acc__3__-98
enable	jar_adjustable_missiles__effect__acc__4__-98	jar_adjustable_missiles__unit_set_ability__acc__4__-98
enable	jar_adjustable_missiles__effect__acc__5__-98	jar_adjustable_missiles__unit_set_ability__acc__5__-98
enable	jar_adjustable_missiles__effect__acc__0__-97	jar_adjustable_missiles__unit_set_ability__acc__0__-97
enable	jar_adjustable_missiles__effect__acc__1__-97	jar_adjustable_missiles__unit_set_ability__acc__1__-97
enable	jar_adjustable_missiles__effect__acc__2__-97	jar_adjustable_missiles__unit_set_ability__acc__2__-97
enable	jar_adjustable_missiles__effect__acc__3__-97	jar_adjustable_missiles__unit_set_ability__acc__3__-97
enable	jar_adjustable_missiles__effect__acc__4__-97	jar_adjustable_missiles__unit_set_ability__acc__4__-97
enable	jar_adjustable_missiles__effect__acc__5__-97	jar_adjustable_missiles__unit_set_ability__acc__5__-97
enable	jar_adjustable_missiles__effect__acc__0__-96	jar_adjustable_missiles__unit_set_ability__acc__0__-96
enable	jar_adjustable_missiles__effect__acc__1__-96	jar_adjustable_missiles__unit_set_ability__acc__1__-96
enable	jar_adjustable_missiles__effect__acc__2__-96	jar_adjustable_missiles__unit_set_ability__acc__2__-96
enable	jar_adjustable_missiles__effect__acc__3__-96	jar_adjustable_missiles__unit_set_ability__acc__3__-96
enable	jar_adjustable_missiles__effect__acc__4__-96	jar_adjustable_missiles__unit_set_ability__acc__4__-96
enable	jar_adjustable_missiles__effect__acc__5__-96	jar_adjustable_missiles__unit_set_ability__acc__5__-96
enable	jar_adjustable_missiles__effect__acc__0__-95	jar_adjustable_missiles__unit_set_ability__acc__0__-95
enable	jar_adjustable_missiles__effect__acc__1__-95	jar_adjustable_missiles__unit_set_ability__acc__1__-95
enable	jar_adjustable_missiles__effect__acc__2__-95	jar_adjustable_missiles__unit_set_ability__acc__2__-95
enable	jar_adjustable_missiles__effect__acc__3__-95	jar_adjustable_missiles__unit_set_ability__acc__3__-95
enable	jar_adjustable_missiles__effect__acc__4__-95	jar_adjustable_missiles__unit_set_ability__acc__4__-95
enable	jar_adjustable_missiles__effect__acc__5__-95	jar_adjustable_missiles__unit_set_ability__acc__5__-95
enable	jar_adjustable_missiles__effect__acc__0__-94	jar_adjustable_missiles__unit_set_ability__acc__0__-94
enable	jar_adjustable_missiles__effect__acc__1__-94	jar_adjustable_missiles__unit_set_ability__acc__1__-94
enable	jar_adjustable_missiles__effect__acc__2__-94	jar_adjustable_missiles__unit_set_ability__acc__2__-94
