bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/jar_adjustable_missiles
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-100	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-100
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-100	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-100
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-100	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-100
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-100	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-100
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-100	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-100
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-100	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-100
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-99	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-99
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-99	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-99
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-99	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-99
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-99	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-99
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-99	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-99
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-99	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-99
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-98	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-98
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-98	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-98
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-98	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-98
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-98	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-98
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-98	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-98
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-98	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-98
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-97	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-97
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-97	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-97
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-97	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-97
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-97	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-97
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-97	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-97
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-97	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-97
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-96	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-96
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-96	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-96
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-96	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-96
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-96	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-96
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-96	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-96
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-96	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-96
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-95	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-95
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-95	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-95
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-95	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-95
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-95	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-95
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-95	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-95
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-95	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-95
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-94	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-94
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-94	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-94
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-94	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-94
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-94	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-94
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-94	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-94
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-94	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-94
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-93	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-93
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-93	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-93
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-93	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-93
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-93	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-93
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-93	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-93
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-93	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-93
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-92	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-92
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-92	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-92
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-92	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-92
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-92	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-92
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_monsters__-92	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_monsters__-92
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_global__-92	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-92
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_lords_heroes__-91	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_lords_heroes__-91
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_artillery_war_machines__-91	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-91
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_cavalry_chariots__-91	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-91
enable	jar_adjustable_missiles__effect__acc__jar_unit_set_infantry__-91	jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-91
