effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/jar_adjustable_missiles
jar_adjustable_missiles__effect__acc__0__-100	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-100	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-100	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-100	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-100	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-100	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-99	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-99	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-99	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-99	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-99	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-99	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-98	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-98	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-98	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-98	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-98	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-98	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-97	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-97	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-97	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-97	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-97	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-97	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-96	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-96	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-96	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-96	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-96	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-96	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-95	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-95	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-95	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-95	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-95	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-95	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-94	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-94	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-94	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-94	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-94	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-94	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-93	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-93	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-93	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-93	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-93	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-93	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-92	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-92	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-92	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-92	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-92	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-92	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-91	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-91	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-91	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-91	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-91	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-91	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-90	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-90	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-90	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-90	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-90	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-90	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-89	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-89	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-89	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-89	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-89	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-89	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-88	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-88	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-88	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-88	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-88	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-88	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-87	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-87	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-87	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-87	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-87	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-87	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-86	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-86	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-86	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-86	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-86	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-86	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-85	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-85	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-85	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-85	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-85	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-85	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-84	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-84	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-84	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-84	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-84	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-84	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-83	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-83	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__2__-83	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__3__-83	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__4__-83	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__5__-83	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__0__-82	general_ability.png	0	general_ability.png	campaign	true
jar_adjustable_missiles__effect__acc__1__-82	general_ability.png	0	general_ability.png	campaign	true
