phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/jar_adjustable_missiles
jar_adjustable_missiles__ability_phase__accuracy__-100	stat_accuracy	-100	add
jar_adjustable_missiles__ability_phase__accuracy__-99	stat_accuracy	-99	add
jar_adjustable_missiles__ability_phase__accuracy__-98	stat_accuracy	-98	add
jar_adjustable_missiles__ability_phase__accuracy__-97	stat_accuracy	-97	add
jar_adjustable_missiles__ability_phase__accuracy__-96	stat_accuracy	-96	add
jar_adjustable_missiles__ability_phase__accuracy__-95	stat_accuracy	-95	add
jar_adjustable_missiles__ability_phase__accuracy__-94	stat_accuracy	-94	add
jar_adjustable_missiles__ability_phase__accuracy__-93	stat_accuracy	-93	add
jar_adjustable_missiles__ability_phase__accuracy__-92	stat_accuracy	-92	add
jar_adjustable_missiles__ability_phase__accuracy__-91	stat_accuracy	-91	add
jar_adjustable_missiles__ability_phase__accuracy__-90	stat_accuracy	-90	add
jar_adjustable_missiles__ability_phase__accuracy__-89	stat_accuracy	-89	add
jar_adjustable_missiles__ability_phase__accuracy__-88	stat_accuracy	-88	add
jar_adjustable_missiles__ability_phase__accuracy__-87	stat_accuracy	-87	add
jar_adjustable_missiles__ability_phase__accuracy__-86	stat_accuracy	-86	add
jar_adjustable_missiles__ability_phase__accuracy__-85	stat_accuracy	-85	add
jar_adjustable_missiles__ability_phase__accuracy__-84	stat_accuracy	-84	add
jar_adjustable_missiles__ability_phase__accuracy__-83	stat_accuracy	-83	add
jar_adjustable_missiles__ability_phase__accuracy__-82	stat_accuracy	-82	add
jar_adjustable_missiles__ability_phase__accuracy__-81	stat_accuracy	-81	add
jar_adjustable_missiles__ability_phase__accuracy__-80	stat_accuracy	-80	add
jar_adjustable_missiles__ability_phase__accuracy__-79	stat_accuracy	-79	add
jar_adjustable_missiles__ability_phase__accuracy__-78	stat_accuracy	-78	add
jar_adjustable_missiles__ability_phase__accuracy__-77	stat_accuracy	-77	add
jar_adjustable_missiles__ability_phase__accuracy__-76	stat_accuracy	-76	add
jar_adjustable_missiles__ability_phase__accuracy__-75	stat_accuracy	-75	add
jar_adjustable_missiles__ability_phase__accuracy__-74	stat_accuracy	-74	add
jar_adjustable_missiles__ability_phase__accuracy__-73	stat_accuracy	-73	add
jar_adjustable_missiles__ability_phase__accuracy__-72	stat_accuracy	-72	add
jar_adjustable_missiles__ability_phase__accuracy__-71	stat_accuracy	-71	add
jar_adjustable_missiles__ability_phase__accuracy__-70	stat_accuracy	-70	add
jar_adjustable_missiles__ability_phase__accuracy__-69	stat_accuracy	-69	add
jar_adjustable_missiles__ability_phase__accuracy__-68	stat_accuracy	-68	add
jar_adjustable_missiles__ability_phase__accuracy__-67	stat_accuracy	-67	add
jar_adjustable_missiles__ability_phase__accuracy__-66	stat_accuracy	-66	add
jar_adjustable_missiles__ability_phase__accuracy__-65	stat_accuracy	-65	add
jar_adjustable_missiles__ability_phase__accuracy__-64	stat_accuracy	-64	add
