unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/!ak_teb3__jam
			teb_light_cannon	jar_unit_set_artillery_war_machines	false
			teb_galloper_limbered	jar_unit_set_artillery_war_machines	false
			teb_galloper	jar_unit_set_artillery_war_machines	false
			teb_tank	jar_unit_set_artillery_war_machines	false
			teb_roc_organ	jar_unit_set_artillery_war_machines	false
			teb_tank_ror	jar_unit_set_artillery_war_machines	false
			teb_bronzino_limbered	jar_unit_set_artillery_war_machines	false
			teb_bronzino	jar_unit_set_artillery_war_machines	false
			teb_paymaster	jar_unit_set_cavalry_chariots	false
			teb_broken_lances	jar_unit_set_cavalry_chariots	false
			teb_noble_retinue	jar_unit_set_cavalry_chariots	false
			teb_encarmine	jar_unit_set_cavalry_chariots	false
			teb_carabiniers	jar_unit_set_cavalry_chariots	false
			teb_conqui_riders	jar_unit_set_cavalry_chariots	false
			teb_conqui_lancers	jar_unit_set_cavalry_chariots	false
			teb_kotrs	jar_unit_set_cavalry_chariots	false
			teb_enforcers	jar_unit_set_cavalry_chariots	false
			teb_freelance_knights	jar_unit_set_cavalry_chariots	false
			teb_militia_knights	jar_unit_set_cavalry_chariots	false
			teb_light_scouts	jar_unit_set_cavalry_chariots	false
			teb_xbow_cav	jar_unit_set_cavalry_chariots	false
			teb_roc_broswords	jar_unit_set_cavalry_chariots	false
			teb_roc_kotss	jar_unit_set_cavalry_chariots	false
			teb_roc_gunn	jar_unit_set_cavalry_chariots	false
			teb_roc_montecastello	jar_unit_set_cavalry_chariots	false
			teb_venators	jar_unit_set_cavalry_chariots	false
			teb_muktar	jar_unit_set_cavalry_chariots	false
			teb_tichi	jar_unit_set_cavalry_chariots	false
			teb_pikemen	jar_unit_set_infantry	false
			teb_montante_greatswords	jar_unit_set_infantry	false
			teb_republican_guard	jar_unit_set_infantry	false
			teb_pavisiers	jar_unit_set_infantry	false
			teb_sartosan_pirates	jar_unit_set_infantry	false
			teb_conqui_royal_guard	jar_unit_set_infantry	false
			teb_conqui_adventurers	jar_unit_set_infantry	false
			teb_bwatch	jar_unit_set_infantry	false
			teb_shieldbearers	jar_unit_set_infantry	false
			teb_militia_archers	jar_unit_set_infantry	false
			teb_border_rangers	jar_unit_set_infantry	false
			teb_swash	jar_unit_set_infantry	false
			teb_duellists	jar_unit_set_infantry	false
			teb_sisters	jar_unit_set_infantry	false
			teb_irrana	jar_unit_set_infantry	false
			teb_half_pikes	jar_unit_set_infantry	false
			teb_militia_spearmen	jar_unit_set_infantry	false
			teb_billmen	jar_unit_set_infantry	false
			teb_billmen_garri	jar_unit_set_infantry	false
			teb_guard_kossars	jar_unit_set_infantry	false
			teb_xbowmen	jar_unit_set_infantry	false
			teb_handgunners	jar_unit_set_infantry	false
			teb_roc_dieterfist	jar_unit_set_infantry	false
			teb_roc_estragon	jar_unit_set_infantry	false
			teb_roc_verena	jar_unit_set_infantry	false
			teb_roc_strygos	jar_unit_set_infantry	false
			teb_roc_gwatch	jar_unit_set_infantry	false
			teb_ricco	jar_unit_set_infantry	false
			teb_alcatani	jar_unit_set_infantry	false
			teb_pirazzo	jar_unit_set_infantry	false
			teb_pirazzo_xbows	jar_unit_set_infantry	false
			teb_leopard	jar_unit_set_infantry	false
			teb_vespero	jar_unit_set_infantry	false
			teb_marksmen	jar_unit_set_infantry	false
			teb_besiegers	jar_unit_set_infantry	false
			teb_amazons	jar_unit_set_infantry	false
			teb_cursed	jar_unit_set_infantry	false
			teb_origo	jar_unit_set_infantry	false
			teb_manflayers	jar_unit_set_infantry	false
			teb_birdmen	jar_unit_set_infantry	false
			teb_golden_lion	jar_unit_set_monsters	false
			teb_asarnil	jar_unit_set_monsters	false
