unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!!_sartosa_overhaul__
			cathay_pirate_bombard	jar_unit_set_artillery_war_machines	false
			cathay_pirate_fire_rain_rocket_battery	jar_unit_set_artillery_war_machines	false
			sartosa_buccaneer_drakefire_cannon	jar_unit_set_artillery_war_machines	false
			sartosa_buccaneer_mortar_ror	jar_unit_set_artillery_war_machines	false
			sartosa_pirate_artillery_cannon	jar_unit_set_artillery_war_machines	false
			sartosa_pirate_artillery_culverin	jar_unit_set_artillery_war_machines	false
			sartosa_pirate_artillery_deck_cannon	jar_unit_set_artillery_war_machines	false
			sartosa_pirate_artillery_mortar	jar_unit_set_artillery_war_machines	false
			sartosa_pirate_artillery_volley_gun	jar_unit_set_artillery_war_machines	false
			cathay_pirate_crossbows	jar_unit_set_infantry	false
			sartosa_buccaneer_deck_gun_weapon_team	jar_unit_set_infantry	false
			sartosa_buccaneer_deck_gun_weapon_team_ror	jar_unit_set_infantry	false
			sartosa_buccaneer_drakegun_weapon_team	jar_unit_set_infantry	false
			sartosa_buccaneer_torpedo_weapon_team	jar_unit_set_infantry	false
			sartosa_buccaneers_axe_and_pistol	jar_unit_set_infantry	false
			sartosa_buccaneers_blunderbuss	jar_unit_set_infantry	false
			sartosa_buccaneers_dual_axes	jar_unit_set_infantry	false
			sartosa_depth_guard_jenny_ror	jar_unit_set_infantry	false
			sartosa_norscan_whalers	jar_unit_set_infantry	false
			sartosa_pirate_handguns	jar_unit_set_infantry	false
			sartosa_pirate_handguns_ror	jar_unit_set_infantry	false
			sartosa_privateers	jar_unit_set_infantry	false
			sartosa_privateers_ror	jar_unit_set_infantry	false
			sartosa_saboteurs	jar_unit_set_infantry	false
			sartosa_smugglers	jar_unit_set_infantry	false
			sartosa_smugglers_ror	jar_unit_set_infantry	false
			sartosa_smugglers_sammy_ror	jar_unit_set_infantry	false
			sartosa_privateers_summoned	jar_unit_set_infantry	false
			sartosa_promethean_riders	jar_unit_set_monstrous	false
			sartosa_promethean_riders_davey_ror	jar_unit_set_monstrous	false
			sartosa_leviathan	jar_unit_set_single_entities	false
