unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!scm_legendary__
			str_kaarn_totem	jar_unit_set_artillery_war_machines	false
			dust_gutrot_flies_riders_summon	jar_unit_set_cavalry_chariots	false
			kou_meadow_chariot_ror	jar_unit_set_cavalry_chariots	false
			str_chronos_knights	jar_unit_set_cavalry_chariots	false
			str_khoros_hounds	jar_unit_set_cavalry_chariots	false
			str_vaslo_rampagers	jar_unit_set_cavalry_chariots	false
			kou_eonir_explorers	jar_unit_set_infantry	false
			kou_queen_ror_treekin	jar_unit_set_infantry	false
			dust_gutrot_blight_kings	jar_unit_set_infantry	false
			dust_gutrot_flies_summon	jar_unit_set_infantry	false
			kou_bowmen_units	jar_unit_set_infantry	false
			kys_kho_wrathmonger_ror	jar_unit_set_infantry	false
			kho_skullreaper_kys	jar_unit_set_infantry	false
			kys_kho_wrathmonger	jar_unit_set_infantry	false
			phy_sea_axes	jar_unit_set_infantry	false
			str_braugh_spirit_slave	jar_unit_set_infantry	false
			str_braugh_rage_slave	jar_unit_set_infantry	false
			str_braugh_aura_slave	jar_unit_set_infantry	false
			wh2_skv_mors_redguard_ror	jar_unit_set_infantry	false
			str_nastasya_ice_guard_0	jar_unit_set_infantry	false
			str_nastasya_ice_guard_1	jar_unit_set_infantry	false
			hunt_dwf_slayer_pirates_0	jar_unit_set_infantry	false
			hunt_dwf_riggers_0	jar_unit_set_infantry	false
			hunt_goblin_mob	jar_unit_set_infantry	false
			hunt_boyz_mob	jar_unit_set_infantry	false
			hunt_savage_mob	jar_unit_set_infantry	false
			str_rahtep_cairn_sum	jar_unit_set_infantry	false
			str_ironarm_crimson_death	jar_unit_set_single_entities	false
			wh2_dlc15_grn_mnt_arachnarok_spider_red_moon	jar_unit_set_single_entities	false
			kou_elf_wolf_rider	jar_unit_set_single_entities	false
			camera_skelly_bones	jar_unit_set_single_entities	false
			werebear_werebearus	jar_unit_set_single_entities	false
			bear_dead_baron	jar_unit_set_single_entities	false
			dead_grigori_wolf	jar_unit_set_single_entities	false
			str_braugh_bomb_slave	jar_unit_set_single_entities	false
			str_katerina_tabby	jar_unit_set_single_entities	false
			str_sayl_nightmaw	jar_unit_set_single_entities	false
			str_lc_verminkin_mro	jar_unit_set_single_entities	false
			kou_laddrielle_wolves	none	false
			str_herumar_hounds	none	false
