unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!scm_totn__
			nor_longship_ror	jar_unit_set_artillery_war_machines	false
			hkrul_norsca_harpoon_ror	jar_unit_set_artillery_war_machines	false
			scm_fc_norsca_aesling_nor_marauder_horsemen_throwing_axe	jar_unit_set_cavalry_chariots	false
			wh_mod_nor_veh_war_wagon_0	jar_unit_set_cavalry_chariots	false
			hkrul_dummy_yusak_marauder_horsemen_0	jar_unit_set_cavalry_chariots	false
			hkrul_dummy_yusak_marauder_horsemen_1	jar_unit_set_cavalry_chariots	false
			scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe	jar_unit_set_cavalry_chariots	false
			hkrul_bearmen	jar_unit_set_infantry	false
			rhox_kurgan_javelin	jar_unit_set_infantry	false
			scm_fc_norsca_aesling_nor_marauder_throwing_axe	jar_unit_set_infantry	false
			scm_fc_norsca_aesling_nor_marauder_javelins	jar_unit_set_infantry	false
			scm_fc_norsca_bloodfjord_nor_marauder_javelins	jar_unit_set_infantry	false
			nor_longship	jar_unit_set_infantry	false
			deco_nor_huskarls	jar_unit_set_infantry	false
			deco_nor_maidens	jar_unit_set_infantry	false
			nor_shield_spear	jar_unit_set_infantry	false
			wh_mod_nor_dwf_inf_sappers	jar_unit_set_infantry	false
			hkrul_bjornling_inf_marauder_hunters_1	jar_unit_set_infantry	false
			hkrul_bjornling_inf_marauder_hunters_0	jar_unit_set_infantry	false
			hkrul_dummy_baersonling_marauder_hunters_0	jar_unit_set_infantry	false
			hkrul_dummy_sarl_marauder_hunters_0	jar_unit_set_infantry	false
			hkrul_dummy_bloodfjord_marauder_hunters_0	jar_unit_set_infantry	false
			scm_fc_norsca_yusak_nor_marauder_throwing_axe	jar_unit_set_infantry	false
			scm_fc_norsca_yusak_nor_marauder_javelins	jar_unit_set_infantry	false
			hkrul_baerson_inf_marauder_hunters_1	jar_unit_set_infantry	false
			hkrul_baerson_inf_marauder_hunters_0	jar_unit_set_infantry	false
			hkrul_skeggi_inf_marauder_hunters_1	jar_unit_set_infantry	false
			hkrul_skeggi_inf_marauder_hunters_0	jar_unit_set_infantry	false
			hkrul_sarl_hunters	jar_unit_set_infantry	false
			hkrul_sarl_hunters_ror	jar_unit_set_infantry	false
			hkrul_norsca_whalers	jar_unit_set_infantry	false
			hkrul_sarl_inf_marauder_hunters_1	jar_unit_set_infantry	false
			hkrul_sarl_inf_marauder_hunters_0	jar_unit_set_infantry	false
			wh_mod_nor_veh_mammoth_siege_tower_0	jar_unit_set_single_entities	false
			r1kko_adella_sla_troglodon	jar_unit_set_single_entities	false
