unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__17C_Deithland_Main__
			emp_gottzorn	jar_unit_set_artillery_war_machines	false
			emp_gottzorn_knellgun	jar_unit_set_artillery_war_machines	false
			emp_gottzorn_flame	jar_unit_set_artillery_war_machines	false
			emp_culverin	jar_unit_set_artillery_war_machines	false
			emp_drakebiter	jar_unit_set_artillery_war_machines	false
			emp_mountain_gun	jar_unit_set_artillery_war_machines	false
			emp_knellgun	jar_unit_set_artillery_war_machines	false
			emp_cinderbell	jar_unit_set_artillery_war_machines	false
			emp_vinderbane	jar_unit_set_artillery_war_machines	false
			emp_vinderbane_armored	jar_unit_set_artillery_war_machines	false
			emp_autofalcon	jar_unit_set_artillery_war_machines	false
			emp_autofalcon_armored	jar_unit_set_artillery_war_machines	false
			emp_cofferglare	jar_unit_set_artillery_war_machines	false
			emp_cofferglare_small	jar_unit_set_artillery_war_machines	false
			emp_autodragon	jar_unit_set_artillery_war_machines	false
			emp_chemlancers_drilling_guns	jar_unit_set_cavalry_chariots	false
			emp_pyrehulks_volley	jar_unit_set_infantry	false
			emp_pyrehulks_fusilaxe	jar_unit_set_infantry	false
			emp_deithguard_axelocks	jar_unit_set_infantry	false
			emp_deithguard_blasterkeys	jar_unit_set_infantry	false
			emp_deithguard_shields	jar_unit_set_infantry	false
			emp_fumecorps_bayos	jar_unit_set_infantry	false
			emp_danzigers	jar_unit_set_infantry	false
			emp_hellbores	jar_unit_set_infantry	false
			emp_engelspeers	jar_unit_set_infantry	false
			emp_tillerguns	jar_unit_set_infantry	false
			emp_mortar_muskets	jar_unit_set_infantry	false
			emp_cinderwind_arbalests	jar_unit_set_infantry	false
			emp_pyretitans_zweishot	jar_unit_set_monstrous	false
			emp_pyretitans_zweishot_shield	jar_unit_set_monstrous	false
			emp_pyretitans_halberd	jar_unit_set_monstrous	false
			emp_pyretitans_halberd_melee	jar_unit_set_monstrous	false
			emp_pyretitans_autodragon	jar_unit_set_monstrous	false
			emp_pyretitans_autodragon_shotgun	jar_unit_set_monstrous	false
			emp_pyretitans_mortar	jar_unit_set_monstrous	false
			emp_pyretitans_mortar_flame	jar_unit_set_monstrous	false
