unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__@xou_emp__
			snek_emp_iron_colossus_of_nuln	jar_unit_set_artillery_war_machines	false
			cr_emp_veh_hurricanum_0	jar_unit_set_artillery_war_machines	false
			wh_main_emp_cav_outriders_1	jar_unit_set_cavalry_chariots	false
			rek_inf_crossbowmen	jar_unit_set_infantry	false
			rek_inf_handgunners	jar_unit_set_infantry	false
			tab_inf_crossbowmen	jar_unit_set_infantry	false
			tab_inf_handgunners	jar_unit_set_infantry	false
			avr_inf_crossbowmen	jar_unit_set_infantry	false
			avr_inf_handgunners	jar_unit_set_infantry	false
			mid_inf_crossbowmen	jar_unit_set_infantry	false
			mid_inf_handgunners	jar_unit_set_infantry	false
			nod_inf_crossbowmen	jar_unit_set_infantry	false
			nod_inf_handgunners	jar_unit_set_infantry	false
			ost_inf_crossbowmen	jar_unit_set_infantry	false
			ost_inf_handgunners	jar_unit_set_infantry	false
			str_inf_crossbowmen	jar_unit_set_infantry	false
			str_inf_handgunners	jar_unit_set_infantry	false
			osm_inf_crossbowmen	jar_unit_set_infantry	false
			osm_inf_handgunners	jar_unit_set_infantry	false
			hoc_inf_crossbowmen	jar_unit_set_infantry	false
			hoc_inf_handgunners	jar_unit_set_infantry	false
			wis_inf_crossbowmen	jar_unit_set_infantry	false
			wis_inf_handgunners	jar_unit_set_infantry	false
			gol_inf_crossbowmen	jar_unit_set_infantry	false
			gol_inf_handgunners	jar_unit_set_infantry	false
			mke_inf_crossbowmen	jar_unit_set_infantry	false
			mke_inf_handgunners	jar_unit_set_infantry	false
			mrb_inf_crossbowmen	jar_unit_set_infantry	false
			mrb_inf_handgunners	jar_unit_set_infantry	false
			reb_inf_crossbowmen	jar_unit_set_infantry	false
			reb_inf_handgunners	jar_unit_set_infantry	false
			cos_inf_crossbowmen	jar_unit_set_infantry	false
			cos_inf_handgunners	jar_unit_set_infantry	false
