unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles
			wh2_dlc09_tmb_art_casket_of_souls_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc09_tmb_art_screaming_skull_catapult_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc11_cst_art_carronade	jar_unit_set_artillery_war_machines	false
			wh2_dlc11_cst_art_mortar	jar_unit_set_artillery_war_machines	false
			wh2_dlc11_cst_art_queen_bess	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_art_warp_lightning_cannon_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doom_flayer_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doom_flayer_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doomwheel_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_great_cannon_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_mortar_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_veh_steam_tank_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_veh_steam_tank_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_huntmarshall_veh_obsinite_gyrocopter_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc14_def_veh_bloodwrack_shrine_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_flappas_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_roller_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_main_def_art_reaper_bolt_thrower	jar_unit_set_artillery_war_machines	false
			wh2_main_hef_art_eagle_claw_bolt_thrower	jar_unit_set_artillery_war_machines	false
			wh2_main_skv_art_plagueclaw_catapult	jar_unit_set_artillery_war_machines	false
			wh2_main_skv_art_warp_lightning_cannon	jar_unit_set_artillery_war_machines	false
			wh2_main_skv_veh_doomwheel	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_deathshrieker_rocket_launcher	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_dreadquake_mortar	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_iron_daemon	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_iron_daemon_1dreadquake	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_iron_daemon_3payload_qb	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_iron_daemon_ror	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_magma_cannon	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_skullcracker	jar_unit_set_artillery_war_machines	false
			wh3_dlc23_chd_veh_skullcracker_1dreadquake	jar_unit_set_artillery_war_machines	false
			wh3_dlc24_cth_veh_zhangu_war_drum	jar_unit_set_artillery_war_machines	false
			wh3_dlc24_cth_veh_zhangu_war_drum_ror	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_art_goblin_hewer	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_art_goblin_hewer_malakai	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_art_grudge_thrower_grudge_reward	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_veh_gyrocopter_summoned_0	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_veh_thunderbarge	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_veh_thunderbarge_grungni	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_veh_thunderbarge_grungni_mp	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_dwf_veh_thunderbarge_malakai	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_emp_art_helstorm_rocket_battery_morr	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_emp_veh_marienburg_land_ship	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_emp_veh_marienburg_land_ship_morr	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_emp_veh_marienburg_land_ship_ror	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_emp_veh_steam_tank_volley_gun	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_nur_chieftain_art_hellcannon	jar_unit_set_artillery_war_machines	false
			wh3_dlc25_nur_chieftain_veh_dreadquake_mortar	jar_unit_set_artillery_war_machines	false
			wh3_dlc26_grn_art_bolt_throwa	jar_unit_set_artillery_war_machines	false
			wh3_dlc26_grn_art_bolt_throwa_ror	jar_unit_set_artillery_war_machines	false
			wh3_dlc26_kho_veh_skullcannon_ror	jar_unit_set_artillery_war_machines	false
			wh3_main_chd_art_hobgob_bolt_thrower	jar_unit_set_artillery_war_machines	false
			wh3_main_chs_art_hellcannon_prologue	jar_unit_set_artillery_war_machines	false
			wh3_main_cth_art_fire_rain_rocket_battery_0	jar_unit_set_artillery_war_machines	false
			wh3_main_cth_art_grand_cannon_0	jar_unit_set_artillery_war_machines	false
			wh3_main_cth_veh_sky_junk_0	jar_unit_set_artillery_war_machines	false
			wh3_main_cth_veh_sky_lantern_0	jar_unit_set_artillery_war_machines	false
			wh3_main_cth_veh_war_compass_0	jar_unit_set_artillery_war_machines	false
			wh3_main_kho_veh_blood_shrine_0	jar_unit_set_artillery_war_machines	false
			wh3_main_kho_veh_skullcannon_0	jar_unit_set_artillery_war_machines	false
			wh3_main_ksl_veh_little_grom_0	jar_unit_set_artillery_war_machines	false
			wh3_main_ogr_veh_gnoblar_scraplauncher_0	jar_unit_set_artillery_war_machines	false
			wh3_main_ogr_veh_ironblaster_0	jar_unit_set_artillery_war_machines	false
			wh3_main_pro_ksl_veh_little_grom_0	jar_unit_set_artillery_war_machines	false
			wh_dlc04_emp_art_hammer_of_the_witches_0	jar_unit_set_artillery_war_machines	false
			wh_dlc04_emp_art_sunmaker_0	jar_unit_set_artillery_war_machines	false
			wh_dlc04_emp_veh_templehof_luminark_0	jar_unit_set_artillery_war_machines	false
			wh_dlc04_vmp_veh_claw_of_nagash_0	jar_unit_set_artillery_war_machines	false
			wh_dlc04_vmp_veh_corpse_cart_0	jar_unit_set_artillery_war_machines	false
			wh_dlc04_vmp_veh_corpse_cart_1	jar_unit_set_artillery_war_machines	false
			wh_dlc04_vmp_veh_corpse_cart_2	jar_unit_set_artillery_war_machines	false
			wh_dlc04_vmp_veh_mortis_engine_0	jar_unit_set_artillery_war_machines	false
			wh_dlc06_dwf_art_bolt_thrower_0	jar_unit_set_artillery_war_machines	false
			wh_dlc06_dwf_art_gob_lobber_0	jar_unit_set_artillery_war_machines	false
			wh_dlc06_dwf_veh_skyhammer_0	jar_unit_set_artillery_war_machines	false
			wh_dlc06_grn_art_hammer_of_gork_0	jar_unit_set_artillery_war_machines	false
			wh_dlc07_brt_art_blessed_field_trebuchet_0	jar_unit_set_artillery_war_machines	false
			wh_dlc08_nor_art_hellcannon_battery	jar_unit_set_artillery_war_machines	false
			wh_main_brt_art_field_trebuchet	jar_unit_set_artillery_war_machines	false
			wh_main_chs_art_hellcannon	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_cannon	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_cannon_malakai	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_flame_cannon	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_flame_cannon_grudge_reward	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_flame_cannon_malakai	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_grudge_thrower	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_organ_gun	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_art_organ_gun_malakai	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrobomber	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrobomber_malakai	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrocopter_0	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrocopter_0_malakai	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrocopter_1	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrocopter_1_grudge_reward	jar_unit_set_artillery_war_machines	false
			wh_main_dwf_veh_gyrocopter_1_malakai	jar_unit_set_artillery_war_machines	false
			wh_main_emp_art_great_cannon	jar_unit_set_artillery_war_machines	false
			wh_main_emp_art_helblaster_volley_gun	jar_unit_set_artillery_war_machines	false
			wh_main_emp_art_helstorm_rocket_battery	jar_unit_set_artillery_war_machines	false
			wh_main_emp_art_mortar	jar_unit_set_artillery_war_machines	false
			wh_main_emp_veh_luminark_of_hysh_0	jar_unit_set_artillery_war_machines	false
			wh_main_emp_veh_steam_tank	jar_unit_set_artillery_war_machines	false
			wh_main_grn_art_doom_diver_catapult	jar_unit_set_artillery_war_machines	false
			wh_main_grn_art_goblin_rock_lobber	jar_unit_set_artillery_war_machines	false
			wh_main_vmp_veh_black_coach	jar_unit_set_artillery_war_machines	false
			wh_pro04_chs_art_hellcannon_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc09_tmb_cav_hexwraiths	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_necropolis_knights_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_necropolis_knights_1	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_necropolis_knights_ror	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_nehekhara_horsemen_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_skeleton_horsemen_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc09_tmb_veh_skeleton_chariot_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc10_def_cav_doomfire_warlocks_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc10_def_cav_raven_heralds_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc10_hef_cav_the_fireborn_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc11_cst_cav_knights_errant_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc11_cst_cav_knights_errant_1	jar_unit_set_cavalry_chariots	false
			wh2_dlc11_cst_cav_knights_errant_2	jar_unit_set_cavalry_chariots	false
			wh2_dlc11_cst_cav_knights_of_the_realm	jar_unit_set_cavalry_chariots	false
			wh2_dlc11_cst_cav_questing_knights_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc12_lzd_cav_cold_one_spearriders_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc12_lzd_cav_ripperdactyl_riders_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc12_lzd_cav_ripperdactyl_riders_0_blessed	jar_unit_set_cavalry_chariots	false
			wh2_dlc12_lzd_cav_ripperdactyl_riders_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_empire_knights_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_empire_knights_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_empire_knights_ror_1	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_empire_knights_ror_2	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_knights_blazing_sun_0_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_outriders_1_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_outriders_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_pistoliers_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_cav_reiksguard_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_veh_war_wagon_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_veh_war_wagon_1	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	jar_unit_set_cavalry_chariots	false
			wh2_dlc13_emp_veh_war_wagon_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc14_def_cav_scourgerunner_chariot_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc14_def_cav_scourgerunner_chariot_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc15_hef_veh_lion_chariot_of_chrace_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc16_wef_cav_glade_riders_2	jar_unit_set_cavalry_chariots	false
			wh2_dlc16_wef_cav_great_stag_knights_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc16_wef_cav_great_stag_knights_ror_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc17_bst_cav_tuskgor_chariot_0	jar_unit_set_cavalry_chariots	false
			wh2_dlc17_bst_inf_centigors_ror_1	jar_unit_set_cavalry_chariots	false
			wh2_main_def_cav_cold_one_chariot	jar_unit_set_cavalry_chariots	false
			wh2_main_def_cav_cold_one_knights_0	jar_unit_set_cavalry_chariots	false
			wh2_main_def_cav_cold_one_knights_1	jar_unit_set_cavalry_chariots	false
			wh2_main_def_cav_dark_riders_0	jar_unit_set_cavalry_chariots	false
			wh2_main_def_cav_dark_riders_1	jar_unit_set_cavalry_chariots	false
			wh2_main_def_cav_dark_riders_2	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_dragon_princes	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_ellyrian_reavers_0	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_ellyrian_reavers_1	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_ithilmar_chariot	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_silver_helms_0	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_silver_helms_1	jar_unit_set_cavalry_chariots	false
			wh2_main_hef_cav_tiranoc_chariot	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_cold_one_spearmen_1	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_cold_one_spearriders_blessed_0	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_cold_ones_1	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_cold_ones_feral_0	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_cold_ones_feral_0_summoned	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_horned_ones_0	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_horned_ones_0_nakai	jar_unit_set_cavalry_chariots	false
			wh2_main_lzd_cav_horned_ones_blessed_0	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_chariot_mkho	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_chariot_mnur	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_chariot_msla	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_chariot_msla_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_chariot_mtze	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_mkho	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_mkho_lances	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_mnur	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_mnur_lances	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_msla	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_msla_lances	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_chaos_knights_mtze_lances	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_marauder_horsemen_mnur_throwing_axes	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_marauder_horsemen_msla_javelins	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins	jar_unit_set_cavalry_chariots	false
			wh3_dlc20_kho_cav_skullcrushers_mkho_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_bull_centaurs_axe	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_bull_centaurs_dual_axe	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_bull_centaurs_greatweapons	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears	jar_unit_set_cavalry_chariots	false
			wh3_dlc24_bst_inf_centigors_great_weapons_mtze	jar_unit_set_cavalry_chariots	false
			wh3_dlc24_qb_cst_cav_knights_errant_0	jar_unit_set_cavalry_chariots	false
			wh3_dlc24_qb_cst_cav_knights_of_the_realm	jar_unit_set_cavalry_chariots	false
			wh3_dlc24_qb_cst_cav_questing_knights_0	jar_unit_set_cavalry_chariots	false
			wh3_dlc24_tze_inf_centigors_great_weapons	jar_unit_set_cavalry_chariots	false
			wh3_dlc24_tze_mon_flamers_changebringers	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_emp_cav_knights_of_the_black_rose	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_emp_cav_outriders_morr	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_nur_cav_rot_knights	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_nur_cav_rot_knights_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_nur_chieftain_cav_chaos_chariot_mnur	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_nur_chieftain_cav_rot_knights	jar_unit_set_cavalry_chariots	false
			wh3_dlc25_nur_chieftain_inf_centigors_1	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_hef_veh_skycutter_bolt_thrower	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_hef_veh_skycutter_bows	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_nor_cav_chaos_chariot_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_nor_cav_kurgan_horsemen_dualweapons	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_nor_cav_kurgan_horsemen_greatweapons	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_nor_cav_marauder_horsemen_ror	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_sla_cav_heartseekers_of_slaanesh_dechala	jar_unit_set_cavalry_chariots	false
			wh3_dlc27_sla_cav_pleasureseekers	jar_unit_set_cavalry_chariots	false
