unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__nag_nagash__
			nag_mortis_engine	jar_unit_set_artillery_war_machines	false
			nag_bone_thrower	jar_unit_set_artillery_war_machines	false
			nag_endless_tomb	jar_unit_set_artillery_war_machines	false
			nag_bombardment_targeting	jar_unit_set_artillery_war_machines	false
			nag_virion_plaguecart	jar_unit_set_artillery_war_machines	false
			nag_vanilla_tmb_art_screaming_skull_catapult_0	jar_unit_set_artillery_war_machines	false
			nag_vanilla_tmb_art_casket_of_souls_0	jar_unit_set_artillery_war_machines	false
			nag_vanilla_vmp_veh_corpse_cart_1	jar_unit_set_artillery_war_machines	false
			nag_vanilla_vmp_veh_corpse_cart_2	jar_unit_set_artillery_war_machines	false
			nag_vanilla_cst_art_carronade	jar_unit_set_artillery_war_machines	false
			rhox_nagash_lahmia_emp_art_helstorm_rocket_battery	jar_unit_set_artillery_war_machines	false
			rhox_nagash_lahmia_emp_art_helblaster_volley_gun	jar_unit_set_artillery_war_machines	false
			rhox_nagash_lahmia_dwf_art_flame_cannon	jar_unit_set_artillery_war_machines	false
			rhox_nagash_lahmia_chd_veh_dreadquake_mortar	jar_unit_set_artillery_war_machines	false
			nag_cav_hexwraiths_0_summon	jar_unit_set_cavalry_chariots	false
			nag_cav_black_knights_0_summon	jar_unit_set_cavalry_chariots	false
			nag_carrion_riders	jar_unit_set_cavalry_chariots	false
			nag_undead_chariot_unit	jar_unit_set_cavalry_chariots	false
			nag_nagashi_knights	jar_unit_set_cavalry_chariots	false
			nag_doom_knights	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_cav_skeleton_horsemen_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_cav_nehekhara_horsemen_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_cav_necropolis_knights_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_cav_necropolis_knights_1	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_veh_skeleton_archer_chariot_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_tmb_veh_skeleton_chariot_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_vmp_cav_black_knights_0	jar_unit_set_cavalry_chariots	false
			nag_vanilla_vmp_cav_black_knights_3	jar_unit_set_cavalry_chariots	false
			nag_vanilla_vmp_cav_hexwraiths	jar_unit_set_cavalry_chariots	false
			nag_vanilla_vmp_cav_blood_knights_0	jar_unit_set_cavalry_chariots	false
			rhox_nagash_lahmia_brt_cav_questing_knights_0	jar_unit_set_cavalry_chariots	false
			rhox_nagash_lahmia_brt_cav_knights_of_the_realm	jar_unit_set_cavalry_chariots	false
			rhox_nagash_lahmia_ksl_veh_heavy_war_sled_0	jar_unit_set_cavalry_chariots	false
			rhox_nagash_lahmia_ksl_cav_war_bear_riders_1	jar_unit_set_cavalry_chariots	false
			rhox_nagash_lahmia_def_cav_cold_one_knights_1	jar_unit_set_cavalry_chariots	false
			rhox_nagash_lahmia_ogr_cav_crushers_0	jar_unit_set_cavalry_chariots	false
			nag_morghasts	jar_unit_set_infantry	false
			nag_nagashi_guard	jar_unit_set_infantry	false
			nag_nagashi_guard_halb	jar_unit_set_infantry	false
			nag_bone_golems	jar_unit_set_infantry	false
			nag_inf_zombie_construct	jar_unit_set_infantry	false
			nag_inf_skeleton_warriors_endless_tomb_summoned	jar_unit_set_infantry	false
			nag_inf_crypt_ghouls_construct	jar_unit_set_infantry	false
			nag_mon_crypt_horrors_construct	jar_unit_set_infantry	false
			nag_revenants	jar_unit_set_infantry	false
			vigpro_nagash_skeleton_orcs	jar_unit_set_infantry	false
			vigpro_nagash_skeleton_goblin_range	jar_unit_set_infantry	false
			vigpro_nagash_skeleton_goblin_melee	jar_unit_set_infantry	false
			vigpro_nagash_skeleton_troll_1h	jar_unit_set_infantry	false
			vigpro_nagash_skeleton_troll_2h	jar_unit_set_infantry	false
			nag_skeleton_reaper	jar_unit_set_infantry	false
			nag_doomed_legion	jar_unit_set_infantry	false
			nag_thrall_crossbowmen	jar_unit_set_infantry	false
			nag_thrall_handgunners	jar_unit_set_infantry	false
			nag_burning_dead	jar_unit_set_infantry	false
			nag_throne_guard	jar_unit_set_infantry	false
			nag_vanilla_tmb_inf_skeleton_archers_0	jar_unit_set_infantry	false
			nag_vanilla_tmb_inf_skeleton_spearmen_0	jar_unit_set_infantry	false
			nag_vanilla_tmb_inf_skeleton_warriors_0	jar_unit_set_infantry	false
			nag_vanilla_tmb_inf_nehekhara_warriors_0	jar_unit_set_infantry	false
			nag_vanilla_tmb_inf_tomb_guard_0	jar_unit_set_infantry	false
			nag_vanilla_tmb_inf_tomb_guard_1	jar_unit_set_infantry	false
			nag_vanilla_tmb_mon_ushabti_0	jar_unit_set_infantry	false
			nag_vanilla_tmb_mon_ushabti_1	jar_unit_set_infantry	false
			nag_vanilla_tmb_mon_sepulchral_stalkers_0	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_zombie	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_skeleton_warriors_0	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_skeleton_warriors_1	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_crypt_ghouls	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_cairn_wraiths	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_grave_guard_0	jar_unit_set_infantry	false
			nag_vanilla_vmp_inf_grave_guard_1	jar_unit_set_infantry	false
			nag_vanilla_vmp_mon_vargheists	jar_unit_set_infantry	false
			nag_vanilla_vmp_mon_crypt_horrors	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_zombie_deckhands_mob_0	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_zombie_deckhands_mob_1	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_zombie_gunnery_mob_0	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_zombie_gunnery_mob_1	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_deck_gunners_0	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_depth_guard_0	jar_unit_set_infantry	false
			nag_syreen_kalledria_1	jar_unit_set_infantry	false
			nag_syreen_kalledria_2	jar_unit_set_infantry	false
			nag_syreen_kalledria_3	jar_unit_set_infantry	false
			nag_syreen_kalledria_4	jar_unit_set_infantry	false
			nag_vanilla_cst_inf_syreen	jar_unit_set_infantry	false
			rhox_nagash_lahmia_cth_inf_dragon_guard_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_cth_inf_dragon_guard_crossbowmen_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_nor_inf_marauder_berserkers_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_hef_inf_swordmasters_of_hoeth_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_hef_inf_white_lions_of_chrace_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_def_inf_shades_2	jar_unit_set_infantry	false
			rhox_nagash_lahmia_wef_inf_waywatchers_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_wef_inf_wardancers_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_dwf_inf_dwarf_warrior_0	jar_unit_set_infantry	false
			rhox_nagash_lahmia_chd_inf_chaos_dwarf_blunderbusses	jar_unit_set_infantry	false
			rhox_nagash_lahmia_ogr_inf_ironguts_0	jar_unit_set_infantry	false
			nagash_ovn_dk_inf_skeleton_javelinmen_no_caps	jar_unit_set_infantry	false
			nagash_ovn_dk_inf_skeleton_hoplites	jar_unit_set_infantry	false
			nagash_ovn_dk_inf_skeleton_pikemen	jar_unit_set_infantry	false
			nagash_ovn_dk_inf_tomb_guardian	jar_unit_set_infantry	false
			nagash_ovn_dk_inf_tomb_guardian_peltasts	jar_unit_set_infantry	false
			nagash_ovn_dk_cav_royal_guard_lancers	jar_unit_set_infantry	false
			nagash_ovn_dk_mon_skeleton_elephant	jar_unit_set_infantry	false
			nag_hero_team_summon	jar_unit_set_single_entities	false
			nag_hero_warsphinx_summon	jar_unit_set_single_entities	false
			nag_giant_spoop	jar_unit_set_single_entities	false
			nag_bone_colossus	jar_unit_set_single_entities	false
			nag_spectre_swarm	jar_unit_set_single_entities	false
			nag_shade_haunts	jar_unit_set_single_entities	false
			vigpro_nagash_skeleton_giant	jar_unit_set_single_entities	false
			nag_blood_beasts	jar_unit_set_single_entities	false
			nag_druthor	jar_unit_set_single_entities	false
			nag_vanilla_tmb_mon_tomb_scorpion_0	jar_unit_set_single_entities	false
			nag_vanilla_tmb_mon_khemrian_warsphinx_0	jar_unit_set_single_entities	false
			nag_vanilla_tmb_mon_necrosphinx_0	jar_unit_set_single_entities	false
			nag_vanilla_tmb_mon_bone_giant_0	jar_unit_set_single_entities	false
			nag_vanilla_vmp_mon_varghulf	jar_unit_set_single_entities	false
