unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__ovn_fimir__
			fim_veh_eye_oculus	jar_unit_set_artillery_war_machines	false
			fim_cav_marsh_reavers	jar_unit_set_cavalry_chariots	false
			fim_cav_marsh_hornets_ror	jar_unit_set_cavalry_chariots	false
			fim_cav_nuckelavee	jar_unit_set_cavalry_chariots	false
			fim_mon_bog_beasts	jar_unit_set_cavalry_chariots	false
			fim_mon_bog_beasts_summon	jar_unit_set_cavalry_chariots	false
			fim_mon_fenbeast	jar_unit_set_infantry	false
			fim_inf_boglar	jar_unit_set_infantry	false
			fim_inf_shearl	jar_unit_set_infantry	false
			fim_inf_shearl_spearmen	jar_unit_set_infantry	false
			fim_inf_death_quest	jar_unit_set_infantry	false
			fim_inf_killing_eye_ror	jar_unit_set_infantry	false
			fim_inf_fimm_warriors	jar_unit_set_infantry	false
			fim_inf_fimm_warriors_great_weapons	jar_unit_set_infantry	false
			fim_inf_fimm_flaithmor	jar_unit_set_infantry	false
			fim_inf_fimm_warriors_axe_throwers_ror	jar_unit_set_infantry	false
			fim_mon_gharnus_daemon_ror	jar_unit_set_infantry	false
			fim_mon_fianna_fimm	jar_unit_set_infantry	false
			fim_mon_fianna_fimm_great_weapons	jar_unit_set_infantry	false
			fim_mon_fianna_fimm_shields	jar_unit_set_infantry	false
			fim_inf_shearl_javelineer	jar_unit_set_infantry	false
			fim_mon_balefiend_apprentices	jar_unit_set_infantry	false
			fim_inf_swamp_daemons	jar_unit_set_infantry	false
			fim_inf_swamp_daemons_summon	jar_unit_set_infantry	false
			fim_mon_daemonomaniac	jar_unit_set_single_entities	false
			fim_mon_daemonomaniac_ror	jar_unit_set_single_entities	false
			ovn_fim_mon_bog_octopus_0	jar_unit_set_single_entities	false
			ovn_fim_mon_bog_octopus_summon	jar_unit_set_single_entities	false
			fim_mon_jabberslythe	jar_unit_set_single_entities	false
			fim_inf_moor_hounds	none	false
			fim_inf_moor_hounds_ror	none	false
