unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/singe_units_wh_all__jam
			brt_fire_trebuchet	jar_unit_set_artillery_war_machines	false
			brt_siege_trebuchet	jar_unit_set_artillery_war_machines	false
			brt_flaming_trebuchet	jar_unit_set_artillery_war_machines	false
			singe_def_cauldron	jar_unit_set_artillery_war_machines	false
			singe_dwf_gyro_flame	jar_unit_set_artillery_war_machines	false
			singe_dwf_bugman_thrower	jar_unit_set_artillery_war_machines	false
			singe_dwf_flame_bombard	jar_unit_set_artillery_war_machines	false
			singe_grn_idol_hurla	jar_unit_set_artillery_war_machines	false
			singe_grn_dung_flinga	jar_unit_set_artillery_war_machines	false
			singe_kho_blood_throne	jar_unit_set_artillery_war_machines	false
			singe_skv_screaming_bell	jar_unit_set_artillery_war_machines	false
			singe_skv_plague_furnace	jar_unit_set_artillery_war_machines	false
			singe_zpotvc_bat_mortar	jar_unit_set_artillery_war_machines	false
			singe_zpotvc_corpse_cannon	jar_unit_set_artillery_war_machines	false
			brt_guardians_realm	jar_unit_set_cavalry_chariots	false
			brt_questing_wardens	jar_unit_set_cavalry_chariots	false
			singe_brt_yeomen_pox	jar_unit_set_cavalry_chariots	false
			singe_brt_yeomen_flame	jar_unit_set_cavalry_chariots	false
			singe_brt_unicorn_knights	jar_unit_set_cavalry_chariots	false
			singe_cth_celestial_lancers	jar_unit_set_cavalry_chariots	false
			singe_chs_chosen_knights	jar_unit_set_cavalry_chariots	false
			singe_chs_manticore_knights	jar_unit_set_cavalry_chariots	false
			singe_dae_chaos_bears	jar_unit_set_cavalry_chariots	false
			singe_def_pegasilancers	jar_unit_set_cavalry_chariots	false
			singe_def_nightwitches	jar_unit_set_cavalry_chariots	false
			singe_def_dreadlancers	jar_unit_set_cavalry_chariots	false
			singe_def_harridan	jar_unit_set_cavalry_chariots	false
			singe_emp_light_lancers	jar_unit_set_cavalry_chariots	false
			singe_emp_knight_grtswrd	jar_unit_set_cavalry_chariots	false
			singe_emp_griffon_knight	jar_unit_set_cavalry_chariots	false
			singe_emp_pegasus_knights	jar_unit_set_cavalry_chariots	false
			singe_grn_wyvern_black	jar_unit_set_cavalry_chariots	false
			singe_grn_wyvern_savage	jar_unit_set_cavalry_chariots	false
			singe_grn_gore_grunta	jar_unit_set_cavalry_chariots	false
			singe_grn_spider_chariot	jar_unit_set_cavalry_chariots	false
			singe_hef_watchsisters	jar_unit_set_cavalry_chariots	false
			singe_kho_cult_reavers	jar_unit_set_cavalry_chariots	false
			singe_kho_flesh_seekers	jar_unit_set_cavalry_chariots	false
			singe_ksl_ice_riders	jar_unit_set_cavalry_chariots	false
			singe_lzd_hornedone_riders	jar_unit_set_cavalry_chariots	false
			singe_lzd_temple_riders	jar_unit_set_cavalry_chariots	false
			singe_lzd_temple_riders_nakai	jar_unit_set_cavalry_chariots	false
			singe_nor_coldone_marauders	jar_unit_set_cavalry_chariots	false
			singe_nor_manticore_reavers	jar_unit_set_cavalry_chariots	false
			singe_nor_marauder_riders	jar_unit_set_cavalry_chariots	false
			singe_nur_plague_palanquin	jar_unit_set_cavalry_chariots	false
			singe_sla_hellseekers	jar_unit_set_cavalry_chariots	false
			singe_tmb_nehek_swordknights	jar_unit_set_cavalry_chariots	false
			singe_tmb_nehek_spearknights	jar_unit_set_cavalry_chariots	false
			singe_tmb_nehek_bowhorse	jar_unit_set_cavalry_chariots	false
			singe_tmb_nehek_spearhorse	jar_unit_set_cavalry_chariots	false
			singe_tmb_skelly_swordhorse	jar_unit_set_cavalry_chariots	false
			singe_tze_horror_knights	jar_unit_set_cavalry_chariots	false
			singe_tze_screaming_chariot	jar_unit_set_cavalry_chariots	false
			singe_tze_cultists_horse	jar_unit_set_cavalry_chariots	false
			singe_tze_doomsayer	jar_unit_set_cavalry_chariots	false
			singe_vc_hell_knights	jar_unit_set_cavalry_chariots	false
			singe_we_huntsmen_parravon	jar_unit_set_cavalry_chariots	false
			singe_bm_bestigor_shield	jar_unit_set_infantry	false
			singe_bm_ungor_vile	jar_unit_set_infantry	false
			singe_bm_ungor_shard	jar_unit_set_infantry	false
			singe_bm_bestigor_spear	jar_unit_set_infantry	false
			brt_foot_knight	jar_unit_set_infantry	false
			brt_ranger	jar_unit_set_infantry	false
			brt_squire_longbow	jar_unit_set_infantry	false
			brt_brigand	jar_unit_set_infantry	false
			brt_squire_shield	jar_unit_set_infantry	false
			brt_squire_polearm	jar_unit_set_infantry	false
			brt_spirits_fay	jar_unit_set_infantry	false
