key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/jar_adjustable_missiles
jar_adjustable_missiles__unit_set_ability__acc__0__-100	jar_adjustable_missiles__ability__acc__0__-100	0
jar_adjustable_missiles__unit_set_ability__acc__1__-100	jar_adjustable_missiles__ability__acc__1__-100	1
jar_adjustable_missiles__unit_set_ability__acc__2__-100	jar_adjustable_missiles__ability__acc__2__-100	2
jar_adjustable_missiles__unit_set_ability__acc__3__-100	jar_adjustable_missiles__ability__acc__3__-100	3
jar_adjustable_missiles__unit_set_ability__acc__4__-100	jar_adjustable_missiles__ability__acc__4__-100	4
jar_adjustable_missiles__unit_set_ability__acc__5__-100	jar_adjustable_missiles__ability__acc__5__-100	5
jar_adjustable_missiles__unit_set_ability__acc__0__-99	jar_adjustable_missiles__ability__acc__0__-99	0
jar_adjustable_missiles__unit_set_ability__acc__1__-99	jar_adjustable_missiles__ability__acc__1__-99	1
jar_adjustable_missiles__unit_set_ability__acc__2__-99	jar_adjustable_missiles__ability__acc__2__-99	2
jar_adjustable_missiles__unit_set_ability__acc__3__-99	jar_adjustable_missiles__ability__acc__3__-99	3
jar_adjustable_missiles__unit_set_ability__acc__4__-99	jar_adjustable_missiles__ability__acc__4__-99	4
jar_adjustable_missiles__unit_set_ability__acc__5__-99	jar_adjustable_missiles__ability__acc__5__-99	5
jar_adjustable_missiles__unit_set_ability__acc__0__-98	jar_adjustable_missiles__ability__acc__0__-98	0
jar_adjustable_missiles__unit_set_ability__acc__1__-98	jar_adjustable_missiles__ability__acc__1__-98	1
jar_adjustable_missiles__unit_set_ability__acc__2__-98	jar_adjustable_missiles__ability__acc__2__-98	2
jar_adjustable_missiles__unit_set_ability__acc__3__-98	jar_adjustable_missiles__ability__acc__3__-98	3
jar_adjustable_missiles__unit_set_ability__acc__4__-98	jar_adjustable_missiles__ability__acc__4__-98	4
jar_adjustable_missiles__unit_set_ability__acc__5__-98	jar_adjustable_missiles__ability__acc__5__-98	5
jar_adjustable_missiles__unit_set_ability__acc__0__-97	jar_adjustable_missiles__ability__acc__0__-97	0
jar_adjustable_missiles__unit_set_ability__acc__1__-97	jar_adjustable_missiles__ability__acc__1__-97	1
jar_adjustable_missiles__unit_set_ability__acc__2__-97	jar_adjustable_missiles__ability__acc__2__-97	2
jar_adjustable_missiles__unit_set_ability__acc__3__-97	jar_adjustable_missiles__ability__acc__3__-97	3
jar_adjustable_missiles__unit_set_ability__acc__4__-97	jar_adjustable_missiles__ability__acc__4__-97	4
jar_adjustable_missiles__unit_set_ability__acc__5__-97	jar_adjustable_missiles__ability__acc__5__-97	5
jar_adjustable_missiles__unit_set_ability__acc__0__-96	jar_adjustable_missiles__ability__acc__0__-96	0
jar_adjustable_missiles__unit_set_ability__acc__1__-96	jar_adjustable_missiles__ability__acc__1__-96	1
jar_adjustable_missiles__unit_set_ability__acc__2__-96	jar_adjustable_missiles__ability__acc__2__-96	2
jar_adjustable_missiles__unit_set_ability__acc__3__-96	jar_adjustable_missiles__ability__acc__3__-96	3
jar_adjustable_missiles__unit_set_ability__acc__4__-96	jar_adjustable_missiles__ability__acc__4__-96	4
jar_adjustable_missiles__unit_set_ability__acc__5__-96	jar_adjustable_missiles__ability__acc__5__-96	5
jar_adjustable_missiles__unit_set_ability__acc__0__-95	jar_adjustable_missiles__ability__acc__0__-95	0
jar_adjustable_missiles__unit_set_ability__acc__1__-95	jar_adjustable_missiles__ability__acc__1__-95	1
jar_adjustable_missiles__unit_set_ability__acc__2__-95	jar_adjustable_missiles__ability__acc__2__-95	2
jar_adjustable_missiles__unit_set_ability__acc__3__-95	jar_adjustable_missiles__ability__acc__3__-95	3
jar_adjustable_missiles__unit_set_ability__acc__4__-95	jar_adjustable_missiles__ability__acc__4__-95	4
jar_adjustable_missiles__unit_set_ability__acc__5__-95	jar_adjustable_missiles__ability__acc__5__-95	5
jar_adjustable_missiles__unit_set_ability__acc__0__-94	jar_adjustable_missiles__ability__acc__0__-94	0
jar_adjustable_missiles__unit_set_ability__acc__1__-94	jar_adjustable_missiles__ability__acc__1__-94	1
jar_adjustable_missiles__unit_set_ability__acc__2__-94	jar_adjustable_missiles__ability__acc__2__-94	2
jar_adjustable_missiles__unit_set_ability__acc__3__-94	jar_adjustable_missiles__ability__acc__3__-94	3
jar_adjustable_missiles__unit_set_ability__acc__4__-94	jar_adjustable_missiles__ability__acc__4__-94	4
jar_adjustable_missiles__unit_set_ability__acc__5__-94	jar_adjustable_missiles__ability__acc__5__-94	5
jar_adjustable_missiles__unit_set_ability__acc__0__-93	jar_adjustable_missiles__ability__acc__0__-93	0
jar_adjustable_missiles__unit_set_ability__acc__1__-93	jar_adjustable_missiles__ability__acc__1__-93	1
jar_adjustable_missiles__unit_set_ability__acc__2__-93	jar_adjustable_missiles__ability__acc__2__-93	2
jar_adjustable_missiles__unit_set_ability__acc__3__-93	jar_adjustable_missiles__ability__acc__3__-93	3
jar_adjustable_missiles__unit_set_ability__acc__4__-93	jar_adjustable_missiles__ability__acc__4__-93	4
jar_adjustable_missiles__unit_set_ability__acc__5__-93	jar_adjustable_missiles__ability__acc__5__-93	5
jar_adjustable_missiles__unit_set_ability__acc__0__-92	jar_adjustable_missiles__ability__acc__0__-92	0
jar_adjustable_missiles__unit_set_ability__acc__1__-92	jar_adjustable_missiles__ability__acc__1__-92	1
jar_adjustable_missiles__unit_set_ability__acc__2__-92	jar_adjustable_missiles__ability__acc__2__-92	2
jar_adjustable_missiles__unit_set_ability__acc__3__-92	jar_adjustable_missiles__ability__acc__3__-92	3
jar_adjustable_missiles__unit_set_ability__acc__4__-92	jar_adjustable_missiles__ability__acc__4__-92	4
jar_adjustable_missiles__unit_set_ability__acc__5__-92	jar_adjustable_missiles__ability__acc__5__-92	5
jar_adjustable_missiles__unit_set_ability__acc__0__-91	jar_adjustable_missiles__ability__acc__0__-91	0
jar_adjustable_missiles__unit_set_ability__acc__1__-91	jar_adjustable_missiles__ability__acc__1__-91	1
jar_adjustable_missiles__unit_set_ability__acc__2__-91	jar_adjustable_missiles__ability__acc__2__-91	2
jar_adjustable_missiles__unit_set_ability__acc__3__-91	jar_adjustable_missiles__ability__acc__3__-91	3
jar_adjustable_missiles__unit_set_ability__acc__4__-91	jar_adjustable_missiles__ability__acc__4__-91	4
jar_adjustable_missiles__unit_set_ability__acc__5__-91	jar_adjustable_missiles__ability__acc__5__-91	5
jar_adjustable_missiles__unit_set_ability__acc__0__-90	jar_adjustable_missiles__ability__acc__0__-90	0
jar_adjustable_missiles__unit_set_ability__acc__1__-90	jar_adjustable_missiles__ability__acc__1__-90	1
jar_adjustable_missiles__unit_set_ability__acc__2__-90	jar_adjustable_missiles__ability__acc__2__-90	2
jar_adjustable_missiles__unit_set_ability__acc__3__-90	jar_adjustable_missiles__ability__acc__3__-90	3
jar_adjustable_missiles__unit_set_ability__acc__4__-90	jar_adjustable_missiles__ability__acc__4__-90	4
jar_adjustable_missiles__unit_set_ability__acc__5__-90	jar_adjustable_missiles__ability__acc__5__-90	5
