key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/jar_adjustable_missiles
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-100	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-100	jar_unit_set_global
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_characters__-100	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-100	jar_unit_set_characters
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-100	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-100	jar_unit_set_artillery_war_machines
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_single_entities__-100	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-100	jar_unit_set_single_entities
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-100	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-100	jar_unit_set_cavalry_chariots
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-100	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-100	jar_unit_set_infantry
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-99	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-99	jar_unit_set_global
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_characters__-99	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-99	jar_unit_set_characters
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-99	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-99	jar_unit_set_artillery_war_machines
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_single_entities__-99	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-99	jar_unit_set_single_entities
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-99	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-99	jar_unit_set_cavalry_chariots
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-99	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-99	jar_unit_set_infantry
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-98	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-98	jar_unit_set_global
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_characters__-98	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-98	jar_unit_set_characters
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-98	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-98	jar_unit_set_artillery_war_machines
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_single_entities__-98	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-98	jar_unit_set_single_entities
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_cavalry_chariots__-98	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-98	jar_unit_set_cavalry_chariots
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_infantry__-98	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-98	jar_unit_set_infantry
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_global__-97	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-97	jar_unit_set_global
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_characters__-97	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-97	jar_unit_set_characters
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_artillery_war_machines__-97	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-97	jar_unit_set_artillery_war_machines
jar_adjustable_missiles__unit_set_ability__acc__jar_unit_set_single_entities__-97	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-97	jar_unit_set_single_entities
