key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	audio_vo_actor_override	mom_vortex_key
#unit_special_abilities_tables;74;db/unit_special_abilities_tables/jar_adjustable_missiles
jar_adjustable_missiles__ability__acc__0__-100	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261121				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__1__-100	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261122				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__2__-100	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261123				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__3__-100	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261124				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__4__-100	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261125				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__5__-100	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261126				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__0__-99	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261127				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__1__-99	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261128				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__2__-99	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261129				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__3__-99	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261130				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__4__-99	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261131				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__5__-99	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261132				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__0__-98	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261133				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__1__-98	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261134				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
jar_adjustable_missiles__ability__acc__2__-98	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	644261135				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	disabled	1	false	1.0000		true					
