mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
cathay_pirate_bombard	cathay_pirate_bombard	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	2	false		22	artillery	jar_unit_set_artillery_war_machines
cathay_pirate_crossbows	cathay_pirate_crossbows	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	120	0	0	false	cathay_pirate_crossbow	120	archer	jar_unit_set_infantry
cathay_pirate_fire_rain_rocket_battery	cathay_pirate_fire_rain_rocket_battery	warmachine	artillery	art_fld	emp_rocket_battery	artillery_war_machines	true	44	4	2	false		84	artillery	jar_unit_set_artillery_war_machines
sartosa_buccaneer_deck_gun_weapon_team	sartosa_buccaneer_deck_gun_weapon_team	missile_infantry	inf_ranged	inf_mis	missile_infantry_sniper	missile_infantry	true	32	0	0	false	sartosa_buccaneer_deck_gun	126	archer	jar_unit_set_infantry
sartosa_buccaneer_deck_gun_weapon_team_ror	sartosa_buccaneer_deck_gun_weapon_team_ror	missile_infantry	inf_ranged	inf_mis	missile_infantry_sniper	missile_infantry	true	32	0	0	false	sartosa_buccaneer_deck_gun_ror	54	archer	jar_unit_set_infantry
sartosa_buccaneer_drakefire_cannon	sartosa_buccaneer_drakefire_cannon	warmachine	artillery	art_fld	field_gun_flame	artillery_war_machines	true	32	4	0	false		108	artillery	jar_unit_set_artillery_war_machines
sartosa_buccaneer_drakegun_weapon_team	sartosa_buccaneer_drakegun_weapon_team	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes	missile_infantry	true	32	0	0	false	sartosa_buccaneer_drakegun	64	archer	jar_unit_set_infantry
sartosa_buccaneer_mortar_ror	sartosa_buccaneer_mortar_ror	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	40	1	0	false		22	artillery	jar_unit_set_artillery_war_machines
sartosa_buccaneer_torpedo_weapon_team	sartosa_buccaneer_torpedo_weapon_team	missile_infantry	inf_ranged	inf_mis	dwf_irondrakes_torpedo	missile_infantry	true	32	0	0	false	sartosa_buccaneer_torpedo	18	archer	jar_unit_set_infantry
sartosa_buccaneers_axe_and_pistol	sartosa_buccaneers_axe_and_pistol	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	100	0	0	false	sartosa_buccaneer_pistol	12	archer	jar_unit_set_infantry
sartosa_buccaneers_blunderbuss	sartosa_buccaneers_blunderbuss	missile_infantry	inf_ranged	inf_mis	wh2_dlc11_cst_close_quarters_missile_infantry	missile_infantry	true	80	0	0	false	sartosa_buccaneer_blunderbuss	18	archer	jar_unit_set_infantry
sartosa_buccaneers_dual_axes	sartosa_buccaneers_dual_axes	melee_infantry	inf_melee	inf_mel	infantry_axe_dual_shock	infantry	true	100	0	0	false	sartosa_buccaneer_grenade	2	melee	jar_unit_set_infantry
sartosa_depth_guard_jenny_ror	sartosa_depth_guard_jenny_ror	missile_infantry	inf_melee	inf_mel	missile_infantry_pistol	missile_infantry	true	60	0	0	false	sartosa_depth_guard_jenny_ror_pistol	18	melee	jar_unit_set_infantry
sartosa_leviathan	sartosa_leviathan	monster	war_beast	inf_mel	monster_generic	monster_beasts	true	5	0	1	true		200	melee	jar_unit_set_single_entities
sartosa_norscan_whalers	sartosa_norscan_whalers	melee_infantry	inf_ranged	inf_mis	infantry_spear	infantry	true	90	0	0	false	sartosa_whaler_javelin	2	archer	jar_unit_set_infantry
sartosa_pirate_artillery_cannon	sartosa_pirate_artillery_cannon	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
sartosa_pirate_artillery_culverin	sartosa_pirate_artillery_culverin	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
sartosa_pirate_artillery_deck_cannon	sartosa_pirate_artillery_deck_cannon	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
sartosa_pirate_artillery_mortar	sartosa_pirate_artillery_mortar	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
sartosa_pirate_artillery_volley_gun	sartosa_pirate_artillery_volley_gun	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	44	4	0	false		198	artillery	jar_unit_set_artillery_war_machines
