mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
ogr_arachnarok_spider_0	ogr_arachnarok_spider_0	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		150	melee	jar_unit_set_single_entities
ogr_arachnarok_spider_flinger	ogr_arachnarok_spider_flinger	monster	war_beast	inf_mel	wh3_dlc26_grn_mon_arachnarok_spider_flinger	monster_beasts	true	4	0	1	true	wh3_dlc26_arachnarok_flinger	22	melee	jar_unit_set_single_entities
um_gnoblar_spider_riders_1	um_gnoblar_spider_riders_1	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_spider	missile_cavalry_chariots	true	60	0	60	false	um_gnoblar_spider_riders_1	20	archer	jar_unit_set_cavalry_chariots
um_gnoblar_spider_riders_ror	um_gnoblar_spider_riders_ror	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_spider	missile_cavalry_chariots	true	60	0	60	false	um_gnoblar_spider_riders_ror	20	skirmish	jar_unit_set_cavalry_chariots
gnoblar_spider_chariot	gnoblar_spider_chariot	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	24	8	1	false	gnoblar_spider_chariot	46		jar_unit_set_single_entities
hunter_spider_chariot	hunter_spider_chariot	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	4	4	1	false	fleshrender_hunters	46		jar_unit_set_single_entities
fleshrender_hunters	fleshrender_hunters	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	24	0	0	false	fleshrender_hunters	20	archer	jar_unit_set_infantry
ogr_lava_arachnarok_ror	ogr_lava_arachnarok_ror	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	melee	jar_unit_set_single_entities
lab_ogr_inf_gnoblars_1	wh3_main_ogr_inf_gnoblars_1	missile_infantry	inf_melee	inf_mel	wh3_main_ogr_throwing_dagger_infantry	missile_infantry	true	160	0	0	false	wh3_ogr_gnoblar_throwing_dagger	10	archer	jar_unit_set_infantry
um_ogr_skullflingers	um_ogr_skullflingers	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_sling	missile_infantry	true	120	0	0	false	um_ogr_skullflingers	22	archer	jar_unit_set_infantry
um_ogr_blu	um_ogr_blu	monster	inf_melee	inf_mel	um_ogr_blu	monster_beasts	true	1	0	0	true	um_ogr_blu	10	melee	jar_unit_set_single_entities
um_ogr_blackpowder	um_ogr_blackpowder	chariot	war_machine	chariot	um_ogr_blackpowder	artillery_war_machines	true	2	2	1	true	um_ogr_blackpowder	70	artillery	jar_unit_set_artillery_war_machines
um_gnoblar_grillers_ror	um_gnoblar_grillers_ror	missile_infantry	inf_melee	inf_mel	wh3_main_ogr_throwing_dagger_infantry	missile_infantry	true	120	0	0	false	grill_throwing	3	archer	jar_unit_set_infantry
ogr_flameeater_pistol	ogr_flameeater_pistol	monstrous_infantry	inf_ranged	inf_mis	um_ogr_morg_flame_army	infantry	true	16	0	0	false	ogr_flameeater_pistol	20	archer	jar_unit_set_monstrous
ogr_flame_thrower	ogr_flame_thrower	monstrous_infantry	inf_ranged	inf_mis	um_ogr_morg_flame_army_cannon	missile_infantry	true	16	0	0	false	ogr_flame_thrower	5	archer	jar_unit_set_monstrous
um_ogr_diver_02	um_ogr_diver_02	monstrous_infantry	inf_ranged	inf_mis	um_ogr_diver_02	missile_infantry	true	1	0	0	true	um_ogr_diver_02	10	melee	jar_unit_set_single_entities
um_ogr_diver_03	um_ogr_diver_03	monstrous_infantry	inf_melee	inf_mel	um_ogr_diver_01	infantry	true	1	0	0	true		10	melee	jar_unit_set_single_entities
motm_gnoblar_scraplauncher_ror	motm_gnoblar_scraplauncher_ror	chariot	war_machine	chariot	catapult	artillery_war_machines	true	2	2	1	false	motm_gnoblar_scraplauncher	18	artillery	jar_unit_set_artillery_war_machines
motm_ironblaster_ror	motm_ironblaster_ror	chariot	war_machine	chariot	artillery_cannon	artillery_war_machines	true	2	2	1	false	motm_ironblaster	20	artillery	jar_unit_set_artillery_war_machines
motm_rotting_leviathan_ror	motm_rotting_leviathan_ror	monster	war_beast	inf_mel	monster_generic	monster_beasts	true	5	0	1	true		200	melee	jar_unit_set_single_entities
motm_necrofex_colossus_ror	motm_necrofex_colossus_ror	monster	war_beast	inf_mis	monster_artillery	missile_monster_beasts	true	5	0	1	true	wh2_cst_necrofex_colossus_cannon	22	artillery	jar_unit_set_single_entities
motm_jhared_feral_thundertusk	motm_jhared_feral_thundertusk	monster	inf_melee	inf_mel	wh3_dlc26_ogr_thundertusk	missile_monster_beasts	true	1	0	0	true	wh3_dlc26_thundertusk_ice_shard	30	artillery	jar_unit_set_single_entities
