mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	manEntity	unitSet
chd_skaven_labourers	chd_skaven_labourers	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	180	0	0	false		0			jar_unit_set_infantry
sla_wardancers	sla_wardancers	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false		0		small	jar_unit_set_infantry
sla_eternal_guard	sla_eternal_guard	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	100	0	0	false		0		small	jar_unit_set_infantry
sla_dryads	sla_dryads	melee_infantry	inf_melee	inf_mel	wh_dlc05_wef_dryad	infantry	true	100	0	0	false		0		small	jar_unit_set_infantry
sla_treekin	sla_treekin	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0		large	jar_unit_set_infantry
sla_forest_dragon	sla_forest_dragon	monster	inf_melee	inf_mel	dragon	monster_beasts	true	1	0	0	true		0		very_large	jar_unit_set_single_entities
sla_treeman	sla_treeman	monster	inf_melee	inf_mel	wh_dlc05_wef_treeman	monster_beasts	true	1	0	0	true		0		very_large	jar_unit_set_single_entities
sla_forsaken	sla_forsaken	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	80	0	0	false		0			jar_unit_set_infantry
dragonling_pack	dragonling_pack	monster	inf_melee	inf_mel	dragon	monster_beasts	true	15	0	0	true		0			jar_unit_set_single_entities
worldroot_serpent	worldroot_serpent	monster	inf_melee	inf_mel	wh2_dlc17_lzd_coatl	monster_beasts	true	1	0	0	true		0		very_large	jar_unit_set_single_entities
wef_hydra	wh2_main_def_mon_war_hydra_0	monster	inf_melee	inf_mel	wh2_main_def_mon_war_hydra	monster_beasts	true	1	0	0	true		0	melee		jar_unit_set_single_entities
wef_flamespyre	wh2_main_hef_mon_phoenix_flamespyre	monster	inf_melee	inf_mel	wh2_main_hef_phoenix_fire	monster_beasts	true	1	0	0	true		0	melee		jar_unit_set_single_entities
expedition_archers	expedition_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	85	0	0	false	wh2_dlc13_emp_bow_archers	20			jar_unit_set_infantry
colonial_militia	colonial_militia	missile_infantry	inf_ranged	inf_mis	infantry_spear	infantry	true	100	0	0	false	wh_dlc04_emp_free_company_pistol	19			jar_unit_set_infantry
westland_hunters	westland_hunters	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh2_dlc13_emp_bow_huntsmen	25			jar_unit_set_infantry
freebooters	freebooters	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	85	0	0	false		0			jar_unit_set_infantry
wlc_guard	wlc_guard	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	60	0	0	false	wh2_dlc11_cst_bombs	5			jar_unit_set_infantry
emp_queen_bess	emp_queen_bess	warmachine	artillery	art_fld	artillery_mortar	artillery_war_machines	true	48	1	0	false		16			jar_unit_set_artillery_war_machines
badland_rangers	badland_rangers	missile_infantry	inf_ranged	inf_mis	badland_rangers	missile_infantry	true	80	0	0	false	wh2_dlc10_hef_longbow_arrow_shadow	20			jar_unit_set_infantry
dalmark_militia	dalmark_militia	melee_infantry	inf_melee	inf_mel	dalmark_militia	infantry	true	120	0	0	false		0			jar_unit_set_infantry
