mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
wh2_dlc15_grn_mnt_arachnarok_spider_red_moon	wh2_dlc15_grn_mnt_arachnarok_spider_red_moon	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	1	0	1	true		200	skirmish	jar_unit_set_single_entities
kou_eonir_explorers	kou_eonir_explorers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh_dlc05_wef_scout_bow	25	skirmish	jar_unit_set_infantry
kou_bowmen_units	kou_bowmen_units	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh2_dlc10_hef_longbow_arrow_shadow	28	skirmish	jar_unit_set_infantry
kou_meadow_chariot_ror	kou_meadow_chariot_ror	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	12	4	2	false	kou_meadow_chariot_javelins_missile_weapon	70	skirmish	jar_unit_set_cavalry_chariots
phy_sea_axes	phy_sea_axes	missile_infantry	inf_ranged	inf_mis	infantry_axe_throwing	missile_infantry	true	80	0	0	false	wh_dlc06_dwf_raiders_throwing_axe	12	skirmish	jar_unit_set_infantry
str_khoros_hounds	str_khoros_hounds	missile_cavalry	war_beast	cav_mis	missile_cavalry_axe	missile_cavalry_chariots	true	60	0	60	false	str_khoros_hounds	12	skirmish	jar_unit_set_cavalry_chariots
str_nastasya_ice_guard_0	str_nastasya_ice_guard_0	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	str_nastasya_ice_guard_bow	22	skirmish	jar_unit_set_infantry
str_nastasya_ice_guard_1	str_nastasya_ice_guard_1	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_dual_swords_infantry	missile_infantry	true	80	0	0	false	str_nastasya_ice_guard_bow	22	skirmish	jar_unit_set_infantry
hunt_dwf_slayer_pirates_0	hunt_dwf_slayer_pirates_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	80	0	0	false	hunt_slayer_pirate_grudge_raker_bullet	8	skirmish	jar_unit_set_infantry
hunt_dwf_riggers_0	hunt_dwf_riggers_0	missile_infantry	inf_melee	inf_mel	wh2_dlc11_cst_explosives_infantry	missile_infantry	true	28	0	0	false	hunt_dwf_riggers_bomb	5	skirmish	jar_unit_set_infantry
