mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
scm_fc_norsca_yusak_nor_marauder_throwing_axe	scm_fc_norsca_yusak_nor_marauder_throwing_axe	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
scm_fc_norsca_yusak_nor_marauder_javelins	scm_fc_norsca_yusak_nor_marauder_javelins	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_missile	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_javelin_heavy	12		jar_unit_set_infantry
scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe	scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe	missile_cavalry	war_beast	cav_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	60	0	60	false	wh_main_chs_throwing_axe	12		jar_unit_set_cavalry_chariots
hkrul_bjornling_inf_marauder_hunters_1	hkrul_bjornling_inf_marauder_hunters_1	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_missile	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_javelin_heavy	12		jar_unit_set_infantry
hkrul_bjornling_inf_marauder_hunters_0	hkrul_bjornling_inf_marauder_hunters_0	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
r1kko_adella_sla_troglodon	r1kko_adella_sla_troglodon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_troglodon	missile_monster_beasts	true	1	0	0	true	wh2_dlc17_lzd_troglodon_spit	20		jar_unit_set_single_entities
hkrul_dummy_baersonling_marauder_hunters_0	hkrul_dummy_baersonling_marauder_hunters_0	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
hkrul_dummy_yusak_marauder_horsemen_0	hkrul_dummy_yusak_marauder_horsemen_0	melee_cavalry	war_beast	cav_mis	missile_cavalry_javelin	missile_cavalry_chariots	true	60	0	60	false	wh_main_chs_javelin	16		jar_unit_set_cavalry_chariots
hkrul_dummy_yusak_marauder_horsemen_1	hkrul_dummy_yusak_marauder_horsemen_1	missile_cavalry	war_beast	cav_mis	missile_cavalry_axe	missile_cavalry_chariots	true	60	0	60	false	wh_main_chs_throwing_axe	12		jar_unit_set_cavalry_chariots
hkrul_dummy_sarl_marauder_hunters_0	hkrul_dummy_sarl_marauder_hunters_0	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
hkrul_dummy_bloodfjord_marauder_hunters_0	hkrul_dummy_bloodfjord_marauder_hunters_0	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
hkrul_skeggi_inf_marauder_hunters_1	hkrul_skeggi_inf_marauder_hunters_1	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_missile	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_javelin_heavy	12		jar_unit_set_infantry
hkrul_skeggi_inf_marauder_hunters_0	hkrul_skeggi_inf_marauder_hunters_0	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
hkrul_baerson_inf_marauder_hunters_1	hkrul_baerson_inf_marauder_hunters_1	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_missile	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_javelin_heavy	12		jar_unit_set_infantry
hkrul_baerson_inf_marauder_hunters_0	hkrul_baerson_inf_marauder_hunters_0	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		jar_unit_set_infantry
nor_longship	hkrul_sarl_hunters	missile_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	90	0	0	false	hkrul_sarl_hunters	25		jar_unit_set_infantry
deco_nor_huskarls	hkrul_sarl_hunters	missile_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	90	0	0	false	hkrul_sarl_hunters	25		jar_unit_set_infantry
deco_nor_maidens	hkrul_sarl_hunters	missile_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	90	0	0	false	hkrul_sarl_hunters	25		jar_unit_set_infantry
nor_shield_spear	hkrul_sarl_hunters	melee_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	120	0	0	false	hkrul_sarl_hunters	25		jar_unit_set_infantry
