mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	manEntity	unitSet
jiang_wightkin	jiang_wightkin	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0			jar_unit_set_infantry
jiang_wiltings	jiang_wiltings	melee_infantry	inf_melee	inf_mel	wh_dlc05_wef_dryad	infantry	true	100	0	0	false		0			jar_unit_set_infantry
bm_theak_moloch_monks	bm_theak_moloch_monks	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	20	0	0	false		0		small	jar_unit_set_infantry
wh_main_vmp_cav_black_knights_0_jiang	wh_main_vmp_cav_black_knights_0_jiang	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
wh_main_vmp_cav_black_knights_3_jiang	wh_main_vmp_cav_black_knights_3_jiang	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
wh_main_vmp_cav_hexwraiths_jiang	wh_main_vmp_cav_hexwraiths	melee_cavalry	cavalry	cav_mel	vmp_cavalry_scythe	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
wh_main_vmp_inf_cairn_wraiths_jiang	vmp_jiang_inf_cairn_wraiths	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_censer	infantry	true	60	0	0	false		0	melee	small	jar_unit_set_infantry
wh_main_vmp_inf_crypt_ghouls_jiang	wh_main_vmp_inf_crypt_ghouls	melee_infantry	inf_melee	inf_mel	vmp_crypt_ghouls	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
wh_main_vmp_inf_grave_guard_0_jiang	wh_main_vmp_inf_grave_guard_0_jiang	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_unit_set_infantry
wh_main_vmp_inf_grave_guard_1_jiang	wh_main_vmp_inf_grave_guard_1_jiang	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0		small	jar_unit_set_infantry
