mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
Chasslo_BlackWater_Squadron	Chasslo_BlackWater_Squadron	warmachine	inf_ranged	inf_mis	dwf_gyrocopter	flying_war_machine	true	12	0	0	false	wh_main_dwf_copter_steam_gun	35	1.0000	jar_unit_set_artillery_war_machines
Chasslo_Grimnir_Sons	Chasslo_Grimnir_Sons	missile_infantry	inf_ranged	inf_mis	infantry_axe_throwing	missile_infantry	true	80	0	0	false	wh_dlc06_dwf_rangers_throwing_axe	15	1.0000	jar_unit_set_infantry
Chasslo_IronBrotherhood	Chasslo_IronBrotherhood	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	100	0	0	false	wh_main_dwf_cinderblast_bomb	1	1.0000	jar_unit_set_infantry
Chasslo_Black_Bolt_Throwers	Chasslo_Black_Bolt_Throwers	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	32	4	0	false		25	1.0000	jar_unit_set_artillery_war_machines
Chasslo_Brood_Queen	Chasslo_Brood_Queen	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	1.0000	jar_unit_set_single_entities
Chasslo_Iron_Guard	Chasslo_Iron_Guard	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false	Chasslo_Super_IronBlast	2	1.0000	jar_unit_set_infantry
Chasslo_Stompin_Cobb	Chasslo_Stompin_Cobb	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	1.0000	jar_unit_set_single_entities
Chasslo_First_Trebuchet	Chasslo_First_Trebuchet	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	11	1	0	false		25	1.0000	jar_unit_set_artillery_war_machines
Chasslo_Pale_Maidens	Chasslo_Pale_Maidens	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	wh3_main_ksl_bow_ice_guard	35	1.0000	jar_unit_set_infantry
Chasslo_Vashtorrs_Opus	Chasslo_Vashtorrs_Opus	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	12	1	0	false		20	1.0000	jar_unit_set_artillery_war_machines
Chasslo_Fireloques_Ferlangen	Chasslo_Fireloques_Ferlangen	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	Chasslo_Ferlangen_rifle	22	1.0000	jar_unit_set_infantry
CLE_Oreon_Warband	CLE_Oreon_Warband	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	CLE_Oreon_Warband_bow	23	1.0000	jar_unit_set_infantry
CLE_Ghrond_Librarian	CLE_Ghrond_Librarian	monster	inf_melee	inf_mel	wh2_dlc14_def_monster_medusa	missile_monster_beasts	true	1	0	0	true	CLE_Ghrond_Librarian_missile	150	1.0000	jar_unit_set_single_entities
CLE_Ostankya_Arachnarok	CLE_Ostankya_Arachnarok	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	8	0	1	true		200	melee	jar_unit_set_single_entities
CLE_double_bastiladon	CLE_double_bastiladon	monster	war_beast	inf_mel	wh2_dlc17_lzd_bastiladon_healing	monster_beasts	true	4	0	1	true		70	melee	jar_unit_set_single_entities
