mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
mf_srvbrgTH_brt_brigand_crossbows_armored	mf_srvbrgTH_brt_brigand_crossbows_armored	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	jar_unit_set_infantry
mf_srvbrgTH_brt_brigand_blunderbuss_armored	mf_srvbrgTH_brt_brigand_blunderbuss_armored	missile_infantry	inf_ranged	inf_mis	missile_infantry_grudge_raker	missile_infantry	true	90	0	0	false	mf_srvbrgTH_brt_brigand_blunderbuss	22	archer	jar_unit_set_infantry
mf_srvbrgTH_brt_herrimault_rangers	mf_srvbrgTH_brt_herrimault_rangers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	mf_srvbrgTH_brt_longbow_herrimault_ranger	22	archer	jar_unit_set_infantry
mf_srvbrgTH_brt_brigand_rapscallions	mf_srvbrgTH_brt_brigand_rapscallions	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	mf_srvbrgTH_brt_brigand_rapscallions_pistol	18	archer	jar_unit_set_infantry
mf_srvbrgTH_brt_brigand_rapscallions_armored	mf_srvbrgTH_brt_brigand_rapscallions_armored	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	mf_srvbrgTH_brt_brigand_rapscallions_pistol	18	archer	jar_unit_set_infantry
mf_srvbrgTH_brt_brigand_knaves	mf_srvbrgTH_brt_brigand_knaves	missile_infantry	inf_ranged	inf_mel	missile_infantry_pistol	missile_infantry	true	100	0	0	false	mf_srvbrgTH_brt_knave_pistol	18	archer	jar_unit_set_infantry
brt_herrimaults	brt_herrimaults	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	brt_longbow_herrimault	22	archer	jar_unit_set_infantry
brt_chasseurs	brt_chasseurs	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	48	0	60	false	brt_longbow_herrimault	18		jar_unit_set_cavalry_chariots
brt_brigand_crossbows	brt_brigand_crossbows	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	jar_unit_set_infantry
brt_bowmen_of_bergerac	brt_bowmen_of_bergerac	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	brt_longbow_herrimault	22		jar_unit_set_infantry
brt_aspirant_hoods	brt_aspirant_hoods	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	16	0	0	false	brt_aspirant_hoods_arrow	35		jar_unit_set_infantry
