mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
mixu_emp_cav_daughters_of_rhya	mixu_emp_cav_daughters_of_rhya	missile_cavalry	cavalry	cav_mis	monstrous_shock_cavalry_stags	cavalry_chariots	true	48	0	48	false	mixu_emp_daughters_of_rhya_javelin	18	skirmish	jar_unit_set_cavalry_chariots
mixu_tze_inf_cultist_acolytes	mixu_tze_inf_cultist_acolytes	melee_infantry	inf_melee	inf_mel	missile_infantry_bow	missile_infantry	true	80	0	0	false	mixu_tze_cultists_magic	20	melee	jar_unit_set_infantry
mixu_tze_mon_trolls	mixu_tze_mon_trolls	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false	mixu_tze_trolls_magic_puke	6	melee	jar_unit_set_monstrous
mixu_emp_inf_norscan_reavers	mixu_emp_inf_norscan_reavers	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false	wh3_main_ksl_armoured_kossar_pistol_bullet	6	melee	jar_unit_set_infantry
mixu_emp_inf_norscan_reavers_great_weapons	mixu_emp_inf_norscan_reavers_great_weapons	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	100	0	0	false	wh3_main_ksl_armoured_kossar_pistol_bullet	6	melee	jar_unit_set_infantry
mixu_emp_inf_buccaneers_sword_and_bombs	mixu_emp_inf_buccaneers_sword_and_bombs	melee_infantry	inf_ranged	inf_mis	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false	wh2_dlc11_cst_bombs	5	melee	jar_unit_set_infantry
mixu_emp_inf_gunnery_mob_pistols	mixu_emp_inf_gunnery_mob_pistols	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	wh_dlc04_emp_free_company_pistol	18	archer	jar_unit_set_infantry
mixu_emp_mon_leviathan	mixu_emp_mon_leviathan	monster	war_beast	inf_mel	monster_generic	monster_beasts	true	5	0	1	true		200	melee	jar_unit_set_single_entities
mixu_emp_inf_gunnery_mob_handguns	mixu_emp_inf_gunnery_mob_handguns	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22	archer	jar_unit_set_infantry
mixu_emp_inf_gunnery_mob_blunderbuss	mixu_emp_inf_gunnery_mob_blunderbuss	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	mixu_emp_gunnery_mob_blunderbuss	22	archer	jar_unit_set_infantry
mixu_emp_art_carronade	mixu_emp_art_carronade	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
mixu_emp_art_mortar	mixu_emp_art_mortar	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
mixu_emp_mon_promethean_riders	mixu_emp_mon_promethean_riders	monstrous_infantry	war_beast	inf_mis	wh2_dlc11_cst_promethean_missile	missile_monster_beasts	true	36	0	12	false		45	melee	jar_unit_set_monstrous
