mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	manEntity	unitSet
cst_nanosh_skeleton_mon_rotting_prometheans_gunnery_mob_0	cst_nanosh_skeleton_mon_rotting_prometheans_gunnery_mob_0	monstrous_infantry	war_beast	inf_mis	wh2_dlc11_cst_promethean_missile	missile_monster_beasts	true	24	0	12	false		45	melee		jar_unit_set_cavalry_chariots
cst_nanosh_skeleton_mon_necrofex_colossus_0	cst_nanosh_skeleton_mon_necrofex_colossus_0	monster	war_beast	inf_mis	monster_artillery	missile_monster_beasts	true	5	0	1	true	wh2_cst_necrofex_colossus_cannon	22	artillery		jar_unit_set_single_entities
cst_nanosh_inf_crypt_ghouls_summoned	cst_nanosh_inf_crypt_ghouls_summoned	melee_infantry	inf_melee	inf_mel	vmp_crypt_ghouls	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
cst_nanosh_crypt_horrors_summoned	cst_nanosh_crypt_horrors_summoned	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee		jar_unit_set_infantry
cst_nanosh_basic_inf_dirt_fang_ghouls_0	cst_nanosh_basic_inf_dirt_fang_ghouls_0	melee_infantry	inf_melee	inf_mel	vmp_crypt_ghouls	infantry	true	160	0	0	false		0	melee		jar_unit_set_infantry
cst_nanosh_elite_inf_phy_sea_ghouls_0	cst_nanosh_elite_inf_phy_sea_ghouls_0	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
cst_nanosh_elite_inf_phy_sea_ghouls_ror_0	cst_nanosh_elite_inf_phy_sea_ghouls_ror_0	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
cst_nanosh_mon_inf_crypt_maneaters_0	cst_nanosh_mon_inf_crypt_maneaters_0	monstrous_infantry	inf_melee	inf_mel	wh3_main_ogr_monstrous	infantry	true	16	0	0	false		0	melee	large	jar_unit_set_infantry
cst_nanosh_mon_inf_crypt_maneaters_1	cst_nanosh_mon_inf_crypt_maneaters_1	monstrous_infantry	inf_melee	inf_mel	wh3_main_ogr_monstrous_ironfist	infantry	true	16	0	0	false		0	melee	large	jar_unit_set_infantry
cst_nanosh_mon_inf_crypt_maneaters_2	cst_nanosh_mon_inf_crypt_maneaters_2	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry_hammer_ogr	infantry	true	16	0	0	false		0	melee	large	jar_unit_set_infantry
