mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
galed_elf_archers	galed_elf_archers	missile_infantry	inf_ranged	inf_mis	galed_elf_archers	dark_omen	false	135	0	0	false	galed_elf_archers	22		jar_unit_set_infantry
galed_elf_archers_upgrade	galed_elf_archers	missile_infantry	inf_ranged	inf_mis	galed_elf_archers	dark_omen	false	143	0	0	false	galed_elf_archers	22		jar_unit_set_infantry
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry	inf_ranged	inf_mis	grudgebringer_crossbow	dark_omen	false	90	0	0	false	grudgebringer_crossbow	22		jar_unit_set_infantry
grudgebringer_crossbow_upgrade	grudgebringer_crossbow	missile_infantry	inf_ranged	inf_mis	grudgebringer_crossbow	dark_omen	false	120	0	0	false	grudgebringer_crossbow	22		jar_unit_set_infantry
helmgart_bowmen	helmgart_bowmen	missile_infantry	inf_ranged	inf_mis	helmgart_bowmen	dark_omen	false	150	0	0	false	helmgart_bowmen	22		jar_unit_set_infantry
keelers_longbows	keelers_longbows	missile_infantry	inf_ranged	inf_mis	keelers_longbows	dark_omen	false	105	0	0	false	helmgart_bowmen	24		jar_unit_set_infantry
grudgebringer_cannon	grudgebringer_cannon	warmachine	artillery	art_fld	grudgebringer_cannon	dark_omen	false	44	4	0	false		30		jar_unit_set_artillery_war_machines
uter_blomkwist_imperial_mortar	uter_blomkwist_imperial_mortar	warmachine	artillery	art_fld	uter_blomkwist_imperial_mortar	dark_omen	false	44	4	0	false		22		jar_unit_set_artillery_war_machines
stephan_weiss_outlaw_pistoliers	stephan_weiss_outlaw_pistoliers	missile_cavalry	cavalry	cav_mis	stephan_weiss_outlaw_pistoliers	dark_omen	false	44	0	60	false	stephan_weiss_outlaw_pistoliers	48		jar_unit_set_cavalry_chariots
imperial_cannon_darius_flugenheim	imperial_cannon_darius_flugenheim	warmachine	artillery	art_fld	imperial_cannon_darius_flugenheim	dark_omen	false	44	4	0	false		22		jar_unit_set_artillery_war_machines
grudgebringers_wagon	grudgebringers_wagon	chariot	war_machine	chariot	grudgebringers_wagon	dark_omen	false	8	1	2	false	grudgebringers_wagon	120		jar_unit_set_single_entities
leitdorf_9th_crossbows	leitdorf_9th_crossbows	missile_infantry	inf_ranged	inf_mis	leitdorf_9th_crossbows	dark_omen	false	113	0	0	false	leitdorf_9th_crossbows	22		jar_unit_set_infantry
emperors_hellblaster_volley_gun	emperors_hellblaster_volley_gun	warmachine	artillery	art_fld	emperors_hellblaster_volley_gun	dark_omen	false	44	4	0	false		198		jar_unit_set_artillery_war_machines
