mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
hng_scouts_ammo_upgrade_fire	hng_scouts_ammo_upgrade_fire	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	hng_scouts_ammo_upgrade_fire	24		jar_unit_set_infantry
hng_heavy_archers_ammo_upgrade_magical	hng_heavy_archers_ammo_upgrade_magical	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	1	0	false	hng_heavy_archers_ammo_upgrade_magical	28		jar_unit_set_single_entities
hng_heavy_archers_ammo_upgrade_heavy	hng_heavy_archers_ammo_upgrade_heavy	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	1	0	false	hng_heavy_archers_ammo_upgrade_heavy	28		jar_unit_set_single_entities
hng_horsemasters_ammo_upgrade_heavy	hng_horsemasters_ammo_upgrade_heavy	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_heavy	28		jar_unit_set_infantry
hng_horsemasters_ammo_upgrade_whistling	hng_horsemasters_ammo_upgrade_whistling	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_whistling	28		jar_unit_set_infantry
hng_horsemasters_ammo_upgrade_fire	hng_horsemasters_ammo_upgrade_fire	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_fire	28		jar_unit_set_infantry
hng_horsemasters_ammo_upgrade_all	hng_horsemasters_ammo_upgrade_all	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_glaive_infantry	missile_infantry	true	80	0	0	false	hng_horsemasters_ammo_upgrade_all	28		jar_unit_set_infantry
hng_khevtuul_ammo_upgrade_explosive	hng_khevtuul_ammo_upgrade_explosive	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_explosive	28		jar_unit_set_infantry
hng_khevtuul_ammo_upgrade_heavy	hng_khevtuul_ammo_upgrade_heavy	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_heavy	28		jar_unit_set_infantry
hng_khevtuul_ammo_upgrade_poison	hng_khevtuul_ammo_upgrade_poison	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_poison	28		jar_unit_set_infantry
hng_khevtuul_ammo_upgrade_all	hng_khevtuul_ammo_upgrade_all	missile_infantry	inf_ranged	inf_mis	hng_khevtuul	missile_infantry	true	90	0	0	false	hng_khevtuul_ammo_upgrade_all	28		jar_unit_set_infantry
hng_horse_archers_ammo_upgrade_whistling	hng_horse_archers_ammo_upgrade_whistling	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	hng_horse_archers_ammo_upgrade_whistling	22		jar_unit_set_cavalry_chariots
hng_horse_archers_ammo_upgrade_poison	hng_horse_archers_ammo_upgrade_poison	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	hng_horse_archers_ammo_upgrade_poison	22		jar_unit_set_cavalry_chariots
hng_mounted_heavy_archers_ammo_upgrade_magical	hng_mounted_heavy_archers_ammo_upgrade_magical	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	hng_mounted_heavy_archers_ammo_upgrade_magical	24		jar_unit_set_cavalry_chariots
hng_mounted_heavy_archers_ammo_upgrade_heavy	hng_mounted_heavy_archers_ammo_upgrade_heavy	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	hng_mounted_heavy_archers_ammo_upgrade_heavy	24		jar_unit_set_cavalry_chariots
hng_mounted_horsemasters_ammo_upgrade_heavy	hng_mounted_horsemasters_ammo_upgrade_heavy	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	48	0	48	false	hng_mounted_horsemasters_ammo_upgrade_heavy	28		jar_unit_set_cavalry_chariots
hng_mounted_horsemasters_ammo_upgrade_whistling	hng_mounted_horsemasters_ammo_upgrade_whistling	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	48	0	48	false	hng_mounted_horsemasters_ammo_upgrade_whistling	28		jar_unit_set_cavalry_chariots
hng_mounted_horsemasters_ammo_upgrade_fire	hng_mounted_horsemasters_ammo_upgrade_fire	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	48	0	48	false	hng_mounted_horsemasters_ammo_upgrade_fire	28		jar_unit_set_cavalry_chariots
hng_mounted_horsemasters_ammo_upgrade_all	hng_mounted_horsemasters_ammo_upgrade_all	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	48	0	48	false	hng_mounted_horsemasters_ammo_upgrade_all	28		jar_unit_set_cavalry_chariots
hng_scouts_0	hng_scouts_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	hng_scout_bow	24		jar_unit_set_infantry
hng_steppe_trackers_0	hng_steppe_trackers_0	missile_infantry	inf_ranged	inf_mis	infantry_axe_throwing	missile_infantry	true	90	0	0	false	wh_dlc08_nor_throwing_axe	10		jar_unit_set_infantry
