mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
nag_bone_thrower	nag_bone_thrower	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	44	4	0	false		22		jar_unit_set_artillery_war_machines
nag_hero_team_summon	nag_hero_team_summon	missile_infantry	inf_ranged	inf_mel	vmp_wight_king	heroes_agents	true	3	0	0	true	wh2_dlc11_cst_vampire_fleet_admiral_female_pistol	40		jar_unit_set_single_entities
nag_hero_warsphinx_summon	nag_hero_warsphinx_summon	monster	war_beast	inf_mel	wh2_dlc09_tmb_warsphinx	missile_monster_beasts	true	4	0	1	true		20		jar_unit_set_single_entities
nag_bone_colossus	nag_bone_colossus	monster	inf_melee	inf_mel	nag_bone_colossus	constructs	true	1	0	0	true	nag_bone_colossus_tombstone	5		jar_unit_set_single_entities
nag_undead_chariot_unit	nag_undead_chariot_unit	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	24	12	2	false	nag_skeleton_bow_chariot	24		jar_unit_set_cavalry_chariots
vigpro_nagash_skeleton_goblin_range	vigpro_nagash_skeleton_goblin_range	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	120	0	0	false	wh_main_grn_goblin_bow	24		jar_unit_set_infantry
nag_thrall_crossbowmen	nag_thrall_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh_main_emp_crossbow	22		jar_unit_set_infantry
nag_thrall_handgunners	nag_thrall_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	80	0	0	false	wh_main_emp_rifle	22		jar_unit_set_infantry
nag_vanilla_tmb_inf_skeleton_archers_0	nag_vanilla_tmb_inf_skeleton_archers_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	120	0	0	false	wh2_dlc09_tmb_bow_skeleton	22		jar_unit_set_infantry
nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_skeleton	missile_cavalry_chariots	true	60	0	60	false	wh2_dlc09_tmb_bow_horse	18		jar_unit_set_cavalry_chariots
nag_vanilla_tmb_veh_skeleton_archer_chariot_0	nag_vanilla_tmb_veh_skeleton_archer_chariot_0	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	24	12	2	false	wh2_dlc09_tmb_bow_chariot	30		jar_unit_set_cavalry_chariots
nag_vanilla_tmb_mon_ushabti_1	nag_vanilla_tmb_mon_ushabti_1	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_ushabti_bow	missile_monster_beasts	true	12	0	0	false	wh2_dlc09_tmb_bow_ushabti	21		jar_unit_set_monstrous
nag_vanilla_tmb_mon_sepulchral_stalkers_0	nag_vanilla_tmb_mon_sepulchral_stalkers_0	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_sepulchral_stalkers	missile_monster_beasts	true	16	0	0	false	wh2_dlc09_tmb_stalker_gaze	12		jar_unit_set_monstrous
nag_vanilla_tmb_mon_khemrian_warsphinx_0	nag_vanilla_tmb_mon_khemrian_warsphinx_0	monster	war_beast	inf_mel	wh2_dlc09_tmb_warsphinx	missile_monster_beasts	true	4	0	1	true		200		jar_unit_set_single_entities
nag_vanilla_tmb_mon_bone_giant_0	nag_vanilla_tmb_mon_bone_giant_0	monster	inf_ranged	inf_mis	wh2_dlc10_tmb_bone_giant	missile_monster_beasts	true	1	0	0	true	wh2_dlc10_tmb_bone_giant_bow	20		jar_unit_set_single_entities
nag_vanilla_tmb_art_screaming_skull_catapult_0	nag_vanilla_tmb_art_screaming_skull_catapult_0	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22		jar_unit_set_artillery_war_machines
nag_vanilla_tmb_art_casket_of_souls_0	nag_vanilla_tmb_art_casket_of_souls_0	chariot	war_machine	chariot	wh2_dlc09_tmb_casket_of_souls	artillery_war_machines	true	1	1	0	true	wh2_dlc09_tmb_casket_of_souls	20		jar_unit_set_artillery_war_machines
nag_vanilla_cst_inf_zombie_gunnery_mob_0	nag_vanilla_cst_inf_zombie_gunnery_mob_0	missile_infantry	inf_ranged	inf_mis	wh2_dlc11_cst_missile_pistol	missile_infantry	true	120	0	0	false	wh2_dlc11_cst_pistol	22		jar_unit_set_infantry
nag_vanilla_cst_inf_zombie_gunnery_mob_1	nag_vanilla_cst_inf_zombie_gunnery_mob_1	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	120	0	0	false	wh2_dlc11_cst_rifle	22		jar_unit_set_infantry
nag_vanilla_cst_inf_deck_gunners_0	nag_vanilla_cst_inf_deck_gunners_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_sniper	missile_infantry	true	32	0	0	false	wh2_cst_deck_gunner_rifle	22		jar_unit_set_infantry
nag_vanilla_cst_art_carronade	wh2_dlc11_cst_art_carronade	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
nag_vanilla_cst_mon_necrofex_colossus_0	wh2_dlc11_cst_mon_necrofex_colossus_0	monster	war_beast	inf_mis	monster_artillery	missile_monster_beasts	true	5	0	1	true	wh2_cst_necrofex_colossus_cannon	22	artillery	jar_unit_set_single_entities
rhox_nagash_lahmia_emp_art_helstorm_rocket_battery	wh_main_emp_art_helstorm_rocket_battery	warmachine	artillery	art_fld	emp_rocket_battery	artillery_war_machines	true	44	4	0	false		66	artillery	jar_unit_set_artillery_war_machines
rhox_nagash_lahmia_emp_art_helblaster_volley_gun	wh_main_emp_art_helblaster_volley_gun	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	44	4	0	false		198	artillery	jar_unit_set_artillery_war_machines
