mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
ovn_arb_art_grand_bombard	ovn_arb_art_grand_bombard	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	32	1	0	false		22	artillery	jar_unit_set_artillery_war_machines
ovn_arb_art_grand_bombard_ror	ovn_arb_art_grand_bombard_ror	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	32	1	0	false		22	artillery	jar_unit_set_artillery_war_machines
ovn_arb_art_naphtha_thrower	ovn_arb_art_naphtha_thrower	warmachine	artillery	art_fld	field_gun_flame	artillery_war_machines	true	44	4	0	false		75	artillery	jar_unit_set_artillery_war_machines
ovn_arb_art_quadballista	ovn_arb_art_quadballista	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	44	4	0	false		48	artillery	jar_unit_set_artillery_war_machines
ovn_arb_art_quadballista_ror	ovn_arb_art_quadballista_ror	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	44	4	0	false		48	artillery	jar_unit_set_artillery_war_machines
ovn_arb_cav_archer_camels	ovn_arb_cav_archer_camels	missile_cavalry	cavalry	cav_mis	missile_camelry_bow	missile_cavalry_chariots	true	60	0	60	false	ovn_arb_camel_arrow	18	skirmish	jar_unit_set_cavalry_chariots
ovn_arb_cav_bedouin_scouts	ovn_arb_cav_bedouin_scouts	melee_cavalry	cavalry	cav_mis	missile_cavalry_javelin	missile_cavalry_chariots	true	60	0	60	false	ovn_arb_javelin	16	skirmish	jar_unit_set_cavalry_chariots
ovn_arb_cav_flying_carpets	ovn_arb_cav_flying_carpets	missile_cavalry	war_beast	cav_mis	ovn_flying_missile_carpetry	missile_cavalry_chariots	true	24	0	24	false	arb_carpet_bow	22	skirmish	jar_unit_set_cavalry_chariots
ovn_arb_cav_flying_carpets_ror	ovn_arb_cav_flying_carpets_ror	missile_cavalry	war_beast	cav_mis	ovn_flying_missile_carpetry	missile_cavalry_chariots	true	24	0	24	false	arb_napthta_bomb	10	skirmish	jar_unit_set_cavalry_chariots
ovn_arb_cav_jezzail_camels	ovn_arb_cav_jezzail_camels	missile_cavalry	cavalry	cav_mis	missile_camelry_rifle	missile_cavalry_chariots	true	60	0	60	false	ovn_arb_inf_jezzails	20	skirmish	jar_unit_set_cavalry_chariots
ovn_arb_inf_alrahem_nomads	ovn_arb_inf_alrahem_nomads	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_huntsmen	22	archer	jar_unit_set_infantry
ovn_arb_inf_arabyan_bowmen	ovn_arb_inf_arabyan_bowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	ovn_arb_bowmen	22	archer	jar_unit_set_infantry
