mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	manEntity	unitSet
ovn_dk_inf_skeleton_javelinmen	ovn_dk_inf_skeleton_javelinmen	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	120	0	0	false	ovn_dk_skeleton_javelin	12	archer		jar_unit_set_infantry
ovn_dk_inf_skeleton_hoplites	ovn_dk_inf_skeleton_hoplites	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_skeleton_pikemen	ovn_dk_inf_skeleton_pikemen	melee_infantry	inf_melee	inf_mel	infantry_pike	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_mummies	ovn_dk_inf_mummies	melee_infantry	inf_melee	inf_mel	infantry_sword_dual	infantry	true	100	0	0	false		0	melee	small	jar_unit_set_infantry
ovn_dk_inf_tomb_guardian	ovn_dk_inf_tomb_guardian	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_tomb_guardian_great_weapons	ovn_dk_inf_tomb_guardian_great_weapons	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	100	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_tomb_guardian_peltasts	ovn_dk_inf_tomb_guardian_peltasts	missile_infantry	inf_melee	inf_mel	wh_dlc08_nor_hunters_javelin	missile_infantry	true	80	0	0	false	ovn_dk_peltast_javelin_heavy	12	archer		jar_unit_set_infantry
ovn_dk_inf_tomb_guardian_summoned	ovn_dk_inf_tomb_guardian_summoned	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_tomb_guardian_great_weapons_summoned	ovn_dk_inf_tomb_guardian_great_weapons_summoned	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	100	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_cav_royal_guard_cavalry	ovn_dk_cav_royal_guard_cavalry	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_cav_royal_guard_lancers	ovn_dk_cav_royal_guard_lancers	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_cav_skeleton_horsemen_0	ovn_dk_cav_skeleton_horsemen_0	melee_cavalry	cavalry	cav_mel	cavalry_spear_skeleton	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_cav_skeleton_horsemen_archers_0	ovn_dk_cav_skeleton_horsemen_archers_0	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_skeleton	missile_cavalry_chariots	true	60	0	60	false	wh2_dlc09_tmb_bow_horse	18	skirmish		jar_unit_set_cavalry_chariots
ovn_dk_veh_skeleton_chariot	ovn_dk_veh_skeleton_chariot	chariot	war_machine	chariot	chariot	cavalry_chariots	true	24	12	2	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_veh_skeleton_archer_chariot	ovn_dk_veh_skeleton_archer_chariot	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	24	12	2	false	wh2_dlc09_tmb_bow_chariot	30	skirmish		jar_unit_set_cavalry_chariots
ovn_dk_mon_skeleton_elephant	ovn_dk_mon_skeleton_elephant	monster	war_beast	inf_mel	ovn_elephant	monster_beasts	true	6	0	1	true		200	melee		jar_unit_set_single_entities
ovn_dk_mon_skeleton_giant	ovn_dk_mon_skeleton_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_unit_set_single_entities
ovn_dk_art_screaming_skull_ballista	ovn_dk_art_screaming_skull_ballista	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22	artillery		jar_unit_set_artillery_war_machines
ovn_dk_art_bone_throwers	ovn_dk_art_bone_throwers	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	56	8	0	false		22	artillery		jar_unit_set_artillery_war_machines
ovn_dk_inf_cairn_wraiths	ovn_dk_inf_cairn_wraiths	melee_infantry	inf_melee	inf_mel	vmp_infantry_scythe	infantry	true	60	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_mon_skeletal_minotaurs	ovn_dk_mon_skeletal_minotaurs	monstrous_infantry	inf_melee	inf_mel	wh_dlc03_minotaurs_great_weapon	monster_beasts	true	16	0	0	false		0	melee	large	jar_unit_set_infantry
ovn_dk_mon_skeletal_minotaurs_summon	ovn_dk_mon_skeletal_minotaurs_summon	monstrous_infantry	inf_melee	inf_mel	wh_dlc03_minotaurs_great_weapon	monster_beasts	true	16	0	0	false		0	melee	large	jar_unit_set_infantry
ovn_dk_mon_bone_hydra	ovn_dk_mon_bone_hydra	monster	inf_melee	inf_mel	wh2_main_def_mon_war_hydra	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_unit_set_single_entities
ovn_dk_veh_mortis_engine_0	ovn_dk_veh_mortis_engine_0	chariot	war_machine	chariot	magic_chariot	artillery_war_machines	true	18	1	0	true		0	melee		jar_unit_set_artillery_war_machines
ovn_dk_inf_brigands_ror	ovn_dk_inf_brigands_ror	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer		jar_unit_set_infantry
ovn_dk_inf_wights_ror	ovn_dk_inf_wights_ror	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_catacomb_guardians_ror	ovn_dk_inf_catacomb_guardians_ror	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_mummies_ror	ovn_dk_inf_mummies_ror	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false		0	melee	small	jar_unit_set_infantry
ovn_dk_cav_black_grail_knights_ror	ovn_dk_cav_black_grail_knights_ror	melee_cavalry	cavalry	cav_shk	black_grail_knights	cavalry_chariots	true	12	0	12	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_mon_skeleton_elephant_ror	ovn_dk_mon_skeleton_elephant_ror	monster	war_beast	inf_mel	ovn_elephant	monster_beasts	true	1	0	1	true		0	melee		jar_unit_set_single_entities
ovn_dk_inf_spartan_ror	ovn_dk_inf_spartan_ror	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_thessos_ror	ovn_dk_inf_thessos_ror	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_cav_ephalian_ror	ovn_dk_cav_ephalian_ror	melee_cavalry	cavalry	cav_mel	cavalry_spear_skeleton	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_art_polybolos_ror	ovn_dk_art_polybolos_ror	warmachine	artillery	art_fld	wh_dlc06_bolt_thrower	artillery_war_machines	true	56	8	0	false		22	artillery		jar_unit_set_artillery_war_machines
ovn_dk_inf_skeleton_hoplites_no_caps	ovn_dk_inf_skeleton_hoplites	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_skeleton_pikemen_no_caps	ovn_dk_inf_skeleton_pikemen	melee_infantry	inf_melee	inf_mel	infantry_pike	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
ovn_dk_inf_skeleton_javelinmen_no_caps	ovn_dk_inf_skeleton_javelinmen	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	120	0	0	false	ovn_dk_skeleton_javelin	12	archer		jar_unit_set_infantry
wh2_dlc09_tmb_inf_skeleton_archers_no_caps	wh2_dlc09_tmb_inf_skeleton_archers_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	120	0	0	false	wh2_dlc09_tmb_bow_skeleton	22	archer		jar_unit_set_infantry
ovn_dk_cav_skeleton_horsemen_no_caps	ovn_dk_cav_skeleton_horsemen_0	melee_cavalry	cavalry	cav_mel	cavalry_spear_skeleton	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
ovn_dk_cav_skeleton_horsemen_archers_no_caps	ovn_dk_cav_skeleton_horsemen_archers_0	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_skeleton	missile_cavalry_chariots	true	60	0	60	false	wh2_dlc09_tmb_bow_horse	18	skirmish		jar_unit_set_cavalry_chariots
ovn_dk_mon_skeleton_elephant_no_caps	ovn_dk_mon_skeleton_elephant	monster	war_beast	inf_mel	ovn_elephant	monster_beasts	true	6	0	1	true		200	melee		jar_unit_set_single_entities
ovn_dk_mon_skeleton_giant_no_caps	ovn_dk_mon_skeleton_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_unit_set_single_entities
ovn_dk_mon_skeletal_minotaurs_no_caps	ovn_dk_mon_skeletal_minotaurs	monstrous_infantry	inf_melee	inf_mel	wh_dlc03_minotaurs_great_weapon	monster_beasts	true	16	0	0	false		0	melee	large	jar_unit_set_infantry
ovn_dk_mon_bone_hydra_no_caps	ovn_dk_mon_bone_hydra	monster	inf_melee	inf_mel	wh2_main_def_mon_war_hydra	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_unit_set_single_entities
dread_mon_ushabti_0	wh2_dlc09_tmb_mon_ushabti_0	monstrous_infantry	inf_melee	inf_mel	wh2_dlc09_tmb_ushabti	monster_beasts	true	16	0	0	false		0	melee		jar_unit_set_infantry
dread_mon_ushabti_1	wh2_dlc09_tmb_mon_ushabti_1	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_ushabti_bow	missile_monster_beasts	true	12	0	0	false	wh2_dlc09_tmb_bow_ushabti	21	artillery		jar_unit_set_infantry
dread_inf_tomb_guard_0	wh2_dlc09_tmb_inf_tomb_guard_0	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
dread_inf_tomb_guard_1	wh2_dlc09_tmb_inf_tomb_guard_1	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
nagash_ovn_dk_mon_skeleton_elephant	ovn_dk_mon_skeleton_elephant	monster	war_beast	inf_mel	ovn_elephant	monster_beasts	true	6	0	1	true		200	melee		jar_unit_set_single_entities
nagash_ovn_dk_cav_royal_guard_lancers	ovn_dk_cav_royal_guard_lancers	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee		jar_unit_set_cavalry_chariots
nagash_ovn_dk_inf_tomb_guardian_peltasts	ovn_dk_inf_tomb_guardian_peltasts	missile_infantry	inf_melee	inf_mel	wh_dlc08_nor_hunters_javelin	missile_infantry	true	80	0	0	false	ovn_dk_peltast_javelin_heavy	12	archer		jar_unit_set_infantry
nagash_ovn_dk_inf_skeleton_pikemen	ovn_dk_inf_skeleton_pikemen	melee_infantry	inf_melee	inf_mel	infantry_pike	infantry	true	120	0	0	false		0	melee		jar_unit_set_infantry
nagash_ovn_dk_inf_tomb_guardian	ovn_dk_inf_tomb_guardian	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee		jar_unit_set_infantry
