mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
str_rotblood_bombers	str_rotblood_bombers	missile_infantry	inf_ranged	inf_mis	infantry_axe	infantry	true	120	0	0	false	20kr_rotblood_grenade	3		jar_unit_set_infantry
str_rotblood_marauder_bombs	str_rotblood_marauder_bombs	melee_infantry	inf_melee	inf_mel	wh2_main_skv_missile_infantry_globe_death	missile_infantry	true	90	0	0	false	20kr_rotblood_poison_wind_grenade	5		jar_unit_set_infantry
str_rotblood_horsemen	str_rotblood_horsemen	missile_cavalry	war_beast	cav_mis	missile_cavalry_javelin	missile_cavalry_chariots	true	60	0	60	false	20kr_rotblood_horsemen_grenade	10	skirmish	jar_unit_set_cavalry_chariots
str_rotblood_vomitus	str_rotblood_vomitus	missile_infantry	inf_ranged	inf_mis	str_rotblood_vomitus	infantry	true	100	0	0	false	20kr_rotblood_vomitus	3		jar_unit_set_infantry
str_rotblood_chariot	str_rotblood_chariot	chariot	war_machine	chariot	chariot	cavalry_chariots	true	8	4	2	false	20kr_rotblood_chariot_grenade	12		jar_unit_set_cavalry_chariots
str_rotblood_plaguejavelins	str_rotblood_plaguejavelins	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	90	0	0	false	str_rotblood_plaguejavelins	10		jar_unit_set_infantry
str_rotblood_lifeleech	str_rotblood_lifeleech	missile_infantry	inf_melee	inf_mel	str_rotblood_lifeleech	missile_infantry	true	16	0	0	false	str_rotblood_lifeleech	10		jar_unit_set_infantry
str_rotblood_bombers_ror	str_rotblood_bombers_ror	missile_infantry	inf_ranged	inf_mis	wh2_main_skv_missile_infantry_globe_death	missile_infantry	true	90	0	0	false	20kr_rotblood_death_grenade	5		jar_unit_set_infantry
str_rotblood_plaguejavelins_ror	str_rotblood_plaguejavelins_ror	missile_infantry	inf_ranged	inf_mis	wh_dlc08_nor_hunters_javelin	missile_infantry	true	90	0	0	false	str_rotblood_plaguejavelins_ror	10		jar_unit_set_infantry
20kr_rotblood_marauder_archer	20kr_rotblood_marauder_archer	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_axe_infantry	missile_infantry	true	90	0	0	false	20kr_rotblood_marauder_archer	16	archer	jar_unit_set_infantry
