mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
str_kreepus_verminkin	str_kreepus_verminkin	missile_infantry	inf_ranged	inf_mis	str_kreepus_verminkin	missile_infantry	true	120	0	0	false	wh2_main_skv_throwing_stars	10		jar_unit_set_infantry
str_kreepus_verminkin_ror	str_kreepus_verminkin_ror	missile_infantry	inf_ranged	inf_mis	str_kreepus_verminkin	missile_infantry	true	120	0	0	false	wh2_main_skv_throwing_star_gutter_runners_poison	12		jar_unit_set_infantry
str_kreepus_gutters_pistol	str_kreepus_gutters_pistol	missile_infantry	inf_ranged	inf_mis	wh2_dlc11_cst_missile_pistol	missile_infantry	true	120	0	0	false	str_kreepus_gutters_pistol	6		jar_unit_set_infantry
str_kreepus_night_pistol	str_kreepus_night_pistol	missile_infantry	inf_ranged	inf_mis	wh2_dlc11_cst_missile_pistol	missile_infantry	true	120	0	0	false	str_kreepus_night_pistol	6		jar_unit_set_infantry
str_garbag_gitz	str_garbag_gitz	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	160	0	0	false	wh2_main_skv_poison_wind_globe	1		jar_unit_set_infantry
clan_vrrtkin_clanrat_shield	clan_vrrtkin_clanrat_shield	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	140	0	0	false	clan_vrrtkin_poison_globe	1		jar_unit_set_infantry
clan_vrrtkin_clanrat_spear_shield	clan_vrrtkin_clanrat_spear_shield	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	140	0	0	false	clan_vrrtkin_poison_globe	1		jar_unit_set_infantry
clan_vrrtkin_stormvermin_shield	clan_vrrtkin_stormvermin_shield	melee_infantry	inf_melee	inf_mel	wh2_main_skv_infantry_sword_stormvermin	infantry	true	120	0	0	false	clan_vrrtkin_cutthroat	1		jar_unit_set_infantry
clan_vrrtkin_skavenslave_slingers	clan_vrrtkin_skavenslave_slingers	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_sling	missile_infantry	true	120	0	0	false	clan_vrrtkin_skavenslave_sling	22		jar_unit_set_infantry
clan_vrrtkin_poison_wind_globadiers	clan_vrrtkin_poison_wind_globadiers	missile_infantry	inf_ranged	inf_mis	wh2_main_skv_missile_infantry_globe	missile_infantry	true	80	0	0	false	clan_vrrtkin_poison_globe	18		jar_unit_set_infantry
clan_vrrtkin_death_globe_bombardiers	clan_vrrtkin_death_globe_bombardiers	missile_infantry	inf_ranged	inf_mis	wh2_main_skv_missile_infantry_globe_death	missile_infantry	true	80	0	0	false	clan_vrrtkin_death_globe	18		jar_unit_set_infantry
clan_vrrtkin_warpfire_thrower	clan_vrrtkin_warpfire_thrower	missile_infantry	inf_ranged	inf_mis	wh2_dlc14_skv_weapon_team_warpfire	missile_infantry	true	32	0	0	false	clan_vrrtkin_warpgas	72		jar_unit_set_infantry
clan_vrrtkin_inf_warplock_jezzails	clan_vrrtkin_inf_warplock_jezzails	missile_infantry	inf_ranged	inf_mis	wh2_dlc14_skv_weapon_team_gun	missile_infantry	true	32	0	0	false	wh2_dlc12_skv_warp_jezzails	22		jar_unit_set_infantry
clan_vrrtkin_inf_cutthroats	clan_vrrtkin_inf_cutthroats	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	120	0	0	false	clan_vrrtkin_cutthroat	1		jar_unit_set_infantry
clan_vrrtkin_ratogres_ror	clan_vrrtkin_ratogres_ror	monstrous_cavalry	war_beast	cav_shk	monstrous_infantry	monster_beasts	true	12	0	12	false		50	melee	jar_unit_set_monstrous
clan_vrrtkin_mortar	clan_vrrtkin_mortar	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	32	4	0	false		22		jar_unit_set_artillery_war_machines
clan_vrrtkin_gasthrower	clan_vrrtkin_gasthrower	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	56	4	0	false		222		jar_unit_set_artillery_war_machines
clan_vrrtkin_globeclaw_catapult	clan_vrrtkin_globeclaw_catapult	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	56	4	0	false		22		jar_unit_set_artillery_war_machines
clan_vrrtkin_veh_doomwheel	clan_vrrtkin_veh_doomwheel	warmachine	war_machine	chariot	wh2_main_skv_doomwheel	artillery_war_machines	true	25	1	0	true		52		jar_unit_set_artillery_war_machines
clan_vrrtkin_art_poison_wind_mortar	clan_vrrtkin_art_poison_wind_mortar	missile_infantry	inf_ranged	inf_mis	wh2_dlc14_skv_weapon_team_poisoned_wind_mortar	missile_infantry	true	14	0	0	false	clan_vrrtkin_poison_wind_mortar	14		jar_unit_set_infantry
clan_vrrtkin_art_poison_wind_mortar_ror	clan_vrrtkin_art_poison_wind_mortar_ror	missile_infantry	inf_ranged	inf_mis	wh2_dlc14_skv_weapon_team_death_globe_mortar	missile_infantry	true	14	0	0	false	clan_vrrtkin_poison_wind_mortar_ror	14		jar_unit_set_infantry
clan_vrrtkin_clanrat_shield_sum	clan_vrrtkin_clanrat_shield_sum	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	140	0	0	false	clan_vrrtkin_poison_globe	1		jar_unit_set_infantry
hcm_ror_vatbacks	hcm_ror_vatbacks	missile_infantry	inf_ranged	inf_mis	wh2_main_skv_missile_infantry_globe	missile_infantry	true	48	0	0	false	hcm_vatbacks_proj	18		jar_unit_set_infantry
hcs_ror_lektrik_coven	hcs_ror_lektrik_coven	missile_infantry	inf_melee	com	dwf_irondrakes_torpedo	missile_infantry	true	16	0	0	false	hcs_ror_lektrik_proj	18		jar_unit_set_infantry
hcs_ror_technox	hcs_ror_technox	missile_infantry	inf_melee	com	wh2_dlc14_skv_weapon_team_warpfire	missile_infantry	true	24	0	0	false	hcs_ror_technox_proj	80		jar_unit_set_infantry
hcs_ror_doomwheel_brigade	hcs_ror_doomwheel_brigade	warmachine	war_machine	chariot	wh2_main_skv_doomwheel	artillery_war_machines	true	100	4	0	false		52		jar_unit_set_artillery_war_machines
hcs_ror_blackarc	hcs_ror_blackarc	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	56	4	0	false		22		jar_unit_set_artillery_war_machines
