mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	manEntity	unitSet
brt_foot_knight	brt_foot_knight	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0			jar_unit_set_infantry
brt_ranger	brt_ranger	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	60	0	0	false	brt_ranger_bow	24			jar_unit_set_infantry
brt_squire_longbow	brt_squire_longbow	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_huntsmen	22			jar_unit_set_infantry
brt_brigand	brt_brigand	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22			jar_unit_set_infantry
brt_fire_trebuchet	brt_fire_trebuchet	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22			jar_unit_set_artillery_war_machines
brt_siege_trebuchet	brt_siege_trebuchet	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22			jar_unit_set_artillery_war_machines
brt_squire_shield	brt_squire_shield	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0			jar_unit_set_infantry
brt_guardians_realm	brt_guardians_realm	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
brt_questing_wardens	brt_questing_wardens	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
brt_flaming_trebuchet	brt_flaming_trebuchet	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22			jar_unit_set_artillery_war_machines
brt_squire_polearm	brt_squire_polearm	melee_infantry	inf_melee	inf_spr	infantry_spear_halberd	infantry	true	120	0	0	false		0			jar_unit_set_infantry
brt_spirits_fay	brt_spirits_fay	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	16	0	0	false		0			jar_unit_set_infantry
brt_hermit_knights	brt_hermit_knights	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	60	0	0	false		0			jar_unit_set_infantry
brt_truffle_hounds	brt_truffle_hounds	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	80	0	0	false		0			none
great_falcons	great_falcons	monster	inf_melee	inf_mel	wh2_dlc16_wef_hawks	monster_beasts	true	24	0	0	false		0		medium	none
singe_brt_yeomen_pox	singe_brt_yeomen_pox	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	singe_yeomen_poxbow	18			jar_unit_set_cavalry_chariots
singe_brt_yeomen_flame	singe_brt_yeomen_flame	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	singe_yeomen_flamebow	18			jar_unit_set_cavalry_chariots
singe_brt_unicorn_knights	singe_brt_unicorn_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	16	0	16	false		0			jar_unit_set_cavalry_chariots
singe_brt_serjeant_polearm	singe_brt_serjeant_polearm	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0			jar_unit_set_infantry
singe_brt_serjeant_shield	singe_brt_serjeant_shield	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0			jar_unit_set_infantry
singe_brt_serjeant_sword	singe_brt_serjeant_sword	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0			jar_unit_set_infantry
singe_brt_menpole_shield	singe_brt_menpole_shield	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0			jar_unit_set_infantry
singe_chs_dual_warrior	singe_chs_dual_warrior	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	100	0	0	false		0			jar_unit_set_infantry
singe_chs_dual_chosen	singe_chs_dual_chosen	melee_infantry	inf_melee	inf_mel	infantry_axe	infantry	true	80	0	0	false		0			jar_unit_set_infantry
singe_chs_chosen_knights	singe_chs_chosen_knights	melee_cavalry	war_beast	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_chs_gorebeasts	singe_chs_gorebeasts	monstrous_cavalry	war_beast	inf_mel	war_beast	monster_beasts	true	16	0	0	false		0		very_large	jar_unit_set_cavalry_chariots
singe_chs_manticore_knights	singe_chs_manticore_knights	monstrous_cavalry	war_beast	cav_mel	cavalry_flying_rare	cavalry_chariots	true	8	0	8	false		0			jar_unit_set_cavalry_chariots
singe_sla_blissbarb_archers	singe_sla_blissbarb_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	singe_blissbarb_bow	22		small	jar_unit_set_infantry
singe_sla_cultist_hedonites	singe_sla_cultist_hedonites	melee_infantry	inf_melee	inf_mel	infantry_sword_dual	infantry	true	100	0	0	false		0		small	jar_unit_set_infantry
singe_sla_exalted_fiend	singe_sla_exalted_fiend	monster	inf_melee	inf_mel	wh3_main_sla_keeper_of_secrets	monster_beasts	true	1	0	0	false		0		large	jar_unit_set_single_entities
singe_sla_hellseekers	singe_sla_hellseekers	melee_cavalry	war_beast	cav_mel	wh3_dlc27_pleasureseekers	cavalry_chariots	true	32	0	32	false		0	melee		jar_unit_set_cavalry_chariots
singe_tmb_tmbguard_archers	singe_tmb_tmbguard_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	singe_tomb_bow	26			jar_unit_set_infantry
singe_tmb_nehek_swordknights	singe_tmb_nehek_swordknights	melee_cavalry	cavalry	cav_mel	cavalry_skeleton	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_tmb_nehek_spearknights	singe_tmb_nehek_spearknights	melee_cavalry	cavalry	cav_shk	cavalry_spear_skeleton	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_tmb_nehek_bowhorse	singe_tmb_nehek_bowhorse	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_skeleton	missile_cavalry_chariots	true	60	0	60	false	singe_nehek_bow	18			jar_unit_set_cavalry_chariots
singe_tmb_nehek_spearhorse	singe_tmb_nehek_spearhorse	melee_cavalry	cavalry	cav_shk	cavalry_spear_skeleton	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_tmb_skelly_swordhorse	singe_tmb_skelly_swordhorse	melee_cavalry	cavalry	cav_mel	cavalry_skeleton	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_tmb_nehek_archers	singe_tmb_nehek_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	100	0	0	false	singe_nehek_bow	22			jar_unit_set_infantry
singe_def_pegasilancers	singe_def_pegasilancers	melee_cavalry	cavalry	cav_mel	cavalry_flying	cavalry_chariots	true	24	0	24	false		0			jar_unit_set_cavalry_chariots
singe_def_dreadfoot	singe_def_dreadfoot	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	100	0	0	false		0			jar_unit_set_infantry
singe_def_darkstriders	singe_def_darkstriders	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0			jar_unit_set_infantry
singe_def_nightwitches	singe_def_nightwitches	monstrous_cavalry	war_beast	cav_shk	cavalry_flying_rare	cavalry_chariots	true	8	0	8	false		0			jar_unit_set_cavalry_chariots
singe_def_dreadlancers	singe_def_dreadlancers	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_def_witchspears	singe_def_witchspears	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	100	0	0	false		0			jar_unit_set_infantry
singe_def_cauldron	singe_def_cauldron	warmachine	war_machine	com	magic_chariot	artillery_war_machines	true	1	1	0	true		25			jar_unit_set_artillery_war_machines
singe_def_harridan	singe_def_harridan	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0			jar_unit_set_cavalry_chariots
singe_vc_skelly_scythe	singe_vc_skelly_scythe	melee_infantry	inf_melee	inf_mel	vmp_infantry_scythe	infantry	true	160	0	0	false		0			jar_unit_set_infantry
singe_vc_graveguard_scythe	singe_vc_graveguard_scythe	melee_infantry	inf_melee	inf_mel	vmp_infantry_scythe	infantry	true	120	0	0	false		0			jar_unit_set_infantry
singe_vc_strigoi_terrors	singe_vc_strigoi_terrors	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	12	0	0	false		0			jar_unit_set_infantry
singe_vc_spirit_host	singe_vc_spirit_host	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	160	0	0	false		0		small	jar_unit_set_infantry
